#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2047788,40096679,FDJ08_gp02,FDJ08_gp02,GC1_00002,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
2047788,40096695,FDJ08_gp18,FDJ08_gp18,GC1_00018,-,-,-,DNA delivery protein,protein-coding,-,-,-,DNA delivery protein,20201221,-
2047788,40096696,FDJ08_gp19,FDJ08_gp19,GC1_00019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096697,FDJ08_gp20,FDJ08_gp20,GC1_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096698,FDJ08_gp21,FDJ08_gp21,GC1_00021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096699,FDJ08_gp22,FDJ08_gp22,GC1_00022,-,-,-,lytic transglycosylase,protein-coding,-,-,-,lytic transglycosylase,20201221,-
2047788,40096700,FDJ08_gp23,FDJ08_gp23,GC1_00023,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
2047788,40096701,FDJ08_gp24,FDJ08_gp24,GC1_00024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096702,FDJ08_gp25,FDJ08_gp25,GC1_00025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096703,FDJ08_gp26,FDJ08_gp26,GC1_00026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096704,FDJ08_gp27,FDJ08_gp27,GC1_00027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096705,FDJ08_gp28,FDJ08_gp28,GC1_00028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096706,FDJ08_gp29,FDJ08_gp29,GC1_00029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096707,FDJ08_gp30,FDJ08_gp30,GC1_00030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096708,FDJ08_gp31,FDJ08_gp31,GC1_00031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096709,FDJ08_gp32,FDJ08_gp32,GC1_00032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096710,FDJ08_gp33,FDJ08_gp33,GC1_00033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096711,FDJ08_gp34,FDJ08_gp34,GC1_00034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096712,FDJ08_gp35,FDJ08_gp35,GC1_00035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096713,FDJ08_gp36,FDJ08_gp36,GC1_00036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40096714,FDJ08_gp01,FDJ08_gp01,GC1_00001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047788,40120504,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
