#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2603257,55813576,2,HYP98_gp02,SEA_ZARTROSA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200912,-
2603257,55813623,49,HYP98_gp49,SEA_ZARTROSA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813624,50,HYP98_gp50,SEA_ZARTROSA_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813625,51,HYP98_gp51,SEA_ZARTROSA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813626,52,HYP98_gp52,SEA_ZARTROSA_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813627,53,HYP98_gp53,SEA_ZARTROSA_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813628,54,HYP98_gp54,SEA_ZARTROSA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813629,55,HYP98_gp55,SEA_ZARTROSA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813630,56,HYP98_gp56,SEA_ZARTROSA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813631,57,HYP98_gp57,SEA_ZARTROSA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813632,58,HYP98_gp58,SEA_ZARTROSA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813633,59,HYP98_gp59,SEA_ZARTROSA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813634,60,HYP98_gp60,SEA_ZARTROSA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813635,61,HYP98_gp61,SEA_ZARTROSA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813636,62,HYP98_gp62,SEA_ZARTROSA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813637,63,HYP98_gp63,SEA_ZARTROSA_63,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200704,-
2603257,55813638,64,HYP98_gp64,SEA_ZARTROSA_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813639,65,HYP98_gp65,SEA_ZARTROSA_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813640,66,HYP98_gp66,SEA_ZARTROSA_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813641,67,HYP98_gp67,SEA_ZARTROSA_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813642,68,HYP98_gp68,SEA_ZARTROSA_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813643,69,HYP98_gp69,SEA_ZARTROSA_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813644,70,HYP98_gp70,SEA_ZARTROSA_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813645,71,HYP98_gp71,SEA_ZARTROSA_71,-,-,-,ParB-like nuclease domain protein,protein-coding,-,-,-,ParB-like nuclease domain protein,20200926,-
2603257,55813646,72,HYP98_gp72,SEA_ZARTROSA_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813647,73,HYP98_gp73,SEA_ZARTROSA_73,-,-,-,acetyltransferase,protein-coding,-,-,-,acetyltransferase,20200926,-
2603257,55813648,74,HYP98_gp74,SEA_ZARTROSA_74,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210327,-
2603257,55813649,75,HYP98_gp75,SEA_ZARTROSA_75,-,-,-,DNA polymerase III sliding clamp (beta subunit),protein-coding,-,-,-,DNA polymerase III sliding clamp (beta subunit),20210306,-
2603257,55813650,76,HYP98_gp76,SEA_ZARTROSA_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813651,77,HYP98_gp77,SEA_ZARTROSA_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813652,78,HYP98_gp78,SEA_ZARTROSA_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2603257,55813653,79,HYP98_gp79,SEA_ZARTROSA_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2603257,55813654,1,HYP98_gp01,SEA_ZARTROSA_1,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200704,-
2603257,55863604,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200706,-
