#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2315475,55610567,HWB88_gp02,HWB88_gp02,CPT_Seifer_002,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
2315475,55610593,HWB88_gp28,HWB88_gp28,CPT_Seifer_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610594,HWB88_gp29,HWB88_gp29,CPT_Seifer_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610595,HWB88_gp30,HWB88_gp30,CPT_Seifer_030,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2315475,55610596,HWB88_gp31,HWB88_gp31,CPT_Seifer_031,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210424,-
2315475,55610597,HWB88_gp32,HWB88_gp32,CPT_Seifer_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610598,HWB88_gp33,HWB88_gp33,CPT_Seifer_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610599,HWB88_gp34,HWB88_gp34,CPT_Seifer_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610600,HWB88_gp35,HWB88_gp35,CPT_Seifer_035,-,-,-,putative holin-antiholin,protein-coding,-,-,-,putative holin-antiholin,20210424,-
2315475,55610601,HWB88_gp36,HWB88_gp36,CPT_Seifer_036,-,-,-,putative holin-antiholin,protein-coding,-,-,-,putative holin-antiholin,20210424,-
2315475,55610602,HWB88_gp37,HWB88_gp37,CPT_Seifer_037,-,-,-,soluble endolysin protein,protein-coding,-,-,-,soluble endolysin protein,20210424,-
2315475,55610603,HWB88_gp38,HWB88_gp38,CPT_Seifer_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610604,HWB88_gp39,HWB88_gp39,CPT_Seifer_039,-,-,-,o-spanin,protein-coding,-,-,-,o-spanin,20200620,-
2315475,55610605,HWB88_gp40,HWB88_gp40,CPT_Seifer_040,-,-,-,signal peptide containing protein,protein-coding,-,-,-,signal peptide containing protein,20200620,-
2315475,55610606,HWB88_gp41,HWB88_gp41,CPT_Seifer_041,-,-,-,N-(deoxy)ribosyltransferase domain containing protein,protein-coding,-,-,-,N-(deoxy)ribosyltransferase domain containing protein,20200620,-
2315475,55610607,HWB88_gp42,HWB88_gp42,CPT_Seifer_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610608,HWB88_gp43,HWB88_gp43,CPT_Seifer_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610609,HWB88_gp44,HWB88_gp44,CPT_Seifer_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610610,HWB88_gp45,HWB88_gp45,CPT_Seifer_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610611,HWB88_gp46,HWB88_gp46,CPT_Seifer_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610612,HWB88_gp47,HWB88_gp47,CPT_Seifer_047,-,-,-,exodeoxyribonuclease VIII domain containing protein,protein-coding,-,-,-,exodeoxyribonuclease VIII domain containing protein,20210424,-
2315475,55610613,HWB88_gp48,HWB88_gp48,CPT_Seifer_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610614,HWB88_gp49,HWB88_gp49,CPT_Seifer_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610615,HWB88_gp50,HWB88_gp50,CPT_Seifer_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610616,HWB88_gp51,HWB88_gp51,CPT_Seifer_051,-,-,-,recombination endonuclease VII,protein-coding,-,-,-,recombination endonuclease VII,20210424,-
2315475,55610617,HWB88_gp52,HWB88_gp52,CPT_Seifer_052,-,-,-,cytosine methylase,protein-coding,-,-,-,cytosine methylase,20210424,-
2315475,55610618,HWB88_gp53,HWB88_gp53,CPT_Seifer_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610619,HWB88_gp54,HWB88_gp54,CPT_Seifer_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610620,HWB88_gp55,HWB88_gp55,CPT_Seifer_055,-,-,-,DNA adenine methyltransferase,protein-coding,-,-,-,DNA adenine methyltransferase,20210424,-
2315475,55610621,HWB88_gp56,HWB88_gp56,CPT_Seifer_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610622,HWB88_gp57,HWB88_gp57,CPT_Seifer_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610623,HWB88_gp58,HWB88_gp58,CPT_Seifer_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610624,HWB88_gp59,HWB88_gp59,CPT_Seifer_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610625,HWB88_gp60,HWB88_gp60,CPT_Seifer_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610626,HWB88_gp61,HWB88_gp61,CPT_Seifer_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610627,HWB88_gp62,HWB88_gp62,CPT_Seifer_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610628,HWB88_gp63,HWB88_gp63,CPT_Seifer_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610629,HWB88_gp64,HWB88_gp64,CPT_Seifer_064,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210424,-
2315475,55610630,HWB88_gp65,HWB88_gp65,CPT_Seifer_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610631,HWB88_gp66,HWB88_gp66,CPT_Seifer_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610632,HWB88_gp67,HWB88_gp67,CPT_Seifer_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610633,HWB88_gp68,HWB88_gp68,CPT_Seifer_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610634,HWB88_gp69,HWB88_gp69,CPT_Seifer_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610635,HWB88_gp70,HWB88_gp70,CPT_Seifer_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610636,HWB88_gp71,HWB88_gp71,CPT_Seifer_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610637,HWB88_gp72,HWB88_gp72,CPT_Seifer_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610638,HWB88_gp73,HWB88_gp73,CPT_Seifer_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610639,HWB88_gp74,HWB88_gp74,CPT_Seifer_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610640,HWB88_gp75,HWB88_gp75,CPT_Seifer_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610641,HWB88_gp76,HWB88_gp76,CPT_Seifer_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610642,HWB88_gp77,HWB88_gp77,CPT_Seifer_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610643,HWB88_gp78,HWB88_gp78,CPT_Seifer_078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610644,HWB88_gp79,HWB88_gp79,CPT_Seifer_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610645,HWB88_gp80,HWB88_gp80,CPT_Seifer_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610646,HWB88_gp81,HWB88_gp81,CPT_Seifer_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610647,HWB88_gp82,HWB88_gp82,CPT_Seifer_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315475,55610648,HWB88_gp01,HWB88_gp01,CPT_Seifer_001,-,-,-,helix turn helix containing protein,protein-coding,-,-,-,helix turn helix containing protein,20210424,-
2315475,55635858,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
