#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713306,55818207,HYQ36_gp002,HYQ36_gp002,moki_2,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210123,-
2713306,55818263,HYQ36_gp058,HYQ36_gp058,moki_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818264,HYQ36_gp059,HYQ36_gp059,moki_59,-,-,-,putative vWa containing protein,protein-coding,-,-,-,putative vWa containing protein,20210320,-
2713306,55818265,HYQ36_gp060,HYQ36_gp060,moki_60,-,-,-,acyl carrier protein,protein-coding,-,-,-,acyl carrier protein,20210123,-
2713306,55818266,HYQ36_gp061,HYQ36_gp061,moki_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818267,HYQ36_gp062,HYQ36_gp062,moki_62,-,-,-,pyrimidine dimer DNA glycosylase,protein-coding,-,-,-,pyrimidine dimer DNA glycosylase,20210123,-
2713306,55818268,HYQ36_gp063,HYQ36_gp063,moki_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818269,HYQ36_gp064,HYQ36_gp064,moki_64,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713306,55818270,HYQ36_gp065,HYQ36_gp065,moki_65,-,-,-,i-spanin,protein-coding,-,-,-,i-spanin,20200910,-
2713306,55818271,HYQ36_gp066,HYQ36_gp066,moki_66,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20200910,-
2713306,55818272,HYQ36_gp067,HYQ36_gp067,moki_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818273,HYQ36_gp068,HYQ36_gp068,moki_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818274,HYQ36_gp069,HYQ36_gp069,moki_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818275,HYQ36_gp070,HYQ36_gp070,moki_70,-,-,-,superinfection exclusion protein,protein-coding,-,-,-,superinfection exclusion protein,20210403,-
2713306,55818276,HYQ36_gp071,HYQ36_gp071,moki_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818277,HYQ36_gp072,HYQ36_gp072,moki_72,-,-,-,SPFH domain band 7 family protein,protein-coding,-,-,-,SPFH domain band 7 family protein,20210320,-
2713306,55818278,HYQ36_gp073,HYQ36_gp073,moki_73,-,-,-,DNA-binding protein HU-beta,protein-coding,-,-,-,DNA-binding protein HU-beta,20200919,-
2713306,55818279,HYQ36_gp074,HYQ36_gp074,moki_74,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20210320,-
2713306,55818280,HYQ36_gp075,HYQ36_gp075,moki_75,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713306,55818281,HYQ36_gp076,HYQ36_gp076,moki_76,-,-,-,ribonuclease H,protein-coding,-,-,-,ribonuclease H,20200919,-
2713306,55818282,HYQ36_gp077,HYQ36_gp077,moki_77,-,-,-,sigma factor involved in late transcription,protein-coding,-,-,-,sigma factor involved in late transcription,20200919,-
2713306,55818283,HYQ36_gp078,HYQ36_gp078,moki_78,-,-,-,recombination protein subunit,protein-coding,-,-,-,recombination protein subunit,20200910,-
2713306,55818284,HYQ36_gp079,HYQ36_gp079,moki_79,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210320,-
2713306,55818285,HYQ36_gp080,HYQ36_gp080,moki_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818286,HYQ36_gp081,HYQ36_gp081,moki_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818287,HYQ36_gp082,HYQ36_gp082,moki_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2713306,55818288,HYQ36_gp083,HYQ36_gp083,moki_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818289,HYQ36_gp084,HYQ36_gp084,moki_84,-,-,-,protein RegB,protein-coding,-,-,-,protein RegB,20200910,-
2713306,55818290,HYQ36_gp085,HYQ36_gp085,moki_85,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713306,55818291,HYQ36_gp086,HYQ36_gp086,moki_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818292,HYQ36_gp087,HYQ36_gp087,moki_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818293,HYQ36_gp088,HYQ36_gp088,moki_88,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713306,55818294,HYQ36_gp089,HYQ36_gp089,moki_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818295,HYQ36_gp090,HYQ36_gp090,moki_90,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210320,-
2713306,55818296,HYQ36_gp091,HYQ36_gp091,moki_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818297,HYQ36_gp092,HYQ36_gp092,moki_92,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20210313,-
2713306,55818298,HYQ36_gp093,HYQ36_gp093,moki_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818299,HYQ36_gp094,HYQ36_gp094,moki_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818300,HYQ36_gp095,HYQ36_gp095,moki_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2713306,55818301,HYQ36_gp096,HYQ36_gp096,moki_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818302,HYQ36_gp097,HYQ36_gp097,moki_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818303,HYQ36_gp098,HYQ36_gp098,moki_98,-,-,-,peptidoglycan binding protein,protein-coding,-,-,-,peptidoglycan binding protein,20210320,-
2713306,55818304,HYQ36_gp099,HYQ36_gp099,moki_99,-,-,-,phosphate starvation-inducible protein,protein-coding,-,-,-,phosphate starvation-inducible protein,20210129,-
2713306,55818305,HYQ36_gp100,HYQ36_gp100,moki_100,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,protein-coding,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,20210116,-
2713306,55818306,HYQ36_gp101,HYQ36_gp101,moki_101,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,protein-coding,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,20210313,-
2713306,55818307,HYQ36_gp102,HYQ36_gp102,moki_102,-,-,-,putative glutaredoxin,protein-coding,-,-,-,putative glutaredoxin,20210129,-
2713306,55818308,HYQ36_gp103,HYQ36_gp103,moki_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818309,HYQ36_gp104,HYQ36_gp104,moki_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818310,HYQ36_gp105,HYQ36_gp105,moki_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818311,HYQ36_gp106,HYQ36_gp106,moki_106,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20210313,-
2713306,55818312,HYQ36_gp107,HYQ36_gp107,moki_107,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20200910,-
2713306,55818313,HYQ36_gp108,HYQ36_gp108,moki_108,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210313,-
2713306,55818314,HYQ36_gp109,HYQ36_gp109,moki_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818315,HYQ36_gp110,HYQ36_gp110,moki_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818316,HYQ36_gp111,HYQ36_gp111,moki_111,-,-,-,putative holliday junction resolvase,protein-coding,-,-,-,putative holliday junction resolvase,20200910,-
2713306,55818317,HYQ36_gp112,HYQ36_gp112,moki_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818318,HYQ36_gp113,HYQ36_gp113,moki_113,-,-,-,FmdB family domain protein,protein-coding,-,-,-,FmdB family domain protein,20200919,-
2713306,55818319,HYQ36_gp114,HYQ36_gp114,moki_114,-,-,-,putative late promoter transcription factor,protein-coding,-,-,-,putative late promoter transcription factor,20210320,-
2713306,55818320,HYQ36_gp115,HYQ36_gp115,moki_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818321,HYQ36_gp116,HYQ36_gp116,moki_116,-,-,-,ssDNA-binding protein,protein-coding,-,-,-,ssDNA-binding protein,20210129,-
2713306,55818322,HYQ36_gp117,HYQ36_gp117,moki_117,-,-,-,baseplate tail tube initiator,protein-coding,-,-,-,baseplate tail tube initiator,20200910,-
2713306,55818323,HYQ36_gp118,HYQ36_gp118,moki_118,-,-,-,DNA end protector during packaging,protein-coding,-,-,-,DNA end protector during packaging,20200926,-
2713306,55818324,HYQ36_gp119,HYQ36_gp119,moki_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818325,HYQ36_gp120,HYQ36_gp120,moki_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818326,HYQ36_gp121,HYQ36_gp121,moki_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818327,HYQ36_gp122,HYQ36_gp122,moki_122,-,-,-,putative kinase,protein-coding,-,-,-,putative kinase,20210129,-
2713306,55818328,HYQ36_gp123,HYQ36_gp123,moki_123,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210327,-
2713306,55818329,HYQ36_gp124,HYQ36_gp124,moki_124,-,-,-,putative deoxynucleotide monophosphate kinase,protein-coding,-,-,-,putative deoxynucleotide monophosphate kinase,20200910,-
2713306,55818330,HYQ36_gp125,HYQ36_gp125,moki_125,-,-,-,putative dUTP diphosphatase,protein-coding,-,-,-,putative dUTP diphosphatase,20210306,-
2713306,55818331,HYQ36_gp126,HYQ36_gp126,moki_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818332,HYQ36_gp127,HYQ36_gp127,moki_127,-,-,-,RecA-like recombination protein,protein-coding,-,-,-,RecA-like recombination protein,20200919,-
2713306,55818333,HYQ36_gp128,HYQ36_gp128,moki_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818334,HYQ36_gp129,HYQ36_gp129,moki_129,-,-,-,DNA primase-helicase subunit,protein-coding,-,-,-,DNA primase-helicase subunit,20210313,-
2713306,55818335,HYQ36_gp130,HYQ36_gp130,moki_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818336,HYQ36_gp131,HYQ36_gp131,moki_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818337,HYQ36_gp132,HYQ36_gp132,moki_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818338,HYQ36_gp133,HYQ36_gp133,moki_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818339,HYQ36_gp134,HYQ36_gp134,moki_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818340,HYQ36_gp135,HYQ36_gp135,moki_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818341,HYQ36_gp136,HYQ36_gp136,moki_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818342,HYQ36_gp137,HYQ36_gp137,moki_137,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200910,-
2713306,55818343,HYQ36_gp138,HYQ36_gp138,moki_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2713306,55818344,HYQ36_gp139,HYQ36_gp139,moki_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818345,HYQ36_gp140,HYQ36_gp140,moki_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818346,HYQ36_gp141,HYQ36_gp141,moki_141,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210320,-
2713306,55818347,HYQ36_gp142,HYQ36_gp142,moki_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818348,HYQ36_gp143,HYQ36_gp143,moki_143,-,-,-,DNA helicase loader,protein-coding,-,-,-,DNA helicase loader,20200926,-
2713306,55818349,HYQ36_gp144,HYQ36_gp144,moki_144,-,-,-,putative tail length tape measure protein,protein-coding,-,-,-,putative tail length tape measure protein,20200910,-
2713306,55818350,HYQ36_gp145,HYQ36_gp145,moki_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818351,HYQ36_gp146,HYQ36_gp146,moki_146,-,-,-,baseplate wedge component,protein-coding,-,-,-,baseplate wedge component,20210123,-
2713306,55818352,HYQ36_gp147,HYQ36_gp147,moki_147,-,-,-,putative tail tube associated base plate protein,protein-coding,-,-,-,putative tail tube associated base plate protein,20200926,-
2713306,55818353,HYQ36_gp148,HYQ36_gp148,moki_148,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210313,-
2713306,55818354,HYQ36_gp149,HYQ36_gp149,moki_149,-,-,-,membrane-flanked domain protein,protein-coding,-,-,-,membrane-flanked domain protein,20210313,-
2713306,55818355,HYQ36_gp150,HYQ36_gp150,moki_150,-,-,-,putative deoxycytidylate deaminase,protein-coding,-,-,-,putative deoxycytidylate deaminase,20210403,-
2713306,55818356,HYQ36_gp151,HYQ36_gp151,moki_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818357,HYQ36_gp152,HYQ36_gp152,moki_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818358,HYQ36_gp153,HYQ36_gp153,moki_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818359,HYQ36_gp154,HYQ36_gp154,moki_154,-,-,-,putative serine/threonine protein phosphatase,protein-coding,-,-,-,putative serine/threonine protein phosphatase,20210313,-
2713306,55818360,HYQ36_gp155,HYQ36_gp155,moki_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818361,HYQ36_gp156,HYQ36_gp156,moki_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2713306,55818362,HYQ36_gp157,HYQ36_gp157,moki_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818363,HYQ36_gp158,HYQ36_gp158,moki_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2713306,55818364,HYQ36_gp159,HYQ36_gp159,moki_159,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210327,-
2713306,55818365,HYQ36_gp160,HYQ36_gp160,moki_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818366,HYQ36_gp161,HYQ36_gp161,moki_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2713306,55818367,HYQ36_gp162,HYQ36_gp162,moki_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818368,HYQ36_gp163,HYQ36_gp163,moki_163,-,-,-,calcium-binding hemolysin protein,protein-coding,-,-,-,calcium-binding hemolysin protein,20200910,-
2713306,55818369,HYQ36_gp164,HYQ36_gp164,moki_164,-,-,-,C-N hydrolase superfamily protein,protein-coding,-,-,-,C-N hydrolase superfamily protein,20200910,-
2713306,55818370,HYQ36_gp165,HYQ36_gp165,moki_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818371,HYQ36_gp166,HYQ36_gp166,moki_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818372,HYQ36_gp167,HYQ36_gp167,moki_167,-,-,-,DNA topoisomerase II medium subunit,protein-coding,-,-,-,DNA topoisomerase II medium subunit,20210313,-
2713306,55818373,HYQ36_gp168,HYQ36_gp168,moki_168,-,-,-,DNA topoisomerase II large subunit,protein-coding,-,-,-,DNA topoisomerase II large subunit,20200910,-
2713306,55818374,HYQ36_gp169,HYQ36_gp169,moki_169,-,-,-,viral tegument-like protein,protein-coding,-,-,-,viral tegument-like protein,20200910,-
2713306,55818375,HYQ36_gp170,HYQ36_gp170,moki_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818376,HYQ36_gp171,HYQ36_gp171,moki_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818377,HYQ36_gp172,HYQ36_gp172,moki_172,-,-,-,putative histone-like protein,protein-coding,-,-,-,putative histone-like protein,20200919,-
2713306,55818378,HYQ36_gp173,HYQ36_gp173,moki_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818379,HYQ36_gp174,HYQ36_gp174,moki_174,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210313,-
2713306,55818380,HYQ36_gp175,HYQ36_gp175,moki_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818381,HYQ36_gp176,HYQ36_gp176,moki_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818382,HYQ36_gp177,HYQ36_gp177,moki_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713306,55818383,HYQ36_gp178,HYQ36_gp178,moki_178,-,-,-,RIIB protein,protein-coding,-,-,-,RIIB protein,20210313,-
2713306,55818384,HYQ36_gp179,HYQ36_gp179,moki_179,-,-,-,RIIA protein,protein-coding,-,-,-,RIIA protein,20200910,-
2713306,55818385,HYQ36_gp180,HYQ36_gp180,moki_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
