#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2719209,60334672,2,I5H96_gp02,SEA_VETERAN_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210313,-
2719209,60334753,83,I5H96_gp83,SEA_VETERAN_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334754,84,I5H96_gp84,SEA_VETERAN_84,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210123,-
2719209,60334755,85,I5H96_gp85,SEA_VETERAN_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334756,86,I5H96_gp86,SEA_VETERAN_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334757,87,I5H96_gp87,SEA_VETERAN_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334758,88,I5H96_gp88,SEA_VETERAN_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334759,89,I5H96_gp89,SEA_VETERAN_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334760,90,I5H96_gp90,SEA_VETERAN_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334761,91,I5H96_gp91,SEA_VETERAN_91,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210123,-
2719209,60334762,92,I5H96_gp92,SEA_VETERAN_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2719209,60334763,93,I5H96_gp93,SEA_VETERAN_93,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210123,-
2719209,60334764,94,I5H96_gp94,SEA_VETERAN_94,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
2719209,60334765,1,I5H96_gp01,SEA_VETERAN_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2719209,60338843,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
