#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
10726,2777497,D3,T5.113,-,-,-,-,D3 protein,protein-coding,-,-,-,D3 protein,20201220,-
10726,2777515,rna3,T5s07,-,-,-,-,miscRNA,miscRNA,-,-,-,-,20200908,-
10726,2777516,T5.009,T5.009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777517,hegG,T5.010,-,-,-,-,putative H-N-H-endonuclease P-TflVII,protein-coding,-,-,-,putative H-N-H-endonuclease P-TflVII,20201220,-
10726,2777518,T5.012,T5.012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777519,T5.013,T5.013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777520,T5.024,T5.024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777521,T5.030,T5.030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777522,T5.031,T5.031,orf1c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777523,T5.071,T5.071,ORF7|ORF90aa|trn2.6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777524,tRNAF(GAA),T5t19,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
10726,2777525,tRNAW(CCA),T5t20,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
10726,2777526,T5.067,T5.067,ORF1|ORF11|trn2.10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777527,tRNAD(GUC),T5t16,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
10726,2777528,tRNAC(GCA),T5t18,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
10726,2777529,T5.070,T5.070,ORF42aa|ORF8|trn2.7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777530,hegF,T5.046,orf16c,-,-,-,H-N-H-endonuclease F-TflVI,protein-coding,-,-,-,H-N-H-endonuclease F-TflVI,20200908,-
10726,2777531,T5.047,T5.047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777532,T5.025,T5.025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777533,T5.017,T5.017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777534,T5.048,T5.048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777535,T5.049,T5.049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777536,T5.050,T5.050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777537,T5.019,T5.019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777538,T5.020,T5.020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777539,T5.021,T5.021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777540,tRNAG1(UCC),T5t04,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
10726,2777541,tRNAQ1(UUG),T5t05,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
10726,2777542,T5.023,T5.023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777543,T5.022,T5.022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777544,T5.060,T5.060,ORF18|trn2.17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777545,tRNAN(GUU),T5t17,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
10726,2777546,rnaIV,T5s05,-,-,-,-,miscRNA,miscRNA,-,-,-,-,20200908,-
10726,2777547,rna2,T5s06,-,-,-,-,miscRNA,miscRNA,-,-,-,-,20200908,-
10726,2777548,T5.072,T5.072,ORF6|ORF91aa|trn2.5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777549,T5.015,T5.015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777550,T5.016,T5.016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777551,T5.058,T5.058,ORF19|trn2.19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777552,rna1,T5s03,-,-,-,-,miscRNA,miscRNA,-,-,-,-,20200908,-
10726,2777553,T5.063,T5.063,ORF15|trn2.14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777554,T5.037,T5.037,orf7c,-,-,-,putative thioredoxin,protein-coding,-,-,-,putative thioredoxin,20210212,-
10726,2777555,T5.039,T5.039,orf9c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777556,T5.029,T5.029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777557,T5.055,T5.055,ORF22|trn2.22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777558,T5.056,T5.056,ORF21|trn2.21,-,-,-,putative acetyltransferase-related protein,protein-coding,-,-,-,putative acetyltransferase-related protein,20201220,-
10726,2777559,tRNAM(CAU),T5t01,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
10726,2777560,T5.057,T5.057,ORF20|trn2.20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777561,T5.062,T5.062,ORF16|trn2.15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777562,tRNAH(GUG),T5t07,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
10726,2777563,tRNAT(UGU),T5t03,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
10726,2777564,T5.059,T5.059,trn2.18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777565,T5.078,T5.078,ORF138aa,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777566,T5.079,T5.079,ORF1c|orf64aa,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777567,tRNAS1(UGA),T5t08,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
10726,2777568,tRNAS2(GGA),T5t09,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
10726,2777569,T5.032,T5.032,orf2c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777570,T5.065,T5.065,ORF13|trn2.12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777571,tRNAfM(CAU),T5t14,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
10726,2777572,T5.018,T5.018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777573,dmp,T5.001,-,-,-,-,deoxynucleoside-5'-monophosphatase,protein-coding,-,-,-,deoxynucleoside-5'-monophosphatase,20201220,-
10726,2777574,lys,T5.040,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201220,-
10726,2777575,C1,T5.041,orf11c,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201220,-
10726,2777576,tRNAI1(GAU),T5t02,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
10726,2777577,tRNAI2(CAU),T5t23,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
10726,2777578,tRNAS3(GCU),T5t24,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
10726,2777579,tRNAA(UGC),T5t11,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
10726,2777580,hegC,T5.064,-,-,-,-,H-N-H endonuclease TflI,protein-coding,-,-,-,H-N-H endonuclease TflI,20201220,-
10726,2777581,tRNAL1(UAG),T5t10,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
10726,2777582,T5.044,T5.044,orf14c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777583,T5.045,T5.045,orf15c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777584,T5.036,T5.036,orf6c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777585,T5.073,T5.073,ORF5|trn2.4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777586,T5.074,T5.074,ORF4|trn2.3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777587,hegA,T5.075,-,-,-,-,H-N-H endonuclease TflIV,protein-coding,-,-,-,H-N-H endonuclease TflIV,20201220,-
10726,2777588,T5.054,T5.054,ORF23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777589,T5.011,T5.011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777590,T5.068,T5.068,ORF10|ORF2|trn2.9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777591,dnk,T5.043,-,-,-,-,deoxynucleoside-5'-monophosphate kinase,protein-coding,-,-,-,deoxynucleoside-5'-monophosphate kinase,20201220,-
10726,2777592,T5.033,T5.033,orf3c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777593,rnh,T5.091,-,-,-,-,putative RNaseH ribonuclease,protein-coding,-,-,-,putative RNaseH ribonuclease,20200908,-
10726,2777594,thy,T5.092,-,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20210320,-
10726,2777595,frd,T5.093,-,-,-,-,putative dihydrofolate reductase,protein-coding,-,-,-,putative dihydrofolate reductase,20201220,-
10726,2777596,nrdB,T5.094,B3,-,-,-,"putative aerobic ribonucleoside diphosphate reductase, small subunit",protein-coding,-,-,-,"putative aerobic ribonucleoside diphosphate reductase, small subunit",20201220,-
10726,2777597,hegH,T5.095,-,-,-,-,putative H-N-H-endonuclease P-TflVIII,protein-coding,-,-,-,putative H-N-H-endonuclease P-TflVIII,20201220,-
10726,2777598,nrdA,T5.096,B1-2,-,-,-,"putative aerobic ribonucleoside diphosphate reductase, large subunit",protein-coding,-,-,-,"putative aerobic ribonucleoside diphosphate reductase, large subunit",20200908,-
10726,2777599,T5.081,T5.081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777600,T5.082,T5.082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777601,T5.083,T5.083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777602,T5.084,T5.084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777603,pol,T5.122,D7-9,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200908,-
10726,2777604,T5.123,T5.123,orf165aa,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777605,D10,T5.124,-,-,-,-,putative ATP-dependent helicase,protein-coding,-,-,-,putative ATP-dependent helicase,20201220,-
10726,2777606,T5.125,T5.125,orf94aa,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777607,D11,T5.126,-,-,-,-,D11 protein,protein-coding,-,-,-,D11 protein,20201220,-
10726,2777608,D12,T5.127,-,-,-,-,"putative recombination endonuclease, subunit D12",protein-coding,-,-,-,"putative recombination endonuclease, subunit D12",20201220,-
10726,2777609,D13,T5.128,-,-,-,-,"putative recombination endonuclease, subunit D13",protein-coding,-,-,-,"putative recombination endonuclease, subunit D13",20200908,-
10726,2777610,D14,T5.129,-,-,-,-,D14 protein,protein-coding,-,-,-,D14 protein,20201220,-
10726,2777611,D15,T5.130,-,-,-,-,flap endonuclease,protein-coding,-,-,-,flap endonuclease,20201220,-
10726,2777612,T5.080,T5.080,ORF1|trn1.1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777613,tRNAR,T5t25,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
10726,2777614,rnaX,T5s08,-,-,-,-,miscRNA,miscRNA,-,-,-,-,20200908,-
10726,2777615,T5.097,T5.097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777616,phoH,T5.098,-,-,-,-,putative PhoH-like protein,protein-coding,-,-,-,putative PhoH-like protein,20210320,-
10726,2777617,nrdD,T5.099,-,-,-,-,putative anaerobic ribonucleoside-triphosphate reductase,protein-coding,-,-,-,putative anaerobic ribonucleoside-triphosphate reductase,20200908,-
10726,2777618,T5.100,T5.100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777619,T5.101,T5.101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777620,T5.102,T5.102,-,-,-,-,putative Sir2-like protein,protein-coding,-,-,-,putative Sir2-like protein,20200908,-
10726,2777621,T5.103,T5.103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777622,T5.104,T5.104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777623,T5.105,T5.105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777624,T5.106,T5.106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777625,T5.107,T5.107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777626,D17,T5.137,-,-,-,-,tail protein Pb4,protein-coding,-,-,-,tail protein Pb4,20201220,-
10726,2777627,D16,T5.138,-,-,-,-,tail protein Pb3,protein-coding,-,-,-,tail protein Pb3,20201220,-
10726,2777628,T5.139,T5.139,orf204aa,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777629,D18-19,T5.140,-,-,-,-,pore-forming tail tip protein,protein-coding,-,-,-,pore-forming tail tip protein,20201220,-
10726,2777630,T5.141,T5.141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777631,T5.142,T5.142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777632,T5.143,T5.143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777633,T5.144,T5.144,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201220,-
10726,2777634,N4,T5.145,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201220,-
10726,2777635,T5.146,T5.146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777636,T5.147,T5.147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777637,dut,T5.131,-,-,-,-,putative deoxyUTP pyrophosphatase,protein-coding,-,-,-,putative deoxyUTP pyrophosphatase,20201220,-
10726,2777638,T5.132,T5.132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777639,ltf,T5.133,-,-,-,-,L-shaped tail fiber protein,protein-coding,-,-,-,L-shaped tail fiber protein,20201220,-
10726,2777640,T5.135,T5.135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777641,T5.136,T5.136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777642,ligB,T5.117,-,-,-,-,"NAD-dependent DNA ligase, subunit B",protein-coding,-,-,-,"NAD-dependent DNA ligase, subunit B",20200908,-
10726,2777643,D5,T5.118,-,-,-,-,D5 protein,protein-coding,-,-,-,D5 protein,20210417,-
10726,2777644,D6,T5.119,-,-,-,-,D6 protein,protein-coding,-,-,-,D6 protein,20200908,-
10726,2777645,hegJ,T5.120,-,-,-,-,putative H-N-H-endonuclease P-TflX,protein-coding,-,-,-,putative H-N-H-endonuclease P-TflX,20201220,-
10726,2777646,pri,T5.121,-,-,-,-,putative DNA replication primase,protein-coding,-,-,-,putative DNA replication primase,20200908,-
10726,2777647,T5.085,T5.085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777648,T5.086,T5.086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777649,T5.087,T5.087,-,-,-,-,putative metallopeptidase,protein-coding,-,-,-,putative metallopeptidase,20200908,-
10726,2777650,T5.088,T5.088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777651,T5.089,T5.089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777652,T5.090,T5.090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777653,T5.026,T5.026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777654,T5.027,T5.027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777655,T5.028,T5.028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777656,tRNAP(UGG),T5t15,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
10726,2777657,tRNAE(UUC),T5t21,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
10726,2777658,tRNAY(GUA),T5t22,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
10726,2777659,T5.005,T5.005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777660,A2,T5.006,-,-,-,-,A2,protein-coding,-,-,-,A2,20201220,-
10726,2777661,tRNAV(UAC),T5t12,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
10726,2777662,tRNAK(UUU),T5t13,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
10726,2777663,T5.034,T5.034,orf4c,-,-,-,putative serine/threonine protein phosphatase,protein-coding,-,-,-,putative serine/threonine protein phosphatase,20201220,-
10726,2777664,T5.035,T5.035,orf5c,-,-,-,putative serine/threonine protein phosphatase,protein-coding,-,-,-,putative serine/threonine protein phosphatase,20200908,-
10726,2777665,T5.042,T5.042,orf12c,-,-,-,putative ATP-dependent Clp protease,protein-coding,-,-,-,putative ATP-dependent Clp protease,20201220,-
10726,2777666,T5.003,T5.003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777667,tRNAQ2(CUG),T5t06,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
10726,2777668,hegD,T5.061,-,-,-,-,H-N-H endonuclease F-TflII,protein-coding,-,-,-,H-N-H endonuclease F-TflII,20201220,-
10726,2777669,T5.007,T5.007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777670,A1,T5.004,-,-,-,-,A1,protein-coding,-,-,-,A1,20201220,-
10726,2777671,T5.002,T5.002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777672,T5.148,T5.148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777673,D20-21,T5.149,-,-,-,-,major head protein precursor,protein-coding,-,-,-,major head protein precursor,20200908,-
10726,2777674,T5.150,T5.150,-,-,-,-,putative prohead protease,protein-coding,-,-,-,putative prohead protease,20201220,-
10726,2777675,T5.151,T5.151,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201220,-
10726,2777676,T5.152,T5.152,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
10726,2777677,T5.153,T5.153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777678,T5.154,T5.154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
10726,2777679,T5.155,T5.155,-,-,-,-,"terminase, large subunit",protein-coding,-,-,-,"terminase, large subunit",20201220,-
10726,2777680,T5.156,T5.156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777681,oad,T5.157,-,-,-,-,receptor-binding tail protein,protein-coding,-,-,-,receptor-binding tail protein,20201220,-
10726,2777682,lpp,T5.158,-,-,-,-,lytic conversion lipoprotein precursor,protein-coding,-,-,-,lytic conversion lipoprotein precursor,20201220,-
10726,2777683,T5.159,T5.159,orf1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777684,T5.160,T5.160,orf2,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777685,T5.161,T5.161,orf3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777686,T5.162,T5.162,orf4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2777687,T5.108,T5.108,-,-,-,-,putative replication origin binding protein,protein-coding,-,-,-,putative replication origin binding protein,20201220,-
10726,2777688,hegI,T5.109,-,-,-,-,putative H-N-H-endonuclease P-TflIX,protein-coding,-,-,-,putative H-N-H-endonuclease P-TflIX,20201220,-
10726,2777689,T5.110,T5.110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
10726,2777690,D2,T5.111,-,-,-,-,D2 protein,protein-coding,-,-,-,D2 protein,20201220,-
10726,2777691,T5.112,T5.112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10726,2828471,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage T5; Enterobacteria phage T5; phage T5).,other,-,-,-,-,20210417,-
