#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
365048,5179246,GPGV1_gp37,GPGV1_gp37,-,-,-,-,late competence protein,protein-coding,-,-,-,late competence protein,20200629,-
365048,5179280,GPGV1_gp05,GPGV1_gp05,-,-,-,-,Similar to Bacillus virus 1 protein YP_001425588,protein-coding,-,-,-,Similar to Bacillus virus 1 protein YP_001425588,20200629,-
365048,5179281,GPGV1_gp06,GPGV1_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179282,GPGV1_gp07,GPGV1_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179283,GPGV1_gp45,GPGV1_gp45,-,-,-,-,DNA integration/recombination protein,protein-coding,-,-,-,DNA integration/recombination protein,20200919,-
365048,5179285,GPGV1_gp39,GPGV1_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179286,GPGV1_gp40,GPGV1_gp40,-,-,-,-,HTH_3,protein-coding,-,-,-,HTH_3,20200629,-
365048,5179287,GPGV1_gp41,GPGV1_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179288,GPGV1_gp51,GPGV1_gp51,-,-,-,-,phage associated-antirepressor,protein-coding,-,-,-,phage associated-antirepressor,20200629,-
365048,5179289,GPGV1_gp47,GPGV1_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179290,GPGV1_gp42,GPGV1_gp42,-,-,-,-,DNA segregation protein,protein-coding,-,-,-,DNA segregation protein,20200629,-
365048,5179291,GPGV1_gp43,GPGV1_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179292,GPGV1_gp44,GPGV1_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179293,GPGV1_gp46,GPGV1_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179294,GPGV1_gp55,GPGV1_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179295,GPGV1_gp48,GPGV1_gp48,-,-,-,-,immunity repressor protein,protein-coding,-,-,-,immunity repressor protein,20200629,-
365048,5179296,GPGV1_gp49,GPGV1_gp49,-,-,-,-,repressor protein,protein-coding,-,-,-,repressor protein,20200629,-
365048,5179297,GPGV1_gp50,GPGV1_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179298,GPGV1_gp52,GPGV1_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5179299,GPGV1_gp54,GPGV1_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5183187,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage GBSV1).,other,-,-,-,-,20200513,-
365048,5666718,GPGV1_gp58,GPGV1_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5666719,GPGV1_gp57,GPGV1_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
365048,5666720,GPGV1_gp56,GPGV1_gp56,-,-,-,-,Similar to Bacillus virus 1 protein YP_001425590,protein-coding,-,-,-,Similar to Bacillus virus 1 protein YP_001425590,20200629,-
