#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591131,55618634,2,HWC38_gp02,SEA_SLEEPYHEAD_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2591131,55618646,15,HWC38_gp14,SEA_SLEEPYHEAD_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200620,-
2591131,55618647,16,HWC38_gp16,SEA_SLEEPYHEAD_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2591131,55618648,14,HWC38_gp15,SEA_SLEEPYHEAD_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200620,-
2591131,55618649,17,HWC38_gp17,SEA_SLEEPYHEAD_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2591131,55618650,18,HWC38_gp18,SEA_SLEEPYHEAD_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2591131,55618651,19,HWC38_gp19,SEA_SLEEPYHEAD_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618652,20,HWC38_gp20,SEA_SLEEPYHEAD_20,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2591131,55618653,21,HWC38_gp21,SEA_SLEEPYHEAD_21,-,-,-,holin,protein-coding,-,-,-,holin,20210424,-
2591131,55618654,22,HWC38_gp22,SEA_SLEEPYHEAD_22,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2591131,55618655,23,HWC38_gp23,SEA_SLEEPYHEAD_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618656,24,HWC38_gp24,SEA_SLEEPYHEAD_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618657,25,HWC38_gp25,SEA_SLEEPYHEAD_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200829,-
2591131,55618658,26,HWC38_gp26,SEA_SLEEPYHEAD_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618659,27,HWC38_gp27,SEA_SLEEPYHEAD_27,-,-,-,transposase,protein-coding,-,-,-,transposase,20210529,-
2591131,55618660,28,HWC38_gp28,SEA_SLEEPYHEAD_28,-,-,-,IS3 family transposase,protein-coding,-,-,-,IS3 family transposase,20210417,-
2591131,55618661,29,HWC38_gp29,SEA_SLEEPYHEAD_29,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2591131,55618662,30,HWC38_gp30,SEA_SLEEPYHEAD_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618663,31,HWC38_gp31,SEA_SLEEPYHEAD_31,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20200620,-
2591131,55618664,32,HWC38_gp32,SEA_SLEEPYHEAD_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618665,33,HWC38_gp33,SEA_SLEEPYHEAD_33,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2591131,55618666,34,HWC38_gp34,SEA_SLEEPYHEAD_34,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2591131,55618667,35,HWC38_gp35,SEA_SLEEPYHEAD_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618668,36,HWC38_gp36,SEA_SLEEPYHEAD_36,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210424,-
2591131,55618669,37,HWC38_gp37,SEA_SLEEPYHEAD_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591131,55618670,38,HWC38_gp38,SEA_SLEEPYHEAD_38,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20200829,-
2591131,55618671,39,HWC38_gp39,SEA_SLEEPYHEAD_39,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20210424,-
2591131,55618672,40,HWC38_gp40,SEA_SLEEPYHEAD_40,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200829,-
2591131,55618673,41,HWC38_gp41,SEA_SLEEPYHEAD_41,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20200620,-
2591131,55618674,42,HWC38_gp42,SEA_SLEEPYHEAD_42,-,-,-,excise,protein-coding,-,-,-,excise,20210424,-
2591131,55618675,43,HWC38_gp43,SEA_SLEEPYHEAD_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618676,44,HWC38_gp44,SEA_SLEEPYHEAD_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618677,45,HWC38_gp45,SEA_SLEEPYHEAD_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618678,46,HWC38_gp46,SEA_SLEEPYHEAD_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618679,47,HWC38_gp47,SEA_SLEEPYHEAD_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618680,48,HWC38_gp48,SEA_SLEEPYHEAD_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618681,49,HWC38_gp49,SEA_SLEEPYHEAD_49,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210424,-
2591131,55618682,50,HWC38_gp50,SEA_SLEEPYHEAD_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618683,51,HWC38_gp51,SEA_SLEEPYHEAD_51,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200620,-
2591131,55618684,52,HWC38_gp52,SEA_SLEEPYHEAD_52,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20200829,-
2591131,55618685,53,HWC38_gp53,SEA_SLEEPYHEAD_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618686,54,HWC38_gp54,SEA_SLEEPYHEAD_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618687,55,HWC38_gp55,SEA_SLEEPYHEAD_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618688,56,HWC38_gp56,SEA_SLEEPYHEAD_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618689,57,HWC38_gp57,SEA_SLEEPYHEAD_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618690,58,HWC38_gp58,SEA_SLEEPYHEAD_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618691,59,HWC38_gp59,SEA_SLEEPYHEAD_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618692,60,HWC38_gp60,SEA_SLEEPYHEAD_60,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2591131,55618693,61,HWC38_gp61,SEA_SLEEPYHEAD_61,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210424,-
2591131,55618694,62,HWC38_gp62,SEA_SLEEPYHEAD_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618695,63,HWC38_gp63,SEA_SLEEPYHEAD_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618696,64,HWC38_gp64,SEA_SLEEPYHEAD_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618697,65,HWC38_gp65,SEA_SLEEPYHEAD_65,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200620,-
2591131,55618698,66,HWC38_gp66,SEA_SLEEPYHEAD_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591131,55618699,67,HWC38_gp67,SEA_SLEEPYHEAD_67,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2591131,55618700,1,HWC38_gp01,SEA_SLEEPYHEAD_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200620,-
2591131,55636004,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
