#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713281,55817383,HYQ32_gp002,HYQ32_gp002,bering_2,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210320,-
2713281,55817467,HYQ32_gp086,HYQ32_gp086,bering_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817468,HYQ32_gp087,HYQ32_gp087,bering_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817469,HYQ32_gp088,HYQ32_gp088,bering_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817470,HYQ32_gp089,HYQ32_gp089,bering_89,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210313,-
2713281,55817471,HYQ32_gp090,HYQ32_gp090,bering_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817472,HYQ32_gp091,HYQ32_gp091,bering_91,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20210313,-
2713281,55817473,HYQ32_gp092,HYQ32_gp092,bering_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817474,HYQ32_gp093,HYQ32_gp093,bering_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817475,HYQ32_gp094,HYQ32_gp094,bering_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817476,HYQ32_gp095,HYQ32_gp095,bering_95,-,-,-,peptidoglycan binding protein,protein-coding,-,-,-,peptidoglycan binding protein,20210320,-
2713281,55817477,HYQ32_gp096,HYQ32_gp096,bering_96,-,-,-,phosphate starvation-inducible protein,protein-coding,-,-,-,phosphate starvation-inducible protein,20210129,-
2713281,55817478,HYQ32_gp097,HYQ32_gp097,bering_97,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,protein-coding,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,20210320,-
2713281,55817479,HYQ32_gp098,HYQ32_gp098,bering_98,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,protein-coding,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,20210403,-
2713281,55817480,HYQ32_gp099,HYQ32_gp099,bering_99,-,-,-,putative glutaredoxin,protein-coding,-,-,-,putative glutaredoxin,20210313,-
2713281,55817481,HYQ32_gp100,HYQ32_gp100,bering_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817482,HYQ32_gp101,HYQ32_gp101,bering_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817483,HYQ32_gp102,HYQ32_gp102,bering_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817484,HYQ32_gp103,HYQ32_gp103,bering_103,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20210313,-
2713281,55817485,HYQ32_gp104,HYQ32_gp104,bering_104,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20210320,-
2713281,55817486,HYQ32_gp105,HYQ32_gp105,bering_105,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210313,-
2713281,55817487,HYQ32_gp106,HYQ32_gp106,bering_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817488,HYQ32_gp107,HYQ32_gp107,bering_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817489,HYQ32_gp108,HYQ32_gp108,bering_108,-,-,-,putative holliday junction resolvase,protein-coding,-,-,-,putative holliday junction resolvase,20200910,-
2713281,55817490,HYQ32_gp109,HYQ32_gp109,bering_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817491,HYQ32_gp110,HYQ32_gp110,bering_110,-,-,-,FmdB family domain protein,protein-coding,-,-,-,FmdB family domain protein,20200919,-
2713281,55817492,HYQ32_gp111,HYQ32_gp111,bering_111,-,-,-,putative late promoter transcription factor,protein-coding,-,-,-,putative late promoter transcription factor,20200926,-
2713281,55817493,HYQ32_gp112,HYQ32_gp112,bering_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817494,HYQ32_gp113,HYQ32_gp113,bering_113,-,-,-,ssDNA-binding protein,protein-coding,-,-,-,ssDNA-binding protein,20210313,-
2713281,55817495,HYQ32_gp114,HYQ32_gp114,bering_114,-,-,-,baseplate tail tube initiator,protein-coding,-,-,-,baseplate tail tube initiator,20200910,-
2713281,55817496,HYQ32_gp115,HYQ32_gp115,bering_115,-,-,-,DNA end protector during packaging,protein-coding,-,-,-,DNA end protector during packaging,20200926,-
2713281,55817497,HYQ32_gp116,HYQ32_gp116,bering_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817498,HYQ32_gp117,HYQ32_gp117,bering_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817499,HYQ32_gp118,HYQ32_gp118,bering_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2713281,55817500,HYQ32_gp119,HYQ32_gp119,bering_119,-,-,-,putative kinase,protein-coding,-,-,-,putative kinase,20210313,-
2713281,55817501,HYQ32_gp120,HYQ32_gp120,bering_120,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210320,-
2713281,55817502,HYQ32_gp121,HYQ32_gp121,bering_121,-,-,-,putative deoxynucleotide monophosphate kinase,protein-coding,-,-,-,putative deoxynucleotide monophosphate kinase,20200910,-
2713281,55817503,HYQ32_gp122,HYQ32_gp122,bering_122,-,-,-,putative dUTP diphosphatase,protein-coding,-,-,-,putative dUTP diphosphatase,20210320,-
2713281,55817504,HYQ32_gp123,HYQ32_gp123,bering_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817505,HYQ32_gp124,HYQ32_gp124,bering_124,-,-,-,recombination protein,protein-coding,-,-,-,recombination protein,20200910,-
2713281,55817506,HYQ32_gp125,HYQ32_gp125,bering_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817507,HYQ32_gp126,HYQ32_gp126,bering_126,-,-,-,DNA primase-helicase subunit,protein-coding,-,-,-,DNA primase-helicase subunit,20210403,-
2713281,55817508,HYQ32_gp127,HYQ32_gp127,bering_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817509,HYQ32_gp128,HYQ32_gp128,bering_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817510,HYQ32_gp129,HYQ32_gp129,bering_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817511,HYQ32_gp130,HYQ32_gp130,bering_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817512,HYQ32_gp131,HYQ32_gp131,bering_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817513,HYQ32_gp132,HYQ32_gp132,bering_132,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200910,-
2713281,55817514,HYQ32_gp133,HYQ32_gp133,bering_133,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210320,-
2713281,55817515,HYQ32_gp134,HYQ32_gp134,bering_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817516,HYQ32_gp135,HYQ32_gp135,bering_135,-,-,-,DNA helicase loader,protein-coding,-,-,-,DNA helicase loader,20200926,-
2713281,55817517,HYQ32_gp136,HYQ32_gp136,bering_136,-,-,-,putative tail length tape measure protein,protein-coding,-,-,-,putative tail length tape measure protein,20200910,-
2713281,55817518,HYQ32_gp137,HYQ32_gp137,bering_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817519,HYQ32_gp138,HYQ32_gp138,bering_138,-,-,-,baseplate wedge component,protein-coding,-,-,-,baseplate wedge component,20210116,-
2713281,55817520,HYQ32_gp139,HYQ32_gp139,bering_139,-,-,-,putative tail tube associated base plate protein,protein-coding,-,-,-,putative tail tube associated base plate protein,20200926,-
2713281,55817521,HYQ32_gp140,HYQ32_gp140,bering_140,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210320,-
2713281,55817522,HYQ32_gp141,HYQ32_gp141,bering_141,-,-,-,membrane-flanked domain protein,protein-coding,-,-,-,membrane-flanked domain protein,20210403,-
2713281,55817523,HYQ32_gp142,HYQ32_gp142,bering_142,-,-,-,putative deoxycytidylate deaminase,protein-coding,-,-,-,putative deoxycytidylate deaminase,20210129,-
2713281,55817524,HYQ32_gp143,HYQ32_gp143,bering_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817525,HYQ32_gp144,HYQ32_gp144,bering_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817526,HYQ32_gp145,HYQ32_gp145,bering_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817527,HYQ32_gp146,HYQ32_gp146,bering_146,-,-,-,putative serine/threonine protein phosphatase,protein-coding,-,-,-,putative serine/threonine protein phosphatase,20210320,-
2713281,55817528,HYQ32_gp147,HYQ32_gp147,bering_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817529,HYQ32_gp148,HYQ32_gp148,bering_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2713281,55817530,HYQ32_gp149,HYQ32_gp149,bering_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817531,HYQ32_gp150,HYQ32_gp150,bering_150,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210327,-
2713281,55817532,HYQ32_gp151,HYQ32_gp151,bering_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817533,HYQ32_gp152,HYQ32_gp152,bering_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817534,HYQ32_gp153,HYQ32_gp153,bering_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2713281,55817535,HYQ32_gp154,HYQ32_gp154,bering_154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817536,HYQ32_gp155,HYQ32_gp155,bering_155,-,-,-,calcium-binding hemolysin protein,protein-coding,-,-,-,calcium-binding hemolysin protein,20200910,-
2713281,55817537,HYQ32_gp156,HYQ32_gp156,bering_156,-,-,-,C-N hydrolase superfamily protein,protein-coding,-,-,-,C-N hydrolase superfamily protein,20200910,-
2713281,55817538,HYQ32_gp157,HYQ32_gp157,bering_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817539,HYQ32_gp158,HYQ32_gp158,bering_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817540,HYQ32_gp159,HYQ32_gp159,bering_159,-,-,-,DNA topoisomerase II medium subunit,protein-coding,-,-,-,DNA topoisomerase II medium subunit,20210403,-
2713281,55817541,HYQ32_gp160,HYQ32_gp160,bering_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2713281,55817542,HYQ32_gp161,HYQ32_gp161,bering_161,-,-,-,DNA topoisomerase II large subunit,protein-coding,-,-,-,DNA topoisomerase II large subunit,20210320,-
2713281,55817543,HYQ32_gp162,HYQ32_gp162,bering_162,-,-,-,viral tegument-like protein,protein-coding,-,-,-,viral tegument-like protein,20200910,-
2713281,55817544,HYQ32_gp163,HYQ32_gp163,bering_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817545,HYQ32_gp164,HYQ32_gp164,bering_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817546,HYQ32_gp165,HYQ32_gp165,bering_165,-,-,-,putative histone-like protein,protein-coding,-,-,-,putative histone-like protein,20200919,-
2713281,55817547,HYQ32_gp166,HYQ32_gp166,bering_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817548,HYQ32_gp167,HYQ32_gp167,bering_167,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210320,-
2713281,55817549,HYQ32_gp168,HYQ32_gp168,bering_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817550,HYQ32_gp169,HYQ32_gp169,bering_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817551,HYQ32_gp170,HYQ32_gp170,bering_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817552,HYQ32_gp171,HYQ32_gp171,bering_171,-,-,-,RIIB protein,protein-coding,-,-,-,RIIB protein,20210320,-
2713281,55817553,HYQ32_gp172,HYQ32_gp172,bering_172,-,-,-,RIIA protein,protein-coding,-,-,-,RIIA protein,20200910,-
2713281,55817554,HYQ32_gp173,HYQ32_gp173,bering_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817555,HYQ32_gp174,HYQ32_gp174,bering_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817556,HYQ32_gp175,HYQ32_gp175,bering_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817557,HYQ32_gp176,HYQ32_gp176,bering_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817558,HYQ32_gp177,HYQ32_gp177,bering_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817559,HYQ32_gp178,HYQ32_gp178,bering_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817560,HYQ32_gp179,HYQ32_gp179,bering_179,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210313,-
2713281,55817561,HYQ32_gp180,HYQ32_gp180,bering_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
