#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
185431,2828229,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Trypanosoma brucei TREU927; Trypanosoma brucei brucei strain 927/4 GUTat10.1; Trypanosoma brucei strain TREU927).,other,-,-,-,-,20200224,-
185431,3655324,Tb927.2.480,Tb927.2.480,3B10.195,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655325,Tb927.2.490,Tb927.2.490,3B10.200,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655327,Tb927.2.510,Tb927.2.510,3B10.210,-,2,-,"retrotransposon hot spot (RHS) protein, putative",protein-coding,-,-,-,"retrotransposon hot spot (RHS) protein, putative",20200919,-
185431,3655329,Tb927.2.540,Tb927.2.540,3B10.225,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655332,Tb927.2.560,Tb927.2.560,3B10.235,-,2,-,"retrotransposon hot spot (RHS) protein, putative",protein-coding,-,-,-,"retrotransposon hot spot (RHS) protein, putative",20200919,-
185431,3655341,Tb927.2.650,Tb927.2.650,3B10.280,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3655342,Tb927.2.660,Tb927.2.660,3B10.285,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655344,Tb927.2.680,Tb927.2.680,3B10.295,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3655345,Tb927.2.690,Tb927.2.690,3B10.300,-,2,-,"leucine-rich repeat protein (LRRP), putative",protein-coding,-,-,-,"leucine-rich repeat protein (LRRP), putative",20200919,-
185431,3655348,Tb927.2.720,Tb927.2.720,3B10.315,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655358,Tb927.2.820,Tb927.2.820,3B10.365,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655359,Tb927.2.830,Tb927.2.830,3B10.370,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655366,Tb927.2.900,Tb927.2.900,25N24.240,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3655367,Tb927.2.910,Tb927.2.910,25N24.235,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655370,Tb927.2.940,Tb927.2.940,25N24.220,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3655371,Tb927.2.950,Tb927.2.950,25N24.215,-,2,-,"leucine-rich repeat protein (LRRP), putative",protein-coding,-,-,-,"leucine-rich repeat protein (LRRP), putative",20200919,-
185431,3655372,Tb927.2.960,Tb927.2.960,25N24.210,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3655374,Tb927.2.980,Tb927.2.980,25N24.200,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655381,Tb927.2.1050,Tb927.2.1050,25N24.165,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655382,Tb927.2.1060,Tb927.2.1060,25N24.160,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655384,Tb927.2.1080,Tb927.2.1080,25N24.150,-,2,-,"retrotransposon hot spot (RHS) protein, putative",protein-coding,-,-,-,"retrotransposon hot spot (RHS) protein, putative",20200919,-
185431,3655386,Tb927.2.1100,Tb927.2.1100,25N24.140,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655387,Tb927.2.1110,Tb927.2.1110,25N24.135,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655388,Tb927.2.1120,Tb927.2.1120,25N24.130,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655389,Tb927.2.1130,Tb927.2.1130,25N24.125,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655390,Tb927.2.1140,Tb927.2.1140,25N24.120,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655391,Tb927.2.1150,Tb927.2.1150,25N24.115,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655392,Tb927.2.1160,Tb927.2.1160,25N24.110,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655393,Tb927.2.1170,Tb927.2.1170,25N24.105,-,2,-,"retrotransposon hot spot (RHS) protein, putative",protein-coding,-,-,-,"retrotransposon hot spot (RHS) protein, putative",20200919,-
185431,3655394,Tb927.2.1180,Tb927.2.1180,25N24.100,-,2,-,"retrotransposon hot spot (RHS) protein, putative",protein-coding,-,-,-,"retrotransposon hot spot (RHS) protein, putative",20200919,-
185431,3655396,Tb927.2.1200,Tb927.2.1200,25N24.90,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655397,Tb927.2.1210,Tb927.2.1210,25N24.85,-,2,-,"retrotransposon hot spot (RHS) protein, putative",protein-coding,-,-,-,"retrotransposon hot spot (RHS) protein, putative",20200919,-
185431,3655401,Tb927.2.1250,Tb927.2.1250,25N24.65,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3655402,Tb927.2.1260,Tb927.2.1260,25N24.60,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655405,Tb927.2.1290,Tb927.2.1290,25N24.45,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3655407,Tb927.2.1310,Tb927.2.1310,25N24.35,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655409,Tb927.2.1330,Tb927.2.1330,25N24.25,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655411,Tb927.2.1350,Tb927.2.1350,25N24.15,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655414,Tb927.2.1380,Tb927.2.1380,27H14.270,-,2,-,"leucine-rich repeat protein (LRRP), putative",protein-coding,-,-,-,"leucine-rich repeat protein (LRRP), putative",20200919,-
185431,3655417,Tb927.2.1389,Tb927.2.1389,Tb927.2.1401,-,2,-,rRNA large subunit epsilon (M4),rRNA,-,-,-,-,20200919,-
185431,3655418,Tb927.2.1398,Tb927.2.1398,Tb927.2.1402,-,2,-,rRNA large subunit zeta (M6),rRNA,-,-,-,-,20200919,-
185431,3655419,Tb927.2.1407,Tb927.2.1407,-,-,2,-,rRNA large subunit delta (M2),rRNA,-,-,-,-,20200919,-
185431,3655423,Tb927.2.1443,Tb927.2.1443,-,-,2,-,rRNA 5.8S (M3),rRNA,-,-,-,-,20200919,-
185431,3655424,Tb927.2.1452,Tb927.2.1452,-,-,2,-,rRNA small subunit,rRNA,-,-,-,-,20200919,-
185431,3655430,Tb927.2.1460,Tb927.2.1460,27H14.230,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655431,Tb927.2.1470,Tb927.2.1470,27H14.225,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655432,Tb927.2.1480,Tb927.2.1480,-,-,2,-,rRNA large subunit epsilon (M4),rRNA,-,-,-,-,20200919,-
185431,3655433,Tb927.2.1490,Tb927.2.1490,-,-,2,-,rRNA large subunit zeta (M6),rRNA,-,-,-,-,20200919,-
185431,3655434,Tb927.2.1500,Tb927.2.1500,-,-,2,-,rRNA large subunit delta (M2),rRNA,-,-,-,-,20200919,-
185431,3655438,Tb927.2.1540,Tb927.2.1540,-,-,2,-,rRNA 5.8S (M3),rRNA,-,-,-,-,20200919,-
185431,3655439,Tb927.2.1550,Tb927.2.1550,-,-,2,-,rRNA small subunit,rRNA,-,-,-,-,20200919,-
185431,3655443,Tb927.2.1510,Tb927.2.1510,-,-,2,-,rRNA large subunit beta,rRNA,-,-,-,-,20200919,-
185431,3655444,Tb927.2.1520,Tb927.2.1520,-,-,2,-,rRNA large subunit gamma (M1),rRNA,-,-,-,-,20200919,-
185431,3655445,Tb927.2.1530,Tb927.2.1530,-,-,2,-,rRNA large subunit alpha,rRNA,-,-,-,-,20200919,-
185431,3655448,Tb927.2.1560,Tb927.2.1560,27H14.160,-,2,-,"cyclophilin type peptidyl-prolyl cis-trans isomerase precursor, putative",protein-coding,-,-,-,"cyclophilin type peptidyl-prolyl cis-trans isomerase precursor, putative",20200919,-
185431,3655452,Tb927.2.1600,Tb927.2.1600,27H14.140,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3655460,Tb927.2.1680,Tb927.2.1680,27H14.100,-,2,-,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative",protein-coding,-,-,-,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative",20200919,-
185431,3655462,Tb927.2.1700,Tb927.2.1700,27H14.90,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655464,Tb927.2.1720,Tb927.2.1720,27H14.80,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655465,Tb927.2.1730,Tb927.2.1730,27H14.75,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655466,Tb927.2.1740,Tb927.2.1740,27H14.70,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655468,Tb927.2.1760,Tb927.2.1760,27H14.60,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655469,Tb927.2.1770,Tb927.2.1770,27H14.55,-,2,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3655470,Tb927.2.1780,Tb927.2.1780,27H14.50,-,2,-,"N-acetylglucosaminyl-phosphatidylinositol biosynthetic protein, putative",protein-coding,-,-,-,"N-acetylglucosaminyl-phosphatidylinositol biosynthetic protein, putative",20200919,-
185431,3655471,Tb927.2.1790,Tb927.2.1790,27H14.45,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655472,Tb927.2.1800,Tb927.2.1800,27H14.40,-,2,-,"DNA polymerase delta catalytic subunit, putative",protein-coding,-,-,-,"DNA polymerase delta catalytic subunit, putative",20200919,-
185431,3655473,Tb927.2.1810,Tb927.2.1810,27H14.35,-,2,-,"transcription activator, putative",protein-coding,-,-,-,"transcription activator, putative",20200919,-
185431,3655474,Tb927.2.1820,Tb927.2.1820,27H14.30,-,2,-,"protein kinase, putative",protein-coding,-,-,-,"protein kinase, putative",20200919,-
185431,3655477,Tb927.2.1850,Tb927.2.1850,27H14.15,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655478,Tb927.2.1860,Tb927.2.1860,27H14.10,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655481,Tb927.2.1890,Tb927.2.1890,25N14.320,-,2,-,"autophagocytosis associated protein, putative",protein-coding,-,-,-,"autophagocytosis associated protein, putative",20200919,-
185431,3655484,Tb927.2.1920,Tb927.2.1920,25N14.305,-,2,-,"expression site-associated gene (ESAG) protein, putative",protein-coding,-,-,-,"expression site-associated gene (ESAG) protein, putative",20200919,-
185431,3655494,Tb927.2.1931,Tb927.2.1931,Tb927.2.2011,-,2,-,rRNA small subunit,rRNA,-,-,-,-,20200919,-
185431,3655495,Tb927.2.1942,Tb927.2.1942,Tb927.2.2012,-,2,-,rRNA 5.8S (M3),rRNA,-,-,-,-,20200919,-
185431,3655499,Tb927.2.1986,Tb927.2.1986,Tb927.2.2016,-,2,-,rRNA large subunit delta (M2),rRNA,-,-,-,-,20200919,-
185431,3655500,Tb927.2.1997,Tb927.2.1997,Tb927.2.2017,-,2,-,rRNA large subunit zeta (M6),rRNA,-,-,-,-,20200919,-
185431,3655501,Tb927.2.2008,Tb927.2.2008,Tb927.2.2018,-,2,-,rRNA large subunit epsilon (M4),rRNA,-,-,-,-,20200919,-
185431,3655502,Tb927.2.2020,Tb927.2.2020,25N14.255,-,2,-,"expression site-associated gene (ESAG) protein, putative",protein-coding,-,-,-,"expression site-associated gene (ESAG) protein, putative",20200919,-
185431,3655506,Tb927.2.2060,Tb927.2.2060,25N14.235,-,2,-,"variant surface glycoprotein (VSG)-related, putative",protein-coding,-,-,-,"variant surface glycoprotein (VSG)-related, putative",20200923,-
185431,3655507,Tb927.2.2070,Tb927.2.2070,25N14.230,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3655509,Tb927.2.2090,Tb927.2.2090,25N14.220,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3655512,Tb927.2.2120,Tb927.2.2120,25N14.205,-,2,-,"protein kinase, putative",protein-coding,-,-,-,"protein kinase, putative",20200919,-
185431,3655513,Tb927.2.2130,Tb927.2.2130,25N14.200,-,2,-,"small GTP-binding protein RAB6, putative",protein-coding,-,-,-,"small GTP-binding protein RAB6, putative",20200919,-
185431,3655514,Tb927.2.2140,Tb927.2.2140,25N14.195,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655516,Tb927.2.2160,Tb927.2.2160,25N14.185,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655518,Tb927.2.2180,Tb927.2.2180,25N14.175,-,2,-,ribosomal RNA processing protein 41B,protein-coding,-,-,-,ribosomal RNA processing protein 41B,20200919,-
185431,3655519,Tb927.2.2190,Tb927.2.2190,25N14.170,-,2,-,"histone deacetylase, putative",protein-coding,-,-,-,"histone deacetylase, putative",20200919,-
185431,3655520,Tb927.2.2200,Tb927.2.2200,25N14.165,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655521,Tb927.2.2210,Tb927.2.2210,25N14.160,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655522,Tb927.2.2220,Tb927.2.2220,25N14.155,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655523,Tb927.2.2230,Tb927.2.2230,25N14.150,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655524,Tb927.2.2240,Tb927.2.2240,25N14.145,-,2,-,"tRNA exportin, putative",protein-coding,-,-,-,"tRNA exportin, putative",20200919,-
185431,3655526,Tb927.2.2260,Tb927.2.2260,25N14.135,-,2,-,"phosphatidylinositol kinase domain protein, putative",protein-coding,-,-,-,"phosphatidylinositol kinase domain protein, putative",20200919,-
185431,3655527,Tb927.2.2270,Tb927.2.2270,25N14.130,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655532,Tb927.2.2320,Tb927.2.2320,25N14.105,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3655534,Tb927.2.2340,Tb927.2.2340,25N14.95,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655536,Tb927.2.2360,Tb927.2.2360,25N14.85,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655537,Tb927.2.2370,Tb927.2.2370,25N14.80,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655538,Tb927.2.2380,Tb927.2.2380,25N14.75,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655539,Tb927.2.2390,Tb927.2.2390,25N14.70,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655540,Tb927.2.2400,Tb927.2.2400,25N14.65,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655541,Tb927.2.2410,Tb927.2.2410,25N14.60,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655543,Tb927.2.2430,Tb927.2.2430,25N14.50,-,2,-,"casein kinase II, alpha chain",protein-coding,-,-,-,"casein kinase II, alpha chain",20200919,-
185431,3655544,Tb927.2.2440,Tb927.2.2440,25N14.45,-,2,-,proteasome regulatory non-ATPase subunit 6,protein-coding,-,-,-,proteasome regulatory non-ATPase subunit 6,20200919,-
185431,3655545,Tb927.2.2450,Tb927.2.2450,25N14.40,-,2,-,"ribosomal RNA methyltransferase, putative",protein-coding,-,-,-,"ribosomal RNA methyltransferase, putative",20200919,-
185431,3655546,Tb927.2.2460,Tb927.2.2460,25N14.35,-,2,-,"ubiquitin-conjugating enzyme E2, putative",protein-coding,-,-,-,"ubiquitin-conjugating enzyme E2, putative",20200919,-
185431,3655547,Tb927.2.2470,Tb927.2.2470,25N14.30,-,2,-,RNA-editing complex protein MP81,protein-coding,-,-,-,RNA-editing complex protein MP81,20200919,-
185431,3655549,Tb927.2.2490,Tb927.2.2490,25N14.20,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3655550,Tb927.2.2500,Tb927.2.2500,25N14.15,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655551,Tb927.2.2510,Tb927.2.2510,25N14.10,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655552,Tb927.2.2520,Tb927.2.2520,25N14.5,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655553,Tb927.2.2530,Tb927.2.2530,10C8.65,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655554,Tb927.2.2540,Tb927.2.2540,10C8.70,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655555,Tb927.2.2550,Tb927.2.2550,10C8.75,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655557,Tb927.2.2570,Tb927.2.2570,10C8.85,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655558,Tb927.2.2580,Tb927.2.2580,10C8.90,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655559,Tb927.2.2590,Tb927.2.2590,10C8.95,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655565,Tb927.2.2650,Tb927.2.2650,10C8.125,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655567,Tb927.2.2670,Tb927.2.2670,10C8.135,-,2,-,"histone H4, putative",protein-coding,-,-,-,"histone H4, putative",20200919,-
185431,3655572,Tb927.2.2720,Tb927.2.2720,10C8.160,-,2,-,"protein kinase, putative",protein-coding,-,-,-,"protein kinase, putative",20200919,-
185431,3655577,Tb927.2.2770,Tb927.2.2770,10C8.185,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655583,Tb927.2.2830,Tb927.2.2830,10C8.215,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655586,Tb927.2.2860,Tb927.2.2860,10C8.230,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655588,Tb927.2.2880,Tb927.2.2880,10C8.240,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655590,Tb927.2.2900,Tb927.2.2900,10C8.250,-,2,-,"ARP2/3 complex subunit, putative",protein-coding,-,-,-,"ARP2/3 complex subunit, putative",20200919,-
185431,3655591,Tb927.2.2910,Tb927.2.2910,10C8.255,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655592,Tb927.2.2920,Tb927.2.2920,10C8.260,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655594,Tb927.2.2940,Tb927.2.2940,10C8.270,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655595,Tb927.2.2950,Tb927.2.2950,10C8.275,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655597,Tb927.2.2970,Tb927.2.2970,10C8.285,-,2,-,"mitochondrial carrier protein, putative",protein-coding,-,-,-,"mitochondrial carrier protein, putative",20200919,-
185431,3655599,Tb927.2.2990,Tb927.2.2990,10C8.295,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655600,Tb927.2.3000,Tb927.2.3000,10C8.300,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655602,Tb927.2.3020,Tb927.2.3020,10C8.310,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655603,Tb927.2.3030,Tb927.2.3030,10C8.315,-,2,-,"ATP-dependent Clp protease subunit, heat shock protein 78 (HSP78), putative",protein-coding,-,-,-,"ATP-dependent Clp protease subunit, heat shock protein 78 (HSP78), putative",20200919,-
185431,3655608,Tb927.2.3080,Tb927.2.3080,10C8.340,-,2,-,"fatty acid desaturase, putative",protein-coding,-,-,-,"fatty acid desaturase, putative",20200919,-
185431,3655609,Tb927.2.3090,Tb927.2.3090,10C8.345,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655616,Tb927.2.3160,Tb927.2.3160,10C8.380,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655618,Tb927.2.3180,Tb927.2.3180,10C8.390,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655619,Tb927.2.3190,Tb927.2.3190,10C8.395,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655627,Tb927.2.3270,Tb927.2.3270,10C8.435,-,2,-,65 kDa in,protein-coding,-,-,-,65 kDa in,20200919,-
185431,3655628,Tb927.2.3280,Tb927.2.3280,10C8.440,-,2,-,65 kDa in,protein-coding,-,-,-,65 kDa in,20200919,-
185431,3655629,Tb927.2.3290,Tb927.2.3290,10C8.445,-,2,-,65 kDa in,protein-coding,-,-,-,65 kDa in,20200919,-
185431,3655630,Tb927.2.3300,Tb927.2.3300,10C8.450,-,2,-,65 kDa in,protein-coding,-,-,-,65 kDa in,20200919,-
185431,3655631,Tb927.2.3310,Tb927.2.3310,10C8.455,-,2,-,65 kDa in,protein-coding,-,-,-,65 kDa in,20200919,-
185431,3655632,Tb927.2.3320,Tb927.2.3320,10C8.460,-,2,-,65 kDa in,protein-coding,-,-,-,65 kDa in,20200919,-
185431,3655633,Tb927.2.3330,Tb927.2.3330,10C8.465,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3655634,Tb927.2.3340,Tb927.2.3340,10C8.470,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3655637,Tb927.2.3370,Tb927.2.3370,10C8.485,-,2,-,"UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative",protein-coding,-,-,-,"UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative",20200919,-
185431,3655639,Tb927.2.3390,Tb927.2.3390,28H13.45,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
185431,3655640,Tb927.2.3400,Tb927.2.3400,28H13.50,-,2,-,"hypothetical protein, conserved",protein-coding,-,-,-,"hypothetical protein, conserved",20200923,-
