#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1698712,26640677,POPTART_2,POPTART_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1698712,26640704,POPTART_30,POPTART_30,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
1698712,26640705,POPTART_31,POPTART_31,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1698712,26640706,POPTART_32,POPTART_32,-,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
1698712,26640707,POPTART_33,POPTART_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1698712,26640708,POPTART_34,POPTART_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640709,POPTART_35,POPTART_35,-,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20201221,-
1698712,26640710,POPTART_36,POPTART_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640711,POPTART_37,POPTART_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640712,POPTART_38,POPTART_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640713,POPTART_39,POPTART_39,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
1698712,26640714,POPTART_40,POPTART_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640715,POPTART_41,POPTART_41,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
1698712,26640716,POPTART_42,POPTART_42,-,-,-,-,CRO protein,protein-coding,-,-,-,CRO protein,20201221,-
1698712,26640717,POPTART_43,POPTART_43,-,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
1698712,26640718,POPTART_44,POPTART_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640719,POPTART_45,POPTART_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1698712,26640720,POPTART_46,POPTART_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640721,POPTART_47,POPTART_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640722,POPTART_48,POPTART_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640723,POPTART_49,POPTART_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640724,POPTART_50,POPTART_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640725,POPTART_51,POPTART_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1698712,26640726,POPTART_52,POPTART_52,-,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
1698712,26640727,POPTART_53,POPTART_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640728,POPTART_54,POPTART_54,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20210424,-
1698712,26640729,POPTART_55,POPTART_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640730,POPTART_56,POPTART_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640731,POPTART_57,POPTART_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640732,POPTART_58,POPTART_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640733,POPTART_59,POPTART_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640734,POPTART_60,POPTART_60,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
1698712,26640735,POPTART_61,POPTART_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640736,POPTART_62,POPTART_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640737,POPTART_63,POPTART_63,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
1698712,26640738,POPTART_64,POPTART_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640739,POPTART_65,POPTART_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640740,POPTART_66,POPTART_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640741,POPTART_67,POPTART_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640742,POPTART_69,POPTART_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640743,POPTART_70,POPTART_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640744,POPTART_71,POPTART_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640745,POPTART_72,POPTART_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640746,POPTART_73,POPTART_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640747,POPTART_74,POPTART_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640748,POPTART_75,POPTART_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640749,POPTART_76,POPTART_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640750,POPTART_77,POPTART_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640751,POPTART_78,POPTART_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640752,POPTART_79,POPTART_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640753,POPTART_80,POPTART_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640754,POPTART_81,POPTART_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640755,POPTART_82,POPTART_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640756,POPTART_83,POPTART_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640757,POPTART_84,POPTART_84,-,-,-,-,GIY-YIG DNA binding endonuclease,protein-coding,-,-,-,GIY-YIG DNA binding endonuclease,20210424,-
1698712,26640758,POPTART_85,POPTART_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640759,POPTART_86,POPTART_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640760,POPTART_87,POPTART_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640761,POPTART_88,POPTART_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640762,POPTART_89,POPTART_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640763,POPTART_90,POPTART_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640764,POPTART_91,POPTART_91,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201221,-
1698712,26640765,POPTART_92,POPTART_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640766,POPTART_93,POPTART_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1698712,26640767,POPTART_94,POPTART_94,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
1698712,26640768,POPTART_95,POPTART_95,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
1698712,26640769,POPTART_29,POPTART_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640770,POPTART_68,POPTART_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698712,26640771,POPTART_1,POPTART_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1698712,26680939,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage PopTart).,other,-,-,-,-,20200513,-
