#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
444878,10328116,gp33,Syn33_232,-,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20200629,-
444878,10328150,talC,Syn33_198,-,-,-,-,transaldolase-like protein,protein-coding,-,-,-,transaldolase-like protein,20210129,-
444878,10328151,Syn33_197,Syn33_197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328152,Syn33_196,Syn33_196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328153,Syn33_195,Syn33_195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328154,nrdB,Syn33_194,-,-,-,-,ribonucleotide reductase class Ia beta subunit,protein-coding,-,-,-,ribonucleotide reductase class Ia beta subunit,20200629,-
444878,10328155,Syn33_193,Syn33_193,-,-,-,-,ribonucleotide reductase subunit B,protein-coding,-,-,-,ribonucleotide reductase subunit B,20200629,-
444878,10328156,nrdA,Syn33_192,-,-,-,-,ribonucleotide reductase class Ia alpha subunit,protein-coding,-,-,-,ribonucleotide reductase class Ia alpha subunit,20200629,-
444878,10328157,gp61,Syn33_191,-,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20200629,-
444878,10328158,Syn33_190,Syn33_190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328159,Syn33_189,Syn33_189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328160,Syn33_188,Syn33_188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328161,Syn33_187,Syn33_187,-,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20200629,-
444878,10328162,Syn33_186,Syn33_186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328163,gp186,Syn33_185,-,-,-,-,gp186,protein-coding,-,-,-,gp186,20200629,-
444878,10328164,Syn33_184,Syn33_184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328165,Syn33_183,Syn33_183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328166,Syn33_182,Syn33_182,-,-,-,-,cytitidyltransferase,protein-coding,-,-,-,cytitidyltransferase,20200629,-
444878,10328167,Syn33_181,Syn33_181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328168,Syn33_180,Syn33_180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328169,Syn33_179,Syn33_179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328170,Syn33_178,Syn33_178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328171,Syn33_177,Syn33_177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328172,gp179,Syn33_176,-,-,-,-,terminase DNA packaging enzyme large subunit,protein-coding,-,-,-,terminase DNA packaging enzyme large subunit,20200629,-
444878,10328173,mazG,Syn33_175,-,-,-,-,pyrophosphatase,protein-coding,-,-,-,pyrophosphatase,20200629,-
444878,10328174,gp41,Syn33_174,-,-,-,-,DNA primase-helicase,protein-coding,-,-,-,DNA primase-helicase,20200629,-
444878,10328175,Syn33_173,Syn33_173,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200629,-
444878,10328176,uvsX,Syn33_172,-,-,-,-,UvsX RecA-like protein,protein-coding,-,-,-,UvsX RecA-like protein,20210129,-
444878,10328177,Syn33_171,Syn33_171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328178,gp43,Syn33_170,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200629,-
444878,10328179,Syn33_169,Syn33_169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328180,Syn33_168,Syn33_168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328181,Syn33_167,Syn33_167,-,-,-,-,DUF1583 domain-containing protein,protein-coding,-,-,-,DUF1583 domain-containing protein,20200629,-
444878,10328182,Syn33_166,Syn33_166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328183,hsp20,Syn33_165,-,-,-,-,heat shock protein,protein-coding,-,-,-,heat shock protein,20200629,-
444878,10328184,Syn33_164,Syn33_164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328185,Syn33_163,Syn33_163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328186,Syn33_162,Syn33_162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328187,Syn33_161,Syn33_161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328188,Syn33_160,Syn33_160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328189,Syn33_159,Syn33_159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328190,Syn33_158,Syn33_158,-,-,-,-,plasmid stability protein,protein-coding,-,-,-,plasmid stability protein,20200629,-
444878,10328191,Syn33_157,Syn33_157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328192,Syn33_156,Syn33_156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328193,regA,Syn33_155,-,-,-,-,translational repressor,protein-coding,-,-,-,translational repressor,20200629,-
444878,10328194,gp62,Syn33_154,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20210129,-
444878,10328195,dam,Syn33_153,-,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20200629,-
444878,10328196,Syn33_152,Syn33_152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328197,purL,Syn33_151,-,-,-,-,"5,5-phosphoribosylformylglycinamide amidotransferase",protein-coding,-,-,-,"5,5-phosphoribosylformylglycinamide amidotransferase",20200629,-
444878,10328198,gp44,Syn33_150,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200629,-
444878,10328199,gp45,Syn33_149,-,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20210129,-
444878,10328200,Syn33_148,Syn33_148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
444878,10328201,cobS,Syn33_147,-,-,-,-,putative cobalt chelatase subunit CobS,protein-coding,-,-,-,putative cobalt chelatase subunit CobS,20200629,-
444878,10328202,Syn33_146,Syn33_146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328203,Syn33_145,Syn33_145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328204,Syn33_144,Syn33_144,-,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20200629,-
444878,10328205,nrdC,Syn33_143,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20200629,-
444878,10328206,Syn33_142,Syn33_142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328207,Syn33_141,Syn33_141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328208,Syn33_140,Syn33_140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328209,Syn33_139,Syn33_139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328210,gp46,Syn33_138,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200629,-
444878,10328211,Syn33_137,Syn33_137,-,-,-,-,DUF3110 domain-containing protein,protein-coding,-,-,-,DUF3110 domain-containing protein,20210129,-
444878,10328212,gp47,Syn33_136,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200629,-
444878,10328213,gp47,Syn33_135,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200629,-
444878,10328214,gp55,Syn33_134,-,-,-,-,sigma factor for late transcription,protein-coding,-,-,-,sigma factor for late transcription,20200629,-
444878,10328215,Syn33_133,Syn33_133,-,-,-,-,methylamine utilization protein,protein-coding,-,-,-,methylamine utilization protein,20210129,-
444878,10328216,uvsW,Syn33_132,-,-,-,-,RNA-DNA + DNA-DNA helicase,protein-coding,-,-,-,RNA-DNA + DNA-DNA helicase,20200629,-
444878,10328217,Syn33_131,Syn33_131,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200629,-
444878,10328218,uvsY,Syn33_130,-,-,-,-,UvsY,protein-coding,-,-,-,UvsY,20200629,-
444878,10328219,Syn33_129,Syn33_129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328220,gp3,Syn33_128,-,-,-,-,head-proximal tip of tail tube tail completion + sheath stabilizer protein,protein-coding,-,-,-,head-proximal tip of tail tube tail completion + sheath stabilizer protein,20200629,-
444878,10328221,Syn33_127,Syn33_127,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200629,-
444878,10328222,Syn33_126,Syn33_126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328223,Syn33_125,Syn33_125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328224,gp23,Syn33_124,-,-,-,-,precursor of major head subunit,protein-coding,-,-,-,precursor of major head subunit,20200629,-
444878,10328225,gp22,Syn33_123,-,-,-,-,scaffold prohead core protein,protein-coding,-,-,-,scaffold prohead core protein,20200629,-
444878,10328226,gp21,Syn33_122,-,-,-,-,prohead core scaffold and protease,protein-coding,-,-,-,prohead core scaffold and protease,20200629,-
444878,10328227,Syn33_121,Syn33_121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328228,gp20,Syn33_120,-,-,-,-,portal vertex protein of head,protein-coding,-,-,-,portal vertex protein of head,20200629,-
444878,10328229,gp20',Syn33_119,-,-,-,-,portal vertex protein of head,protein-coding,-,-,-,portal vertex protein of head,20200629,-
444878,10328230,gp19,Syn33_118,-,-,-,-,tail tube monomer,protein-coding,-,-,-,tail tube monomer,20200629,-
444878,10328231,gp18,Syn33_117,-,-,-,-,tail sheath monomer,protein-coding,-,-,-,tail sheath monomer,20200629,-
444878,10328232,gp17,Syn33_116,-,-,-,-,terminase DNA packaging enzyme large subunit,protein-coding,-,-,-,terminase DNA packaging enzyme large subunit,20200629,-
444878,10328233,Syn33_115,Syn33_115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328234,Syn33_114,Syn33_114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328235,Syn33_113,Syn33_113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328236,Syn33_112,Syn33_112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328237,Syn33_111,Syn33_111,-,-,-,-,ferredoxin,protein-coding,-,-,-,ferredoxin,20200629,-
444878,10328238,petE,Syn33_110,-,-,-,-,plastocyanin,protein-coding,-,-,-,plastocyanin,20200629,-
444878,10328239,Syn33_109,Syn33_109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328240,Syn33_108,Syn33_108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328241,Syn33_107,Syn33_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328242,Syn33_106,Syn33_106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328243,Syn33_105,Syn33_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328244,Syn33_104,Syn33_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328245,gp16,Syn33_103,-,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20200629,-
444878,10328246,gp15,Syn33_102,-,-,-,-,proximal tail sheath stabilization,protein-coding,-,-,-,proximal tail sheath stabilization,20210129,-
444878,10328247,gp14,Syn33_101,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200629,-
444878,10328248,gp13,Syn33_100,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200629,-
444878,10328249,Syn33_099,Syn33_099,-,-,-,-,YadA domain-containing structural protein,protein-coding,-,-,-,YadA domain-containing structural protein,20200629,-
444878,10328250,Syn33_098,Syn33_098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328251,Syn33_097,Syn33_097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328252,Syn33_096,Syn33_096,-,-,-,-,VrlC protein,protein-coding,-,-,-,VrlC protein,20200629,-
444878,10328253,gp8,Syn33_095,-,-,-,-,baseplate wedge,protein-coding,-,-,-,baseplate wedge,20200629,-
444878,10328254,Syn33_094,Syn33_094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328255,gp9,Syn33_093,-,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20200629,-
444878,10328256,Syn33_092,Syn33_092,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200629,-
444878,10328257,gp6,Syn33_091,-,-,-,-,baseplate wedge,protein-coding,-,-,-,baseplate wedge,20210129,-
444878,10328258,gp25,Syn33_090,-,-,-,-,base plate wedge subunit,protein-coding,-,-,-,base plate wedge subunit,20210129,-
444878,10328259,Syn33_089,Syn33_089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328260,Syn33_088,Syn33_088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328261,Syn33_087,Syn33_087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328262,Syn33_086,Syn33_086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328263,Syn33_085,Syn33_085,-,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,protein-coding,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,20201220,-
444878,10328264,Syn33_084,Syn33_084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328265,Syn33_083,Syn33_083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328266,Syn33_082,Syn33_082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328267,Syn33_081,Syn33_081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328268,Syn33_080,Syn33_080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328269,Syn33_079,Syn33_079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328270,Syn33_078,Syn33_078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328271,Syn33_077,Syn33_077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328272,Syn33_076,Syn33_076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328273,Syn33_075,Syn33_075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328274,Syn33_074,Syn33_074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328275,Syn33_073,Syn33_073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328276,Syn33_072,Syn33_072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328277,Syn33_071,Syn33_071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328278,Syn33_070,Syn33_070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328279,Syn33_069,Syn33_069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328280,Syn33_068,Syn33_068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328281,Syn33_067,Syn33_067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328282,Syn33_066,Syn33_066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328283,Syn33_065,Syn33_065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328284,Syn33_064,Syn33_064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328285,Syn33_063,Syn33_063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328286,Syn33_062,Syn33_062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328287,Syn33_061,Syn33_061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328288,Syn33_060,Syn33_060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328289,Syn33_059,Syn33_059,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20200629,-
444878,10328290,dam,Syn33_058,-,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20200629,-
444878,10328291,Syn33_057,Syn33_057,-,-,-,-,restriction endonuclease,protein-coding,-,-,-,restriction endonuclease,20200629,-
444878,10328292,Syn33_056,Syn33_056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328293,Syn33_055,Syn33_055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328294,Syn33_054,Syn33_054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328295,Syn33_053,Syn33_053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328296,Syn33_052,Syn33_052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328297,Syn33_051,Syn33_051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328298,Syn33_050,Syn33_050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328299,Syn33_049,Syn33_049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328300,Syn33_048,Syn33_048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328301,gp38,Syn33_047,-,-,-,-,distal long tail fiber assembly catalyst,protein-coding,-,-,-,distal long tail fiber assembly catalyst,20200629,-
444878,10328302,denV,Syn33_046,-,-,-,-,DNA endonuclease V,protein-coding,-,-,-,DNA endonuclease V,20200629,-
444878,10328303,Syn33_045,Syn33_045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328304,Syn33_044,Syn33_044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328305,Syn33_043,Syn33_043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328306,Syn33_041,Syn33_041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328307,Syn33_040,Syn33_040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328308,Syn33_039,Syn33_039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328309,Syn33_038,Syn33_038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328310,Syn33_037,Syn33_037,-,-,-,-,fiber,protein-coding,-,-,-,fiber,20200629,-
444878,10328311,Syn33_036,Syn33_036,-,-,-,-,fiber,protein-coding,-,-,-,fiber,20200629,-
444878,10328312,Syn33_035,Syn33_035,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200629,-
444878,10328313,Syn33_034,Syn33_034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328314,Syn33_033,Syn33_033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328315,Syn33_032,Syn33_032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328316,Syn33_031,Syn33_031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328317,Syn33_030,Syn33_030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328318,Syn33_027,Syn33_027,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
444878,10328319,Syn33_025,Syn33_025,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
444878,10328320,Syn33_024,Syn33_024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328321,Syn33_023,Syn33_023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328322,Syn33_022,Syn33_022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328323,gp5,Syn33_021,-,-,-,-,baseplate hub + tail lysozyme,protein-coding,-,-,-,baseplate hub + tail lysozyme,20200629,-
444878,10328324,Syn33_019,Syn33_019,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
444878,10328325,cpeT,Syn33_018,-,-,-,-,antenna protein,protein-coding,-,-,-,antenna protein,20200629,-
444878,10328326,Syn33_017,Syn33_017,-,-,-,-,CP12,protein-coding,-,-,-,CP12,20210129,-
