#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419950,55006498,2,HOU47_gp02,PBI_CONSTANCE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2419950,55006528,32,HOU47_gp32,PBI_CONSTANCE_32,-,-,-,lipase,protein-coding,-,-,-,lipase,20210403,-
2419950,55006529,33,HOU47_gp33,PBI_CONSTANCE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006530,34,HOU47_gp34,PBI_CONSTANCE_34,-,-,-,integrase,protein-coding,-,-,-,integrase,20210403,-
2419950,55006531,35,HOU47_gp35,PBI_CONSTANCE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006532,36,HOU47_gp36,PBI_CONSTANCE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006533,37,HOU47_gp37,PBI_CONSTANCE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006534,38,HOU47_gp38,PBI_CONSTANCE_38,-,-,-,integrase,protein-coding,-,-,-,integrase,20210403,-
2419950,55006535,39,HOU47_gp39,PBI_CONSTANCE_39,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210403,-
2419950,55006536,40,HOU47_gp40,PBI_CONSTANCE_40,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210403,-
2419950,55006537,41,HOU47_gp41,PBI_CONSTANCE_41,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210403,-
2419950,55006538,42,HOU47_gp42,PBI_CONSTANCE_42,-,-,-,excise,protein-coding,-,-,-,excise,20201221,-
2419950,55006539,43,HOU47_gp43,PBI_CONSTANCE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006540,44,HOU47_gp44,PBI_CONSTANCE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006541,45,HOU47_gp45,PBI_CONSTANCE_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006542,46,HOU47_gp46,PBI_CONSTANCE_46,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
2419950,55006543,47,HOU47_gp47,PBI_CONSTANCE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006544,48,HOU47_gp48,PBI_CONSTANCE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006545,49,HOU47_gp49,PBI_CONSTANCE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006546,50,HOU47_gp50,PBI_CONSTANCE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006547,51,HOU47_gp51,PBI_CONSTANCE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2419950,55006548,52,HOU47_gp52,PBI_CONSTANCE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006549,53,HOU47_gp53,PBI_CONSTANCE_53,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201221,-
2419950,55006550,54,HOU47_gp54,PBI_CONSTANCE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006551,55,HOU47_gp55,PBI_CONSTANCE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006552,56,HOU47_gp56,PBI_CONSTANCE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006553,57,HOU47_gp57,PBI_CONSTANCE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006554,58,HOU47_gp58,PBI_CONSTANCE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006555,59,HOU47_gp59,PBI_CONSTANCE_59,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210403,-
2419950,55006556,60,HOU47_gp60,PBI_CONSTANCE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006557,61,HOU47_gp61,PBI_CONSTANCE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006558,62,HOU47_gp62,PBI_CONSTANCE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006559,63,HOU47_gp63,PBI_CONSTANCE_63,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20201221,-
2419950,55006560,64,HOU47_gp64,PBI_CONSTANCE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006561,65,HOU47_gp65,PBI_CONSTANCE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006562,66,HOU47_gp66,PBI_CONSTANCE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006563,67,HOU47_gp67,PBI_CONSTANCE_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006564,70,HOU47_gp70,PBI_CONSTANCE_70,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
2419950,55006565,68,HOU47_gp68,PBI_CONSTANCE_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006566,69,HOU47_gp69,PBI_CONSTANCE_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419950,55006567,1,HOU47_gp01,PBI_CONSTANCE_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210403,-
2419950,55154214,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
