#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2712958,55628279,HWD17_gp002,HWD17_gp002,CPT_Privateer_002,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200620,-
2712958,55628292,HWD17_gp015,HWD17_gp015,CPT_Privateer_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628293,HWD17_gp016,HWD17_gp016,CPT_Privateer_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628294,HWD17_gp017,HWD17_gp017,CPT_Privateer_017,-,-,-,virion-associated protein,protein-coding,-,-,-,virion-associated protein,20200620,-
2712958,55628295,HWD17_gp018,HWD17_gp018,CPT_Privateer_018,-,-,-,virion-associated protein,protein-coding,-,-,-,virion-associated protein,20200620,-
2712958,55628296,HWD17_gp019,HWD17_gp019,CPT_Privateer_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628297,HWD17_gp020,HWD17_gp020,CPT_Privateer_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628298,HWD17_gp021,HWD17_gp021,CPT_Privateer_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628299,HWD17_gp022,HWD17_gp022,CPT_Privateer_022,-,-,-,virion-associated protein,protein-coding,-,-,-,virion-associated protein,20200620,-
2712958,55628300,HWD17_gp023,HWD17_gp023,CPT_Privateer_023,-,-,-,virion-associated protein,protein-coding,-,-,-,virion-associated protein,20210129,-
2712958,55628301,HWD17_gp024,HWD17_gp024,CPT_Privateer_024,-,-,-,o-spanin,protein-coding,-,-,-,o-spanin,20210129,-
2712958,55628302,HWD17_gp025,HWD17_gp025,CPT_Privateer_025,-,-,-,i-spanin,protein-coding,-,-,-,i-spanin,20200620,-
2712958,55628303,HWD17_gp026,HWD17_gp026,CPT_Privateer_026,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210129,-
2712958,55628304,HWD17_gp027,HWD17_gp027,CPT_Privateer_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628305,HWD17_gp028,HWD17_gp028,CPT_Privateer_028,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20210129,-
2712958,55628306,HWD17_gp029,HWD17_gp029,CPT_Privateer_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628307,HWD17_gp030,HWD17_gp030,CPT_Privateer_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2712958,55628308,HWD17_gp031,HWD17_gp031,CPT_Privateer_031,-,-,-,putative acetyltransferase,protein-coding,-,-,-,putative acetyltransferase,20210129,-
2712958,55628309,HWD17_gp032,HWD17_gp032,CPT_Privateer_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628310,HWD17_gp033,HWD17_gp033,CPT_Privateer_033,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20210129,-
2712958,55628311,HWD17_gp034,HWD17_gp034,CPT_Privateer_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2712958,55628312,HWD17_gp035,HWD17_gp035,CPT_Privateer_035,-,-,-,nicotinate ribosyltransferase,protein-coding,-,-,-,nicotinate ribosyltransferase,20210129,-
2712958,55628313,HWD17_gp036,HWD17_gp036,CPT_Privateer_036,-,-,-,deoxyribosyltransferase superfamily protein,protein-coding,-,-,-,deoxyribosyltransferase superfamily protein,20200620,-
2712958,55628314,HWD17_gp037,HWD17_gp037,CPT_Privateer_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628315,HWD17_gp038,HWD17_gp038,CPT_Privateer_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628316,HWD17_gp039,HWD17_gp039,CPT_Privateer_039,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210129,-
2712958,55628317,HWD17_gp040,HWD17_gp040,CPT_Privateer_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628318,HWD17_gp041,HWD17_gp041,CPT_Privateer_041,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210129,-
2712958,55628319,HWD17_gp042,HWD17_gp042,CPT_Privateer_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628320,HWD17_gp043,HWD17_gp043,CPT_Privateer_043,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210129,-
2712958,55628321,HWD17_gp044,HWD17_gp044,CPT_Privateer_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628322,HWD17_gp045,HWD17_gp045,CPT_Privateer_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628323,HWD17_gp046,HWD17_gp046,CPT_Privateer_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628324,HWD17_gp047,HWD17_gp047,CPT_Privateer_047,-,-,-,endolysin endopeptidase,protein-coding,-,-,-,endolysin endopeptidase,20210129,-
2712958,55628325,HWD17_gp048,HWD17_gp048,CPT_Privateer_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628326,HWD17_gp049,HWD17_gp049,CPT_Privateer_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628327,HWD17_gp050,HWD17_gp050,CPT_Privateer_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628328,HWD17_gp051,HWD17_gp051,CPT_Privateer_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628329,HWD17_gp052,HWD17_gp052,CPT_Privateer_052,-,-,-,phosphatase,protein-coding,-,-,-,phosphatase,20210129,-
2712958,55628330,HWD17_gp053,HWD17_gp053,CPT_Privateer_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628331,HWD17_gp054,HWD17_gp054,CPT_Privateer_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628332,HWD17_gp055,HWD17_gp055,CPT_Privateer_055,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210129,-
2712958,55628333,HWD17_gp056,HWD17_gp056,CPT_Privateer_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628334,HWD17_gp057,HWD17_gp057,CPT_Privateer_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628335,HWD17_gp058,HWD17_gp058,CPT_Privateer_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628336,HWD17_gp059,HWD17_gp059,CPT_Privateer_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628337,HWD17_gp060,HWD17_gp060,CPT_Privateer_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628338,HWD17_gp061,HWD17_gp061,CPT_Privateer_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628339,HWD17_gp062,HWD17_gp062,CPT_Privateer_062,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210129,-
2712958,55628340,HWD17_gp063,HWD17_gp063,CPT_Privateer_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628341,HWD17_gp064,HWD17_gp064,CPT_Privateer_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628342,HWD17_gp065,HWD17_gp065,CPT_Privateer_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628343,HWD17_gp066,HWD17_gp066,CPT_Privateer_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628344,HWD17_gp067,HWD17_gp067,CPT_Privateer_067,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20210129,-
2712958,55628345,HWD17_gp068,HWD17_gp068,CPT_Privateer_068,-,-,-,DNA-binding Dps family protein,protein-coding,-,-,-,DNA-binding Dps family protein,20210129,-
2712958,55628346,HWD17_gp069,HWD17_gp069,CPT_Privateer_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628347,HWD17_gp070,HWD17_gp070,CPT_Privateer_070,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210129,-
2712958,55628348,HWD17_gp071,HWD17_gp071,CPT_Privateer_071,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210129,-
2712958,55628349,HWD17_gp072,HWD17_gp072,CPT_Privateer_072,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210129,-
2712958,55628350,HWD17_gp073,HWD17_gp073,CPT_Privateer_073,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210129,-
2712958,55628351,HWD17_gp074,HWD17_gp074,CPT_Privateer_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628352,HWD17_gp075,HWD17_gp075,CPT_Privateer_075,-,-,-,putative gamma-glutamyl cyclotransferase,protein-coding,-,-,-,putative gamma-glutamyl cyclotransferase,20210129,-
2712958,55628353,HWD17_gp076,HWD17_gp076,CPT_Privateer_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628354,HWD17_gp077,HWD17_gp077,CPT_Privateer_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628355,HWD17_gp078,HWD17_gp078,CPT_Privateer_078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628356,HWD17_gp079,HWD17_gp079,CPT_Privateer_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628357,HWD17_gp080,HWD17_gp080,CPT_Privateer_080,-,-,-,ribonucleotide reductase beta subunit,protein-coding,-,-,-,ribonucleotide reductase beta subunit,20210129,-
2712958,55628358,HWD17_gp081,HWD17_gp081,CPT_Privateer_081,-,-,-,ribonucleotide reductase alpha subunit,protein-coding,-,-,-,ribonucleotide reductase alpha subunit,20210129,-
2712958,55628359,HWD17_gp082,HWD17_gp082,CPT_Privateer_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628360,HWD17_gp083,HWD17_gp083,CPT_Privateer_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2712958,55628361,HWD17_gp084,HWD17_gp084,CPT_Privateer_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628362,HWD17_gp085,HWD17_gp085,CPT_Privateer_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628363,HWD17_gp086,HWD17_gp086,CPT_Privateer_086,-,-,-,RimK-like ATP-grasp domain-containing protein,protein-coding,-,-,-,RimK-like ATP-grasp domain-containing protein,20210129,-
2712958,55628364,HWD17_gp087,HWD17_gp087,CPT_Privateer_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628365,HWD17_gp088,HWD17_gp088,CPT_Privateer_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628366,HWD17_gp089,HWD17_gp089,CPT_Privateer_089,-,-,-,glutamine amidotransferase domain-containing protein,protein-coding,-,-,-,glutamine amidotransferase domain-containing protein,20210129,-
2712958,55628367,HWD17_gp090,HWD17_gp090,CPT_Privateer_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628368,HWD17_gp091,HWD17_gp091,CPT_Privateer_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628369,HWD17_gp092,HWD17_gp092,CPT_Privateer_092,-,-,-,carboxylate amine ligase domain-containing protein,protein-coding,-,-,-,carboxylate amine ligase domain-containing protein,20210129,-
2712958,55628370,HWD17_gp093,HWD17_gp093,CPT_Privateer_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628371,HWD17_gp094,HWD17_gp094,CPT_Privateer_094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628372,HWD17_gp095,HWD17_gp095,CPT_Privateer_095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628373,HWD17_gp096,HWD17_gp096,CPT_Privateer_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628374,HWD17_gp097,HWD17_gp097,CPT_Privateer_097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628375,HWD17_gp098,HWD17_gp098,CPT_Privateer_098,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210129,-
2712958,55628376,HWD17_gp099,HWD17_gp099,CPT_Privateer_099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628377,HWD17_gp100,HWD17_gp100,CPT_Privateer_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628378,HWD17_gp101,HWD17_gp101,CPT_Privateer_101,-,-,-,band-7-like membrane protein,protein-coding,-,-,-,band-7-like membrane protein,20210129,-
2712958,55628379,HWD17_gp102,HWD17_gp102,CPT_Privateer_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2712958,55628380,HWD17_gp103,HWD17_gp103,CPT_Privateer_103,-,-,-,RtcB-like RNA ligase,protein-coding,-,-,-,RtcB-like RNA ligase,20210129,-
2712958,55628381,HWD17_gp104,HWD17_gp104,CPT_Privateer_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628382,HWD17_gp105,HWD17_gp105,CPT_Privateer_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628383,HWD17_gp106,HWD17_gp106,CPT_Privateer_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628384,HWD17_gp107,HWD17_gp107,CPT_Privateer_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628385,HWD17_gp108,HWD17_gp108,CPT_Privateer_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628386,HWD17_gt001,HWD17_gt001,CPT_Privateer_109,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2712958,55628387,HWD17_gt002,HWD17_gt002,CPT_Privateer_110,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2712958,55628388,HWD17_gp144,HWD17_gp144,CPT_Privateer_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2712958,55628389,HWD17_gp143,HWD17_gp143,CPT_Privateer_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628390,HWD17_gp142,HWD17_gp142,CPT_Privateer_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628391,HWD17_gt003,HWD17_gt003,CPT_Privateer_114,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2712958,55628392,HWD17_gp141,HWD17_gp141,CPT_Privateer_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628393,HWD17_gp140,HWD17_gp140,CPT_Privateer_116,-,-,-,stress response protein,protein-coding,-,-,-,stress response protein,20210129,-
2712958,55628394,HWD17_gp139,HWD17_gp139,CPT_Privateer_117,-,-,-,nicotinate ribosyltransferase,protein-coding,-,-,-,nicotinate ribosyltransferase,20210129,-
2712958,55628395,HWD17_gp138,HWD17_gp138,CPT_Privateer_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628396,HWD17_gp137,HWD17_gp137,CPT_Privateer_119,-,-,-,phosphoribosyl transferase,protein-coding,-,-,-,phosphoribosyl transferase,20210129,-
2712958,55628397,HWD17_gp136,HWD17_gp136,CPT_Privateer_120,-,-,-,MazG-like nucleotide pyrophosphohydrolase,protein-coding,-,-,-,MazG-like nucleotide pyrophosphohydrolase,20210129,-
2712958,55628398,HWD17_gp135,HWD17_gp135,CPT_Privateer_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628399,HWD17_gp134,HWD17_gp134,CPT_Privateer_122,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210129,-
2712958,55628400,HWD17_gp133,HWD17_gp133,CPT_Privateer_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628401,HWD17_gp132,HWD17_gp132,CPT_Privateer_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2712958,55628402,HWD17_gp131,HWD17_gp131,CPT_Privateer_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628403,HWD17_gp130,HWD17_gp130,CPT_Privateer_126,-,-,-,stress response protein,protein-coding,-,-,-,stress response protein,20210129,-
2712958,55628404,HWD17_gp129,HWD17_gp129,CPT_Privateer_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628405,HWD17_gp128,HWD17_gp128,CPT_Privateer_128,-,-,-,stress response integral membrane protein,protein-coding,-,-,-,stress response integral membrane protein,20210129,-
2712958,55628406,HWD17_gp127,HWD17_gp127,CPT_Privateer_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628407,HWD17_gp126,HWD17_gp126,CPT_Privateer_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2712958,55628408,HWD17_gp125,HWD17_gp125,CPT_Privateer_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628409,HWD17_gp124,HWD17_gp124,CPT_Privateer_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628410,HWD17_gp123,HWD17_gp123,CPT_Privateer_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628411,HWD17_gp122,HWD17_gp122,CPT_Privateer_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628412,HWD17_gp121,HWD17_gp121,CPT_Privateer_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628413,HWD17_gp120,HWD17_gp120,CPT_Privateer_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628414,HWD17_gp119,HWD17_gp119,CPT_Privateer_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628415,HWD17_gp118,HWD17_gp118,CPT_Privateer_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628416,HWD17_gp117,HWD17_gp117,CPT_Privateer_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628417,HWD17_gp116,HWD17_gp116,CPT_Privateer_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2712958,55628418,HWD17_gp115,HWD17_gp115,CPT_Privateer_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628419,HWD17_gp114,HWD17_gp114,CPT_Privateer_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628420,HWD17_gp113,HWD17_gp113,CPT_Privateer_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628421,HWD17_gp112,HWD17_gp112,CPT_Privateer_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628422,HWD17_gp111,HWD17_gp111,CPT_Privateer_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628423,HWD17_gp110,HWD17_gp110,CPT_Privateer_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628424,HWD17_gp109,HWD17_gp109,CPT_Privateer_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2712958,55628425,HWD17_gt004,HWD17_gt004,CPT_Privateer_148,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2712958,55628426,HWD17_gp001,HWD17_gp001,CPT_Privateer_001,-,-,-,terminase,protein-coding,-,-,-,terminase,20210129,-
2712958,55636131,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
