#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1486403,19685936,2,HL05_gp002,PBI_MANAD_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210123,-
1486403,19685956,22,HL05_gp022,PBI_MANAD_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685957,23,HL05_gp023,PBI_MANAD_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685958,24,HL05_gp024,PBI_MANAD_24,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1486403,19685959,25,HL05_gp025,PBI_MANAD_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685960,26,HL05_gp026,PBI_MANAD_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685961,27,HL05_gp027,PBI_MANAD_27,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1486403,19685962,28,HL05_gp028,PBI_MANAD_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1486403,19685963,29,HL05_gp029,PBI_MANAD_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1486403,19685964,30,HL05_gp030,PBI_MANAD_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1486403,19685965,31,HL05_gp031,PBI_MANAD_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1486403,19685966,32,HL05_gp032,PBI_MANAD_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1486403,19685967,33,HL05_gp033,PBI_MANAD_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685968,34,HL05_gp034,PBI_MANAD_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685969,35,HL05_gp035,PBI_MANAD_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685970,36,HL05_gp036,PBI_MANAD_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685971,37,HL05_gp037,PBI_MANAD_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685972,38,HL05_gp038,PBI_MANAD_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685973,39,HL05_gp039,PBI_MANAD_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685974,40,HL05_gp040,PBI_MANAD_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685975,41,HL05_gp041,PBI_MANAD_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685976,42,HL05_gp042,PBI_MANAD_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685977,43,HL05_gp043,PBI_MANAD_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685978,44,HL05_gp044,PBI_MANAD_44,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200927,-
1486403,19685979,45,HL05_gp045,PBI_MANAD_45,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200927,-
1486403,19685980,46,HL05_gp046,PBI_MANAD_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685981,47,HL05_gp047,PBI_MANAD_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685982,48,HL05_gp048,PBI_MANAD_48,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1486403,19685983,49,HL05_gp049,PBI_MANAD_49,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1486403,19685984,50,HL05_gp050,PBI_MANAD_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685985,51,HL05_gp051,PBI_MANAD_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685986,52,HL05_gp052,PBI_MANAD_52,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200927,-
1486403,19685987,53,HL05_gp053,PBI_MANAD_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685988,54,HL05_gp054,PBI_MANAD_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685989,55,HL05_gp055,PBI_MANAD_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685990,56,HL05_gp056,PBI_MANAD_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685991,57,HL05_gp057,PBI_MANAD_57,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20200927,-
1486403,19685992,58,HL05_gp058,PBI_MANAD_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685993,59,HL05_gp059,PBI_MANAD_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685994,60,HL05_gp060,PBI_MANAD_60,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200927,-
1486403,19685995,61,HL05_gp061,PBI_MANAD_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685996,62,HL05_gp062,PBI_MANAD_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685997,63,HL05_gp063,PBI_MANAD_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685998,64,HL05_gp064,PBI_MANAD_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19685999,65,HL05_gp065,PBI_MANAD_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686000,66,HL05_gp066,PBI_MANAD_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686001,67,HL05_gp067,PBI_MANAD_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686002,68,HL05_gp068,PBI_MANAD_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686003,69,HL05_gp069,PBI_MANAD_69,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200927,-
1486403,19686004,70,HL05_gp070,PBI_MANAD_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686005,71,HL05_gp071,PBI_MANAD_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686006,72,HL05_gp072,PBI_MANAD_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1486403,19686007,73,HL05_gp073,PBI_MANAD_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686008,74,HL05_gp074,PBI_MANAD_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686009,75,HL05_gp075,PBI_MANAD_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686010,76,HL05_gp076,PBI_MANAD_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686011,77,HL05_gp077,PBI_MANAD_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686012,78,HL05_gp078,PBI_MANAD_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686013,79,HL05_gp079,PBI_MANAD_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686014,80,HL05_gp080,PBI_MANAD_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686015,81,HL05_gp081,PBI_MANAD_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686016,82,HL05_gp082,PBI_MANAD_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686017,83,HL05_gp083,PBI_MANAD_83,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1486403,19686018,84,HL05_gp084,PBI_MANAD_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686019,85,HL05_gp085,PBI_MANAD_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686020,86,HL05_gp086,PBI_MANAD_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686021,87,HL05_gp087,PBI_MANAD_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686022,88,HL05_gp088,PBI_MANAD_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686023,89,HL05_gp089,PBI_MANAD_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686024,90,HL05_gp090,PBI_MANAD_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686025,91,HL05_gp091,PBI_MANAD_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686026,92,HL05_gp092,PBI_MANAD_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686027,93,HL05_gp093,PBI_MANAD_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686028,94,HL05_gp094,PBI_MANAD_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686029,95,HL05_gp095,PBI_MANAD_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686030,96,HL05_gp096,PBI_MANAD_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686031,97,HL05_gp097,PBI_MANAD_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686032,98,HL05_gp098,PBI_MANAD_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686033,99,HL05_gp099,PBI_MANAD_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686034,100,HL05_gp100,PBI_MANAD_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686035,101,HL05_gp101,PBI_MANAD_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486403,19686036,1,HL05_gp001,PBI_MANAD_1,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20200927,-
1486403,19791168,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Manad).,other,-,-,-,-,20200513,-
