#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
673832,8676535,gp02,EP-phiFL1Ap02,-,-,-,-,ImmA/IrrE family metallo-endopeptidase,protein-coding,-,-,-,ImmA/IrrE family metallo-endopeptidase,20201220,-
673832,8676567,gp34,EP-phiFL1Ap34,-,-,-,-,transcriptional regulator ArpU family,protein-coding,-,-,-,transcriptional regulator ArpU family,20200629,-
673832,8676568,gp35,EP-phiFL1Ap35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676569,gp36,EP-phiFL1Ap36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676570,gp37,EP-phiFL1Ap37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
673832,8676571,gp38,EP-phiFL1Ap38,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
673832,8676572,gp39,EP-phiFL1Ap39,-,-,-,-,PBSX familygterminase large subunit,protein-coding,-,-,-,PBSX familygterminase large subunit,20201220,-
673832,8676573,gp40,EP-phiFL1Ap40,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
673832,8676574,gp41,EP-phiFL1Ap41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676575,gp42,EP-phiFL1Ap42,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201220,-
673832,8676576,gp43,EP-phiFL1Ap43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676577,gp44,EP-phiFL1Ap44,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20210417,-
673832,8676578,gp45,EP-phiFL1Ap45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676579,gp46,EP-phiFL1Ap46,-,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20201220,-
673832,8676580,gp47,EP-phiFL1Ap47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676581,gp48,EP-phiFL1Ap48,-,-,-,-,HK97 gp10 familygprotein,protein-coding,-,-,-,HK97 gp10 familygprotein,20201220,-
673832,8676582,gp49,EP-phiFL1Ap49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676583,gp50,EP-phiFL1Ap50,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200629,-
673832,8676584,gp51,EP-phiFL1Ap51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676585,gp52,EP-phiFL1Ap52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676586,gp53,EP-phiFL1Ap53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676587,gp54,EP-phiFL1Ap54,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201220,-
673832,8676588,gp55,EP-phiFL1Ap55,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
673832,8676589,gp56,EP-phiFL1Ap56,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201220,-
673832,8676590,gp57,EP-phiFL1Ap57,-,-,-,-,BppU familygbaseplate upper protein,protein-coding,-,-,-,BppU familygbaseplate upper protein,20201220,-
673832,8676591,gp58,EP-phiFL1Ap58,-,-,-,-,hemolysin XhlA family protein,protein-coding,-,-,-,hemolysin XhlA family protein,20201220,-
673832,8676592,gp59,EP-phiFL1Ap59,-,-,-,-,holin,protein-coding,-,-,-,holin,20200629,-
673832,8676593,gp60,EP-phiFL1Ap60,-,-,-,-,LysM peptidoglycan-binding domain-containing protein,protein-coding,-,-,-,LysM peptidoglycan-binding domain-containing protein,20201220,-
673832,8676594,gp61,EP-phiFL1Ap61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673832,8676595,gp01,EP-phiFL1Ap01,-,-,-,-,recombinase family protein,protein-coding,-,-,-,recombinase family protein,20201220,-
673832,8811815,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Enterococcus faecalis phage phiFL1A).,other,-,-,-,-,20200513,-
