#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
566270,7057036,SlnV2_gp002,SlnV2_gp002,-,-,-,-,orf1629,protein-coding,-,-,-,orf1629,20180816,-
566270,7057101,SlnV2_gp067,SlnV2_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057102,SlnV2_gp068,SlnV2_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057103,SlnV2_gp069,SlnV2_gp069,-,-,-,-,P6.9 DNA binding protein,protein-coding,-,-,-,P6.9 DNA binding protein,20180816,-
566270,7057104,SlnV2_gp070,SlnV2_gp070,-,-,-,-,LEF-5,protein-coding,-,-,-,LEF-5,20180816,-
566270,7057105,SlnV2_gp071,SlnV2_gp071,-,-,-,-,38 kDa protein,protein-coding,-,-,-,38 kDa protein,20180816,-
566270,7057106,SlnV2_gp072,SlnV2_gp072,-,-,-,-,BRO-1,protein-coding,-,-,-,BRO-1,20180816,-
566270,7057107,SlnV2_gp074,SlnV2_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057108,SlnV2_gp075,SlnV2_gp075,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20180816,-
566270,7057109,SlnV2_gp076,SlnV2_gp076,-,-,-,-,ODV-E25,protein-coding,-,-,-,ODV-E25,20180816,-
566270,7057110,SlnV2_gp077,SlnV2_gp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057111,SlnV2_gp078,SlnV2_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057112,SlnV2_gp079,SlnV2_gp079,-,-,-,-,LEF-4,protein-coding,-,-,-,LEF-4,20180816,-
566270,7057113,SlnV2_gp080,SlnV2_gp080,-,-,-,-,VP39 capsid,protein-coding,-,-,-,VP39 capsid,20180816,-
566270,7057114,SlnV2_gp081,SlnV2_gp081,-,-,-,-,CG30,protein-coding,-,-,-,CG30,20180816,-
566270,7057115,SlnV2_gp082,SlnV2_gp082,-,-,-,-,VP91 capsid,protein-coding,-,-,-,VP91 capsid,20180816,-
566270,7057116,SlnV2_gp083,SlnV2_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057117,SlnV2_gp084,SlnV2_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057118,SlnV2_gp085,SlnV2_gp085,-,-,-,-,GP41,protein-coding,-,-,-,GP41,20180816,-
566270,7057119,SlnV2_gp086,SlnV2_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057120,SlnV2_gp087,SlnV2_gp087,-,-,-,-,VLF-1,protein-coding,-,-,-,VLF-1,20180816,-
566270,7057121,SlnV2_gp088,SlnV2_gp088,-,-,-,-,CG30,protein-coding,-,-,-,CG30,20180816,-
566270,7057122,SlnV2_gp089,SlnV2_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057123,SlnV2_gp090,SlnV2_gp090,-,-,-,-,P26,protein-coding,-,-,-,P26,20180816,-
566270,7057124,SlnV2_gp091,SlnV2_gp091,-,-,-,-,IAP-2,protein-coding,-,-,-,IAP-2,20180816,-
566270,7057125,SlnV2_gp092,SlnV2_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057126,SlnV2_gp093,SlnV2_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057127,SlnV2_gp094,SlnV2_gp094,-,-,-,-,LEF-3,protein-coding,-,-,-,LEF-3,20180816,-
566270,7057128,SlnV2_gp095,SlnV2_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057129,SlnV2_gp096,SlnV2_gp096,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20180816,-
566270,7057130,SlnV2_gp097,SlnV2_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057131,SlnV2_gp098,SlnV2_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057132,SlnV2_gp099,SlnV2_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057133,SlnV2_gp100,SlnV2_gp100,-,-,-,-,LEF-9,protein-coding,-,-,-,LEF-9,20180816,-
566270,7057134,SlnV2_gp101,SlnV2_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057135,SlnV2_gp102,SlnV2_gp102,-,-,-,-,P94,protein-coding,-,-,-,P94,20180816,-
566270,7057136,SlnV2_gp103,SlnV2_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057137,SlnV2_gp104,SlnV2_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057138,SlnV2_gp105,SlnV2_gp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057139,SlnV2_gp106,SlnV2_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057140,SlnV2_gp107,SlnV2_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057141,SlnV2_gp108,SlnV2_gp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057142,SlnV2_gp109,SlnV2_gp109,-,-,-,-,VP1054,protein-coding,-,-,-,VP1054,20180816,-
566270,7057143,SlnV2_gp110,SlnV2_gp110,-,-,-,-,LEF-10,protein-coding,-,-,-,LEF-10,20180816,-
566270,7057144,SlnV2_gp111,SlnV2_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057145,SlnV2_gp112,SlnV2_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057146,SlnV2_gp113,SlnV2_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057147,SlnV2_gp114,SlnV2_gp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057148,SlnV2_gp115,SlnV2_gp115,-,-,-,-,IAP-3,protein-coding,-,-,-,IAP-3,20180816,-
566270,7057149,SlnV2_gp116,SlnV2_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057150,SlnV2_gp117,SlnV2_gp117,-,-,-,-,LEF-8,protein-coding,-,-,-,LEF-8,20180816,-
566270,7057151,SlnV2_gp118,SlnV2_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057152,SlnV2_gp119,SlnV2_gp119,-,-,-,-,ODV-E66,protein-coding,-,-,-,ODV-E66,20180816,-
566270,7057153,SlnV2_gp120,SlnV2_gp120,-,-,-,-,P47,protein-coding,-,-,-,P47,20180816,-
566270,7057154,SlnV2_gp121,SlnV2_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057155,SlnV2_gp122,SlnV2_gp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057156,SlnV2_gp123,SlnV2_gp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057157,SlnV2_gp124,SlnV2_gp124,-,-,-,-,LEF-11,protein-coding,-,-,-,LEF-11,20180816,-
566270,7057158,SlnV2_gp125,SlnV2_gp125,-,-,-,-,39 kDa protein/pp31,protein-coding,-,-,-,39 kDa protein/pp31,20180816,-
566270,7057159,SlnV2_gp126,SlnV2_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057160,SlnV2_gp127,SlnV2_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057161,SlnV2_gp128,SlnV2_gp128,-,-,-,-,V-ubiquitin,protein-coding,-,-,-,V-ubiquitin,20180816,-
566270,7057162,SlnV2_gp129,SlnV2_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057163,SlnV2_gp130,SlnV2_gp130,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20180816,-
566270,7057164,SlnV2_gp131,SlnV2_gp131,-,-,-,-,LEF-6,protein-coding,-,-,-,LEF-6,20180816,-
566270,7057165,SlnV2_gp132,SlnV2_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057166,SlnV2_gp133,SlnV2_gp133,-,-,-,-,P26,protein-coding,-,-,-,P26,20180816,-
566270,7057167,SlnV2_gp134,SlnV2_gp134,-,-,-,-,P10,protein-coding,-,-,-,P10,20180816,-
566270,7057168,SlnV2_gp135,SlnV2_gp135,-,-,-,-,P74,protein-coding,-,-,-,P74,20180816,-
566270,7057169,SlnV2_gp136,SlnV2_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057170,SlnV2_gp137,SlnV2_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057171,SlnV2_gp138,SlnV2_gp138,-,-,-,-,BRO-2,protein-coding,-,-,-,BRO-2,20180816,-
566270,7057172,SlnV2_gp139,SlnV2_gp139,-,-,-,-,IE-1,protein-coding,-,-,-,IE-1,20180816,-
566270,7057173,SlnV2_gp140,SlnV2_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057174,SlnV2_gp141,SlnV2_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057175,SlnV2_gp142,SlnV2_gp142,-,-,-,-,ODV-EC27,protein-coding,-,-,-,ODV-EC27,20180816,-
566270,7057176,SlnV2_gp143,SlnV2_gp143,-,-,-,-,ODV-E18,protein-coding,-,-,-,ODV-E18,20180816,-
566270,7057177,SlnV2_gp144,SlnV2_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057178,SlnV2_gp145,SlnV2_gp145,-,-,-,-,IE-0,protein-coding,-,-,-,IE-0,20180816,-
566270,7057179,SlnV2_gp146,SlnV2_gp146,-,-,-,-,RR1,protein-coding,-,-,-,RR1,20180816,-
566270,7057180,SlnV2_gp147,SlnV2_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057181,SlnV2_gp073,SlnV2_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
566270,7057182,SlnV2_gp001,SlnV2_gp001,-,-,-,-,polyhedrin,protein-coding,-,-,-,polyhedrin,20180816,-
566270,7066853,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210531,-
