#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1229789,13827503,2,D291_gp02,P100D_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1229789,13827535,35,D291_gp35,P100D_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827536,36,D291_gp36,P100D_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827537,37,D291_gp37,P100D_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827538,38,D291_gp38,P100D_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827539,39,D291_gp39,P100D_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827540,40,D291_gp40,P100D_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827541,41,D291_gp41,P100D_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827542,42,D291_gp42,P100D_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827543,43,D291_gp43,P100D_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827544,44,D291_gp44,P100D_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827545,47,D291_gp47,P100D_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827546,32,D291_gp32,P100D_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827547,45,D291_gp45,P100D_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827548,46,D291_gp46,P100D_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229789,13827549,1,D291_gp01,P100D_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1229789,13839495,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Propionibacterium acnes phage P100D).,other,-,-,-,-,20200513,-
