#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647284,26516873,AU105_gp002,AU105_gp002,GMA3_2,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20201221,-
1647284,26516962,AU105_gp091,AU105_gp091,GMA3_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516963,AU105_gp092,AU105_gp092,GMA3_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516964,AU105_gp093,AU105_gp093,GMA3_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516965,AU105_gp094,AU105_gp094,GMA3_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516966,AU105_gp095,AU105_gp095,GMA3_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516967,AU105_gp096,AU105_gp096,GMA3_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516968,AU105_gp097,AU105_gp097,GMA3_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516969,AU105_gp098,AU105_gp098,GMA3_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516970,AU105_gp099,AU105_gp099,GMA3_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516971,AU105_gp100,AU105_gp100,GMA3_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516972,AU105_gp101,AU105_gp101,GMA3_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516973,AU105_gp102,AU105_gp102,GMA3_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516974,AU105_gp103,AU105_gp103,GMA3_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516975,AU105_gp104,AU105_gp104,GMA3_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647284,26516976,AU105_gp001,AU105_gp001,GMA3_1,-,-,-,putative small terminase subunit,protein-coding,-,-,-,putative small terminase subunit,20201221,-
1647284,26591601,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
