#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1063,3759992,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Luteovulum sphaeroides; Rhodobacter sphaeroides; Rhodococcus capsulatus; Rhodococcus minor; Rhodopseudomonas sphaeroides; Rhodopseudomonas spheroides; Rhodorhagus capsulatus; Rhodorhagus minor; Rhodorrhagus capsulatus; Rhodorrhagus spheroides; Rhodosphaera capsulata; Rhodosphaera minor.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210515,-
1063,39511967,EBL88_RS21520,EBL88_RS21520,EBL88_21420,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511971,EBL88_RS21535,EBL88_RS21535,EBL88_21435,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511974,EBL88_RS21525,EBL88_RS21525,EBL88_21425,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511980,EBL88_RS21905,EBL88_RS21905,EBL88_21805,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511984,EBL88_RS21555,EBL88_RS21555,EBL88_21455,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511987,EBL86_RS22625,EBL86_RS22625,EBL86_22625,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39511988,EBL86_RS22435,EBL86_RS22435,EBL86_22435,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512004,EBL86_RS22910,EBL86_RS22910,EBL86_22910,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512005,EBL86_RS22380,EBL86_RS22380,EBL86_22380,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512018,EBL86_RS22650,EBL86_RS22650,EBL86_22650,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512026,EBL86_RS22400,EBL86_RS22400,EBL86_22400,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512030,EBL86_RS23000,EBL86_RS23000,EBL86_23000,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512033,EBL86_RS22515,EBL86_RS22515,EBL86_22515,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1063,39512038,EBL86_RS22985,EBL86_RS22985,EBL86_22985,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512039,EBL86_RS22490,EBL86_RS22490,EBL86_22490,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512041,EBL86_RS22730,EBL86_RS22730,EBL86_22730,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512049,EBL86_RS22810,EBL86_RS22810,EBL86_22810,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512067,EBL88_RS21550,EBL88_RS21550,EBL88_21450,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512069,EBL88_RS21655,EBL88_RS21655,EBL88_21555,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512073,EBL88_RS21735,EBL88_RS21735,EBL88_21635,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1063,39512090,EBL88_RS21570,EBL88_RS21570,EBL88_21470,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512099,EBL88_RS21800,EBL88_RS21800,EBL88_21700,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512108,EBL89_RS21485,EBL89_RS21485,EBL89_21425,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512128,EBL89_RS21745,EBL89_RS21745,EBL89_21685,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1063,39512131,EBL89_RS21205,EBL89_RS21205,EBL89_21145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512151,EBL86_RS23070,EBL86_RS23070,EBL86_23070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512157,EBL86_RS23035,EBL86_RS23035,EBL86_23035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512160,EBL86_RS23100,EBL86_RS23100,EBL86_23100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512170,EBL86_RS23205,EBL86_RS23205,EBL86_23205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512179,EBL86_RS23075,EBL86_RS23075,EBL86_23075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512183,EBL86_RS23190,EBL86_RS23190,EBL86_23190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512187,EBL86_RS23200,EBL86_RS23200,EBL86_23200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512190,EBL86_RS23195,EBL86_RS23195,EBL86_23195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512194,EBL86_RS23050,EBL86_RS23050,EBL86_23050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512195,EBL86_RS23295,EBL86_RS23295,EBL86_23295,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512197,EBL86_RS23300,EBL86_RS23300,EBL86_23300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512202,EBL86_RS23105,EBL86_RS23105,EBL86_23105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512217,EBL86_RS23150,EBL86_RS23150,EBL86_23150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512229,EBL89_RS21765,EBL89_RS21765,EBL89_21705,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512232,EBL89_RS21920,EBL89_RS21920,EBL89_21860,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512238,EBL89_RS21885,EBL89_RS21885,EBL89_21825,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512272,EBL89_RS21755,EBL89_RS21755,EBL89_21695,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512293,EBL89_RS21720,EBL89_RS21720,EBL89_21660,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512304,EBL86_RS23445,EBL86_RS23445,EBL86_23445,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512310,EBL86_RS23040,EBL86_RS23040,EBL86_23040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512312,EBL86_RS23085,EBL86_RS23085,EBL86_23085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512314,EBL86_RS23375,EBL86_RS23375,EBL86_23375,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512321,EBL87_RS21185,EBL87_RS21185,EBL87_21140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512339,EBL87_RS21475,EBL87_RS21475,EBL87_21430,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512346,EBL87_RS21455,EBL87_RS21455,EBL87_21410,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512353,EBL87_RS21320,EBL87_RS21320,EBL87_21275,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1063,39512356,EBL87_RS21775,EBL87_RS21775,EBL87_21730,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512357,EBL87_RS21730,EBL87_RS21730,EBL87_21685,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1063,39512415,EBL89_RS21995,EBL89_RS21995,EBL89_21940,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512425,EBL89_RS21490,EBL89_RS21490,EBL89_21430,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512443,EBL89_RS22045,EBL89_RS22045,EBL89_21990,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512444,EBL89_RS22100,EBL89_RS22100,EBL89_22045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512449,EBL89_RS22350,EBL89_RS22350,EBL89_22295,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1063,39512451,EBL89_RS22510,EBL89_RS22510,EBL89_22455,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512452,EBL89_RS22485,EBL89_RS22485,EBL89_22430,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512469,EBL87_RS21210,EBL87_RS21210,EBL87_21165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512481,EBL87_RS21855,EBL87_RS21855,EBL87_21810,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512502,EBL87_RS21400,EBL87_RS21400,EBL87_21355,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512520,EBL87_RS21365,EBL87_RS21365,EBL87_21320,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1063,39512527,EBL87_RS21435,EBL87_RS21435,EBL87_21390,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512535,EBL89_RS22030,EBL89_RS22030,EBL89_21975,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512542,EBL89_RS22080,EBL89_RS22080,EBL89_22025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512543,EBL89_RS22060,EBL89_RS22060,EBL89_22005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512546,EBL89_RS22070,EBL89_RS22070,EBL89_22015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512549,EBL89_RS22105,EBL89_RS22105,EBL89_22050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512572,EBL89_RS22085,EBL89_RS22085,EBL89_22030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512580,EBL89_RS22230,EBL89_RS22230,EBL89_22175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512586,EBL89_RS22270,EBL89_RS22270,EBL89_22215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512594,EBL89_RS22035,EBL89_RS22035,EBL89_21980,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512604,EBL89_RS22415,EBL89_RS22415,EBL89_22360,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512606,EBL89_RS22065,EBL89_RS22065,EBL89_22010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512613,EBL87_RS21345,EBL87_RS21345,EBL87_21300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512624,EBL87_RS21945,EBL87_RS21945,EBL87_21900,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512625,EBL87_RS21930,EBL87_RS21930,EBL87_21885,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512632,EBL87_RS22170,EBL87_RS22170,EBL87_22130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512633,EBL87_RS22175,EBL87_RS22175,EBL87_22135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512634,EBL87_RS22180,EBL87_RS22180,EBL87_22140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512636,EBL87_RS21915,EBL87_RS21915,EBL87_21870,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512646,EBL87_RS21895,EBL87_RS21895,EBL87_21850,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512651,EBL87_RS22275,EBL87_RS22275,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512662,EBL87_RS22130,EBL87_RS22130,EBL87_22090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512676,EBL87_RS21950,EBL87_RS21950,EBL87_21905,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1063,39512679,EBL87_RS21880,EBL87_RS21880,EBL87_21835,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
