#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2767557,60329037,2,I5H42_gp002,SEA_GANDALPH_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2767557,60329080,45,I5H42_gp045,SEA_GANDALPH_45,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2767557,60329081,46,I5H42_gp046,SEA_GANDALPH_46,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210424,-
2767557,60329082,47,I5H42_gp047,SEA_GANDALPH_47,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
2767557,60329083,48,I5H42_gp048,SEA_GANDALPH_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329084,49,I5H42_gp049,SEA_GANDALPH_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329085,50,I5H42_gp050,SEA_GANDALPH_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329086,51,I5H42_gp051,SEA_GANDALPH_51,-,-,-,excise,protein-coding,-,-,-,excise,20210212,-
2767557,60329087,52,I5H42_gp052,SEA_GANDALPH_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2767557,60329088,53,I5H42_gp053,SEA_GANDALPH_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329089,54,I5H42_gp054,SEA_GANDALPH_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329090,55,I5H42_gp055,SEA_GANDALPH_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329091,56,I5H42_gp056,SEA_GANDALPH_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329092,57,I5H42_gp057,SEA_GANDALPH_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329093,58,I5H42_gp058,SEA_GANDALPH_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329094,59,I5H42_gp059,SEA_GANDALPH_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2767557,60329095,60,I5H42_gp060,SEA_GANDALPH_60,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210529,-
2767557,60329096,61,I5H42_gp061,SEA_GANDALPH_61,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201217,-
2767557,60329097,62,I5H42_gp062,SEA_GANDALPH_62,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2767557,60329098,63,I5H42_gp063,SEA_GANDALPH_63,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210529,-
2767557,60329099,64,I5H42_gp064,SEA_GANDALPH_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329100,65,I5H42_gp065,SEA_GANDALPH_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329101,66,I5H42_gp066,SEA_GANDALPH_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329102,67,I5H42_gp067,SEA_GANDALPH_67,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210129,-
2767557,60329103,68,I5H42_gp068,SEA_GANDALPH_68,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
2767557,60329104,69,I5H42_gp069,SEA_GANDALPH_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2767557,60329105,70,I5H42_gp070,SEA_GANDALPH_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329106,71,I5H42_gp071,SEA_GANDALPH_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329107,72,I5H42_gp072,SEA_GANDALPH_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329108,73,I5H42_gp073,SEA_GANDALPH_73,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2767557,60329109,74,I5H42_gp074,SEA_GANDALPH_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329110,75,I5H42_gp075,SEA_GANDALPH_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329111,76,I5H42_gp076,SEA_GANDALPH_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329112,77,I5H42_gp077,SEA_GANDALPH_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329113,78,I5H42_gp078,SEA_GANDALPH_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329114,79,I5H42_gp079,SEA_GANDALPH_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329115,80,I5H42_gp080,SEA_GANDALPH_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329116,81,I5H42_gp081,SEA_GANDALPH_81,-,-,-,MPME1 protein,protein-coding,-,-,-,MPME1 protein,20201129,-
2767557,60329117,82,I5H42_gp082,SEA_GANDALPH_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329118,83,I5H42_gp083,SEA_GANDALPH_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329119,84,I5H42_gp084,SEA_GANDALPH_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329120,85,I5H42_gp085,SEA_GANDALPH_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329121,86,I5H42_gp086,SEA_GANDALPH_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329122,87,I5H42_gp087,SEA_GANDALPH_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329123,88,I5H42_gp088,SEA_GANDALPH_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329124,89,I5H42_gp089,SEA_GANDALPH_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329125,90,I5H42_gp090,SEA_GANDALPH_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329126,91,I5H42_gp091,SEA_GANDALPH_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329127,92,I5H42_gp092,SEA_GANDALPH_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329128,93,I5H42_gp093,SEA_GANDALPH_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329129,94,I5H42_gp094,SEA_GANDALPH_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2767557,60329130,95,I5H42_gp095,SEA_GANDALPH_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329131,96,I5H42_gp096,SEA_GANDALPH_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329132,97,I5H42_gp097,SEA_GANDALPH_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329133,98,I5H42_gp098,SEA_GANDALPH_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329134,99,I5H42_gp099,SEA_GANDALPH_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329135,100,I5H42_gp100,SEA_GANDALPH_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329136,101,I5H42_gp101,SEA_GANDALPH_101,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210529,-
2767557,60329137,102,I5H42_gp102,SEA_GANDALPH_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767557,60329138,103,I5H42_gp103,SEA_GANDALPH_103,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210529,-
2767557,60329139,104,I5H42_gp104,SEA_GANDALPH_104,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
2767557,60329140,1,I5H42_gp001,SEA_GANDALPH_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2767557,60338905,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
