#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1463809,18506052,CG91_gp002,CG91_gp002,39HC_02,-,-,-,queuine-tRNA ribosyltransferase,protein-coding,-,-,-,queuine-tRNA ribosyltransferase,20201221,-
1463809,18506088,CG91_gp038,CG91_gp038,39HC_038,-,-,-,HTH binding protein,protein-coding,-,-,-,HTH binding protein,20201221,-
1463809,18506089,CG91_gp039,CG91_gp039,39HC_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506090,CG91_gp040,CG91_gp040,39HC_040,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1463809,18506091,CG91_gp041,CG91_gp041,39HC_041,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1463809,18506092,CG91_gp042,CG91_gp042,39HC_042,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1463809,18506093,CG91_gp043,CG91_gp043,39HC_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506094,CG91_gp044,CG91_gp044,39HC_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506095,CG91_gp045,CG91_gp045,39HC_045,-,-,-,type III restriction helicase,protein-coding,-,-,-,type III restriction helicase,20201221,-
1463809,18506096,CG91_gp046,CG91_gp046,39HC_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506097,CG91_gp047,CG91_gp047,39HC_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506098,CG91_gp048,CG91_gp048,39HC_048,-,-,-,primase/helicase,protein-coding,-,-,-,primase/helicase,20201221,-
1463809,18506099,CG91_gp049,CG91_gp049,39HC_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506100,CG91_gp050,CG91_gp050,39HC_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506101,CG91_gp051,CG91_gp051,39HC_051,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1463809,18506102,CG91_gp052,CG91_gp052,39HC_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506103,CG91_gp053,CG91_gp053,39HC_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506104,CG91_gp054,CG91_gp054,39HC_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506105,CG91_gp055,CG91_gp055,39HC_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506106,CG91_gp056,CG91_gp056,39HC_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506107,CG91_gp057,CG91_gp057,39HC_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506108,CG91_gp058,CG91_gp058,39HC_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506109,CG91_gp059,CG91_gp059,39HC_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506110,CG91_gp060,CG91_gp060,39HC_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506111,CG91_gp061,CG91_gp061,39HC_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506112,CG91_gp062,CG91_gp062,39HC_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506113,CG91_gp063,CG91_gp063,39HC_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506114,CG91_gp064,CG91_gp064,39HC_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506115,CG91_gp065,CG91_gp065,39HC_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506116,CG91_gp066,CG91_gp066,39HC_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506117,CG91_gp067,CG91_gp067,39HC_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506118,CG91_gp068,CG91_gp068,39HC_068,-,-,-,RNaseE,protein-coding,-,-,-,RNaseE,20201221,-
1463809,18506119,CG91_gp069,CG91_gp069,39HC_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506120,CG91_gp070,CG91_gp070,39HC_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506121,CG91_gp071,CG91_gp071,39HC_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506122,CG91_gp072,CG91_gp072,39HC_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506123,CG91_gp073,CG91_gp073,39HC_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506124,CG91_gp074,CG91_gp074,39HC_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506125,CG91_gp075,CG91_gp075,39HC_075,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1463809,18506126,CG91_gp076,CG91_gp076,39HC_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506127,CG91_gp077,CG91_gp077,39HC_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506128,CG91_gp078,CG91_gp078,39HC_078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506129,CG91_gp079,CG91_gp079,39HC_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506130,CG91_gp080,CG91_gp080,39HC_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506131,CG91_gp081,CG91_gp081,39HC_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506132,CG91_gp082,CG91_gp082,39HC_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506133,CG91_gp083,CG91_gp083,39HC_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506134,CG91_gp084,CG91_gp084,39HC_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506135,CG91_gp085,CG91_gp085,39HC_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506136,CG91_gp086,CG91_gp086,39HC_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506137,CG91_gp087,CG91_gp087,39HC_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506138,CG91_gp088,CG91_gp088,39HC_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506139,CG91_gp089,CG91_gp089,39HC_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506140,CG91_gp090,CG91_gp090,39HC_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506141,CG91_gp091,CG91_gp091,39HC_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506142,CG91_gp092,CG91_gp092,39HC_092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506143,CG91_gp093,CG91_gp093,39HC_093,-,-,-,PE/PPE-like protein,protein-coding,-,-,-,PE/PPE-like protein,20201221,-
1463809,18506144,CG91_gp094,CG91_gp094,39HC_094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506145,CG91_gp095,CG91_gp095,39HC_095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506146,CG91_gp096,CG91_gp096,39HC_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506147,CG91_gp097,CG91_gp097,39HC_097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506148,CG91_gp098,CG91_gp098,39HC_098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506149,CG91_gp099,CG91_gp099,39HC_099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506150,CG91_gp100,CG91_gp100,39HC_0100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463809,18506151,CG91_gp001,CG91_gp001,39HC_01,-,-,-,ParB-like protein,protein-coding,-,-,-,ParB-like protein,20201221,-
1463809,18558831,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
