#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591211,63027395,2,J1776_gp02,SEA_VERITY_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210424,-
2591211,63027440,47,J1776_gp47,SEA_VERITY_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027441,48,J1776_gp48,SEA_VERITY_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591211,63027442,49,J1776_gp49,SEA_VERITY_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027443,50,J1776_gp50,SEA_VERITY_50,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210424,-
2591211,63027444,51,J1776_gp51,SEA_VERITY_51,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210424,-
2591211,63027445,52,J1776_gp52,SEA_VERITY_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027446,53,J1776_gp53,SEA_VERITY_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027447,54,J1776_gp54,SEA_VERITY_54,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210424,-
2591211,63027448,55,J1776_gp55,SEA_VERITY_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027449,56,J1776_gp56,SEA_VERITY_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027450,57,J1776_gp57,SEA_VERITY_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027451,58,J1776_gp58,SEA_VERITY_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027452,59,J1776_gp59,SEA_VERITY_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027453,60,J1776_gp60,SEA_VERITY_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027454,61,J1776_gp61,SEA_VERITY_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027455,62,J1776_gp62,SEA_VERITY_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027456,63,J1776_gp63,SEA_VERITY_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027457,64,J1776_gp64,SEA_VERITY_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027458,65,J1776_gp65,SEA_VERITY_65,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210424,-
2591211,63027459,66,J1776_gp66,SEA_VERITY_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027460,67,J1776_gp67,SEA_VERITY_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027461,68,J1776_gp68,SEA_VERITY_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591211,63027462,69,J1776_gp69,SEA_VERITY_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027463,70,J1776_gp70,SEA_VERITY_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027464,71,J1776_gp71,SEA_VERITY_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027465,72,J1776_gp72,SEA_VERITY_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027466,73,J1776_gp73,SEA_VERITY_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027467,74,J1776_gp74,SEA_VERITY_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027468,75,J1776_gp75,SEA_VERITY_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027469,76,J1776_gp76,SEA_VERITY_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027470,77,J1776_gp77,SEA_VERITY_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027471,78,J1776_gp78,SEA_VERITY_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027472,79,J1776_gp79,SEA_VERITY_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027473,80,J1776_gp80,SEA_VERITY_80,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20210424,-
2591211,63027474,81,J1776_gp81,SEA_VERITY_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027475,82,J1776_gp82,SEA_VERITY_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027476,83,J1776_gp83,SEA_VERITY_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027477,84,J1776_gp84,SEA_VERITY_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027478,85,J1776_gp85,SEA_VERITY_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027479,86,J1776_gp86,SEA_VERITY_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591211,63027480,87,J1776_gp87,SEA_VERITY_87,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210309,-
2591211,63027481,88,J1776_gp88,SEA_VERITY_88,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210424,-
2591211,63027482,1,J1776_gp01,SEA_VERITY_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210309,-
2591211,63139673,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210310,-
