#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
56641,44803841,rps3,HCT12_mgp52,-,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,ribosomal protein S3,20200908,-
56641,44803861,iorf420,HCT12_mgp46,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
56641,44803862,atp9,HCT12_mgp45,-,-,MT,-,ATP synthase subunit 9,protein-coding,-,-,-,ATP synthase subunit 9,20210129,-
56641,44803863,iorf282,HCT12_mgp44,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210403,-
56641,44803864,cox2,HCT12_mgp43,-,-,MT,-,cytochrome c oxidase subunit 2,protein-coding,-,-,-,cytochrome c oxidase subunit 2,20210129,-
56641,44803865,iorf452,HCT12_mgp42,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210403,-
56641,44803866,iorf455,HCT12_mgp41,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210320,-
56641,44803867,trnR(acg),HCT12_mgt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803868,trnR(tcg),HCT12_mgt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803869,orf313,HCT12_mgp40,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
56641,44803870,orf132,HCT12_mgp39,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210327,-
56641,44803871,trnY(ata),HCT12_mgt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803872,nad4L,HCT12_mgp38,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,NADH dehydrogenase subunit 4L,20210129,-
56641,44803873,iorf343,HCT12_mgp37,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
56641,44803874,nad5,HCT12_mgp36,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20210129,-
56641,44803875,iorf302,HCT12_mgp35,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210129,-
56641,44803876,orf149,HCT12_mgp34,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
56641,44803877,cob,HCT12_mgp33,-,-,MT,-,cytochrome b,protein-coding,-,-,-,cytochrome b,20210129,-
56641,44803878,iorf471,HCT12_mgp32,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210403,-
56641,44803879,iorf488,HCT12_mgp31,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210129,-
56641,44803880,iorf289,HCT12_mgp30,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210320,-
56641,44803881,iorf312,HCT12_mgp29,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210403,-
56641,44803882,iorf309,HCT12_mgp28,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210123,-
56641,44803883,iorf472,HCT12_mgp27,-,-,MT,-,Homing endonuclease,protein-coding,-,-,-,Homing endonuclease,20200908,-
56641,44803884,trnC(gca),HCT12_mgt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803885,orf103,HCT12_mgp26,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
56641,44803886,cox1,HCT12_mgp25,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,cytochrome c oxidase subunit 1,20210129,-
56641,44803887,iorf370,HCT12_mgp24,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
56641,44803888,iorf358,HCT12_mgp23,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
56641,44803889,iorf305,HCT12_mgp22,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
56641,44803890,iorf305,HCT12_mgp21,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210403,-
56641,44803891,iorf323,HCT12_mgp20,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210403,-
56641,44803892,iorf406,HCT12_mgp19,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
56641,44803893,iorf350,HCT12_mgp18,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210129,-
56641,44803894,iorf318,HCT12_mgp17,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
56641,44803895,iorf440,HCT12_mgp16,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210129,-
56641,44803896,iorf146,HCT12_mgp15,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210320,-
56641,44803897,iorf379,HCT12_mgp14,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210129,-
56641,44803898,iorf269,HCT12_mgp13,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210129,-
56641,44803899,trnR(tct),HCT12_mgt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803900,orf154,HCT12_mgp12,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
56641,44803901,nad1,HCT12_mgp11,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20210129,-
56641,44803902,iorf332,HCT12_mgp10,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210320,-
56641,44803903,nad4,HCT12_mgp09,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20210129,-
56641,44803904,atp8,HCT12_mgp08,-,-,MT,-,ATP synthase subunit 8,protein-coding,-,-,-,ATP synthase subunit 8,20210212,-
56641,44803905,atp6,HCT12_mgp07,-,-,MT,-,ATP synthase subunit 6,protein-coding,-,-,-,ATP synthase subunit 6,20210129,-
56641,44803906,iorf352,HCT12_mgp06,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210403,-
56641,44803907,rns,HCT12_mgr01,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20200908,-
56641,44803908,trnY(gta),HCT12_mgt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803909,trnD(gtc),HCT12_mgt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803910,trnS(gct),HCT12_mgt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803911,trnN(gtt),HCT12_mgt23,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803912,cox3,HCT12_mgp05,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,cytochrome c oxidase subunit 3,20210320,-
56641,44803913,iorf339,HCT12_mgp04,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
56641,44803914,iorf450,HCT12_mgp03,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
56641,44803915,iorf499,HCT12_mgp02,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
56641,44803916,nad6,HCT12_mgp01,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20210129,-
56641,44803917,trnV(tac),HCT12_mgt24,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803918,trnI(gat),HCT12_mgt25,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803919,trnS(tga),HCT12_mgt26,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803920,trnW(tca),HCT12_mgt27,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803921,trnP(tgg),HCT12_mgt28,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
56641,44803922,rnl,HCT12_mgr02,-,-,MT,-,16S ribosomal RNA,rRNA,-,-,-,-,20200908,-
