#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
445685,10329137,SSSM5_229,SSSM5_229,-,-,-,-,tryptophan halogenase,protein-coding,-,-,-,tryptophan halogenase,20200909,-
445685,10329159,SSSM5_206,SSSM5_206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329160,hli03,SSSM5_205,-,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20200909,-
445685,10329161,hli03,SSSM5_204,-,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20200909,-
445685,10329162,SSSM5_203,SSSM5_203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329163,SSSM5_202,SSSM5_202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329164,gp59,SSSM5_001,-,-,-,-,loader of gp41 DNA helicase,protein-coding,-,-,-,loader of gp41 DNA helicase,20200909,-
445685,10329165,SSSM5_200,SSSM5_200,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
445685,10329166,SSSM5_199,SSSM5_199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329167,SSSM5_198,SSSM5_198,-,-,-,-,NAD synthetase,protein-coding,-,-,-,NAD synthetase,20200909,-
445685,10329168,SSSM5_197,SSSM5_197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329169,SSSM5_196,SSSM5_196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329170,talC,SSSM5_195,-,-,-,-,transaldolase-like protein,protein-coding,-,-,-,transaldolase-like protein,20200909,-
445685,10329171,SSSM5_194,SSSM5_194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329172,SSSM5_193,SSSM5_193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329173,SSSM5_192,SSSM5_192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329174,SSSM5_191,SSSM5_191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329175,nrdB,SSSM5_190,-,-,-,-,ribonucleotide reductase class Ia beta subunit,protein-coding,-,-,-,ribonucleotide reductase class Ia beta subunit,20200909,-
445685,10329176,nrdA,SSSM5_189,-,-,-,-,ribonucleotide reductase class Ia alpha subunit,protein-coding,-,-,-,ribonucleotide reductase class Ia alpha subunit,20200909,-
445685,10329177,gp61,SSSM5_188,-,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20200909,-
445685,10329178,SSSM5_187,SSSM5_187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329179,SSSM5_186,SSSM5_186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329180,SSSM5_185,SSSM5_185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329181,SSSM5_184,SSSM5_184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329182,SSSM5_183,SSSM5_183,-,-,-,-,S-layer domain protein,protein-coding,-,-,-,S-layer domain protein,20200909,-
445685,10329183,SSSM5_182,SSSM5_182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329184,SSSM5_181,SSSM5_181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329185,SSSM5_180,SSSM5_180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329186,gp185,SSSM5_179,-,-,-,-,gp185,protein-coding,-,-,-,gp185,20200909,-
445685,10329187,SSSM5_178,SSSM5_178,-,-,-,-,cytitidyltransferase,protein-coding,-,-,-,cytitidyltransferase,20200909,-
445685,10329188,SSSM5_177,SSSM5_177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329189,SSSM5_176,SSSM5_176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329190,SSSM5_175,SSSM5_175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329191,SSSM5_174,SSSM5_174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329192,mazG,SSSM5_173,-,-,-,-,pyrophosphatase,protein-coding,-,-,-,pyrophosphatase,20200909,-
445685,10329193,gp41,SSSM5_172,-,-,-,-,DNA primase-helicase,protein-coding,-,-,-,DNA primase-helicase,20200909,-
445685,10329194,SSSM5_171,SSSM5_171,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200909,-
445685,10329195,uvsX,SSSM5_170,-,-,-,-,UvsX RecA-like protein,protein-coding,-,-,-,UvsX RecA-like protein,20200909,-
445685,10329196,SSSM5_169,SSSM5_169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329197,gp43,SSSM5_168,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200909,-
445685,10329198,SSSM5_167,SSSM5_167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329199,SSSM5_166,SSSM5_166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329200,pstS,SSSM5_165,-,-,-,-,phosphate transporter subunit,protein-coding,-,-,-,phosphate transporter subunit,20200909,-
445685,10329201,SSSM5_164,SSSM5_164,-,-,-,-,DUF680 domain-containing protein,protein-coding,-,-,-,DUF680 domain-containing protein,20200909,-
445685,10329202,hsp20,SSSM5_163,-,-,-,-,heat shock protein,protein-coding,-,-,-,heat shock protein,20200909,-
445685,10329203,SSSM5_162,SSSM5_162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329204,SSSM5_161,SSSM5_161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329205,SSSM5_160,SSSM5_160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329206,SSSM5_159,SSSM5_159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329207,SSSM5_158,SSSM5_158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329208,SSSM5_157,SSSM5_157,-,-,-,-,plasmid stability protein,protein-coding,-,-,-,plasmid stability protein,20200909,-
445685,10329209,SSSM5_156,SSSM5_156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329210,regA,SSSM5_155,-,-,-,-,translational repressor,protein-coding,-,-,-,translational repressor,20200909,-
445685,10329211,gp62,SSSM5_154,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200909,-
445685,10329212,dam,SSSM5_153,-,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20200909,-
445685,10329213,SSSM5_152,SSSM5_152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329214,SSSM5_151,SSSM5_151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329215,denV,SSSM5_150,-,-,-,-,DNA endonuclease V,protein-coding,-,-,-,DNA endonuclease V,20200909,-
445685,10329216,gp44,SSSM5_149,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200909,-
445685,10329217,speD,SSSM5_148,-,-,-,-,SpeD,protein-coding,-,-,-,SpeD,20200909,-
445685,10329218,gp45,SSSM5_147,-,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20200909,-
445685,10329219,SSSM5_146,SSSM5_146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329220,cobS,SSSM5_145,-,-,-,-,putative cobalt chelatase subunit CobS,protein-coding,-,-,-,putative cobalt chelatase subunit CobS,20200909,-
445685,10329221,SSSM5_144,SSSM5_144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329222,SSSM5_143,SSSM5_143,-,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20200909,-
445685,10329223,SSSM5_142,SSSM5_142,-,-,-,-,Rnf-Nqr,protein-coding,-,-,-,Rnf-Nqr,20200909,-
445685,10329224,gp46,SSSM5_141,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200909,-
445685,10329225,SSSM5_140,SSSM5_140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329226,gp47,SSSM5_139,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200909,-
445685,10329227,gp55,SSSM5_138,-,-,-,-,sigma factor for late transcription,protein-coding,-,-,-,sigma factor for late transcription,20200909,-
445685,10329228,SSSM5_137,SSSM5_137,-,-,-,-,methylamine utilization protein,protein-coding,-,-,-,methylamine utilization protein,20200909,-
445685,10329229,uvsW,SSSM5_136,-,-,-,-,RNA-DNA + DNA-DNA helicase,protein-coding,-,-,-,RNA-DNA + DNA-DNA helicase,20200909,-
445685,10329230,SSSM5_135,SSSM5_135,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200909,-
445685,10329231,uvsY,SSSM5_134,-,-,-,-,UvsY,protein-coding,-,-,-,UvsY,20200909,-
445685,10329232,SSSM5_133,SSSM5_133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329233,gp3,SSSM5_132,-,-,-,-,head-proximal tip of tail tube tail completion + sheath stabilizer protein,protein-coding,-,-,-,head-proximal tip of tail tube tail completion + sheath stabilizer protein,20200909,-
445685,10329234,SSSM5_131,SSSM5_131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329235,SSSM5_130,SSSM5_130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329236,SSSM5_129,SSSM5_129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329237,SSSM5_128,SSSM5_128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329238,SSSM5_127,SSSM5_127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329239,gp23,SSSM5_126,-,-,-,-,precursor of major head subunit,protein-coding,-,-,-,precursor of major head subunit,20200909,-
445685,10329240,gp22,SSSM5_125,-,-,-,-,scaffold prohead core protein,protein-coding,-,-,-,scaffold prohead core protein,20200909,-
445685,10329241,gp21,SSSM5_124,-,-,-,-,prohead core scaffold and protease,protein-coding,-,-,-,prohead core scaffold and protease,20200909,-
445685,10329242,SSSM5_123,SSSM5_123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329243,gp20,SSSM5_122,-,-,-,-,portal vertex protein of head,protein-coding,-,-,-,portal vertex protein of head,20200909,-
445685,10329244,gp19,SSSM5_121,-,-,-,-,tail tube monomer,protein-coding,-,-,-,tail tube monomer,20200909,-
445685,10329245,gp18,SSSM5_120,-,-,-,-,tail sheath monomer,protein-coding,-,-,-,tail sheath monomer,20200909,-
445685,10329246,gp17,SSSM5_119,-,-,-,-,terminase DNA packaging enzyme large subunit,protein-coding,-,-,-,terminase DNA packaging enzyme large subunit,20200909,-
445685,10329247,SSSM5_118,SSSM5_118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329248,SSSM5_117,SSSM5_117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329249,zwf,SSSM5_116,-,-,-,-,glucose-6-phosphate dehydrogenase,protein-coding,-,-,-,glucose-6-phosphate dehydrogenase,20200909,-
445685,10329250,SSSM5_115,SSSM5_115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329251,gnd,SSSM5_114,-,-,-,-,6-phosphogluconate dehydrogenase,protein-coding,-,-,-,6-phosphogluconate dehydrogenase,20200909,-
445685,10329252,SSSM5_113,SSSM5_113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329253,SSSM5_112,SSSM5_112,-,-,-,-,plastoquinol terminal oxidase,protein-coding,-,-,-,plastoquinol terminal oxidase,20200909,-
445685,10329254,petE,SSSM5_111,-,-,-,-,plastocyanin,protein-coding,-,-,-,plastocyanin,20200909,-
445685,10329255,SSSM5_110,SSSM5_110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329256,SSSM5_109,SSSM5_109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329257,SSSM5_108,SSSM5_108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329258,SSSM5_107,SSSM5_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329259,SSSM5_106,SSSM5_106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329260,gp16,SSSM5_105,-,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20200909,-
445685,10329261,gp15,SSSM5_104,-,-,-,-,proximal tail sheath stabilization,protein-coding,-,-,-,proximal tail sheath stabilization,20200909,-
445685,10329262,gp14,SSSM5_103,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200909,-
445685,10329263,gp13,SSSM5_102,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200909,-
445685,10329264,SSSM5_101,SSSM5_101,-,-,-,-,YadA domain-containing structural protein,protein-coding,-,-,-,YadA domain-containing structural protein,20200909,-
445685,10329265,SSSM5_100,SSSM5_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329266,SSSM5_099,SSSM5_099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329267,SSSM5_098,SSSM5_098,-,-,-,-,VrlC protein,protein-coding,-,-,-,VrlC protein,20200909,-
445685,10329268,gp8,SSSM5_097,-,-,-,-,baseplate wedge,protein-coding,-,-,-,baseplate wedge,20200909,-
445685,10329269,SSSM5_096,SSSM5_096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329270,gp9,SSSM5_095,-,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20200909,-
445685,10329271,SSSM5_094,SSSM5_094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329272,gp6,SSSM5_093,-,-,-,-,baseplate wedge,protein-coding,-,-,-,baseplate wedge,20200909,-
445685,10329273,gp25,SSSM5_092,-,-,-,-,base plate wedge subunit,protein-coding,-,-,-,base plate wedge subunit,20200909,-
445685,10329274,SSSM5_091,SSSM5_091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329275,SSSM5_090,SSSM5_090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329276,SSSM5_089,SSSM5_089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329277,SSSM5_088,SSSM5_088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329278,SSSM5_087,SSSM5_087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329279,SSSM5_086,SSSM5_086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329280,SSSM5_085,SSSM5_085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329281,SSSM5_084,SSSM5_084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329282,SSSM5_083,SSSM5_083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329283,SSSM5_082,SSSM5_082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329284,SSSM5_081,SSSM5_081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329285,SSSM5_080,SSSM5_080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329286,SSSM5_079,SSSM5_079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329287,SSSM5_078,SSSM5_078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329288,SSSM5_077,SSSM5_077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329289,SSSM5_076,SSSM5_076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329290,SSSM5_075,SSSM5_075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329291,SSSM5_074,SSSM5_074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329292,SSSM5_073,SSSM5_073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329293,SSSM5_072,SSSM5_072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329294,SSSM5_071,SSSM5_071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329295,SSSM5_070,SSSM5_070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329296,SSSM5_069,SSSM5_069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329297,SSSM5_068,SSSM5_068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329298,SSSM5_067,SSSM5_067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329299,SSSM5_066,SSSM5_066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329300,SSSM5_065,SSSM5_065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329301,SSSM5_064,SSSM5_064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329302,SSSM5_063,SSSM5_063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329303,dam,SSSM5_062,-,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20200909,-
445685,10329304,SSSM5_061,SSSM5_061,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20200909,-
445685,10329305,SSSM5_060,SSSM5_060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329306,SSSM5_059,SSSM5_059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329307,SSSM5_058,SSSM5_058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329308,SSSM5_057,SSSM5_057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329309,SSSM5_056,SSSM5_056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329310,SSSM5_055,SSSM5_055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329311,SSSM5_054,SSSM5_054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329312,SSSM5_053,SSSM5_053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329313,SSSM5_052,SSSM5_052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329314,SSSM5_051,SSSM5_051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329315,SSSM5_050,SSSM5_050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329316,SSSM5_049,SSSM5_049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329317,SSSM5_048,SSSM5_048,-,-,-,-,leprecan-like 1 isoform 2,protein-coding,-,-,-,leprecan-like 1 isoform 2,20201220,-
445685,10329318,SSSM5_047,SSSM5_047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329319,SSSM5_046,SSSM5_046,-,-,-,-,TPR domain protein,protein-coding,-,-,-,TPR domain protein,20200909,-
445685,10329320,SSSM5_045,SSSM5_045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329321,SSSM5_044,SSSM5_044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329322,SSSM5_043,SSSM5_043,-,-,-,-,ferrochelatase,protein-coding,-,-,-,ferrochelatase,20200909,-
445685,10329323,SSSM5_042,SSSM5_042,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200909,-
445685,10329324,SSSM5_041,SSSM5_041,-,-,-,-,carbamoyltransferase,protein-coding,-,-,-,carbamoyltransferase,20200909,-
445685,10329325,SSSM5_040,SSSM5_040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329326,SSSM5_039,SSSM5_039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329327,SSSM5_038,SSSM5_038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329328,SSSM5_037,SSSM5_037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329329,SSSM5_036,SSSM5_036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329330,SSSM5_035,SSSM5_035,-,-,-,-,fiber,protein-coding,-,-,-,fiber,20200909,-
445685,10329331,SSSM5_034,SSSM5_034,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
445685,10329332,SSSM5_033,SSSM5_033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329333,SSSM5_032,SSSM5_032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329334,purM,SSSM5_031,-,-,-,-,phosphoribosylaminoimidazole synthetase,protein-coding,-,-,-,phosphoribosylaminoimidazole synthetase,20200909,-
445685,10329335,SSSM5_030,SSSM5_030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329336,SSSM5_027,SSSM5_027,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
445685,10329337,SSSM5_026,SSSM5_026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329338,SSSM5_025,SSSM5_025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329339,SSSM5_024,SSSM5_024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329340,gp5,SSSM5_023,-,-,-,-,baseplate hub + tail lysozyme,protein-coding,-,-,-,baseplate hub + tail lysozyme,20200909,-
445685,10329341,SSSM5_022,SSSM5_022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329342,SSSM5_020,SSSM5_020,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
445685,10329343,cpeT,SSSM5_019,-,-,-,-,antenna protein,protein-coding,-,-,-,antenna protein,20200909,-
