#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2026814,55808042,HYP43_gp02,HYP43_gp02,LP8511_02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2026814,55808070,HYP43_gp30,HYP43_gp30,LP8511_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808071,HYP43_gp31,HYP43_gp31,LP8511_31,-,-,-,methylase,protein-coding,-,-,-,methylase,20200704,-
2026814,55808072,HYP43_gp32,HYP43_gp32,LP8511_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808073,HYP43_gp33,HYP43_gp33,LP8511_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808074,HYP43_gp34,HYP43_gp34,LP8511_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808075,HYP43_gp35,HYP43_gp35,LP8511_35,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200704,-
2026814,55808076,HYP43_gp36,HYP43_gp36,LP8511_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808077,HYP43_gp37,HYP43_gp37,LP8511_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808078,HYP43_gp38,HYP43_gp38,LP8511_38,-,-,-,SSB protein,protein-coding,-,-,-,SSB protein,20210424,-
2026814,55808079,HYP43_gp39,HYP43_gp39,LP8511_39,-,-,-,SAK protein,protein-coding,-,-,-,SAK protein,20210424,-
2026814,55808080,HYP43_gp40,HYP43_gp40,LP8511_40,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2026814,55808081,HYP43_gp41,HYP43_gp41,LP8511_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808082,HYP43_gp42,HYP43_gp42,LP8511_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808083,HYP43_gp43,HYP43_gp43,LP8511_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808084,HYP43_gp44,HYP43_gp44,LP8511_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2026814,55808085,HYP43_gp45,HYP43_gp45,LP8511_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808086,HYP43_gp46,HYP43_gp46,LP8511_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808087,HYP43_gp47,HYP43_gp47,LP8511_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808088,HYP43_gp48,HYP43_gp48,LP8511_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808089,HYP43_gp49,HYP43_gp49,LP8511_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808090,HYP43_gp50,HYP43_gp50,LP8511_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808091,HYP43_gp51,HYP43_gp51,LP8511_51,-,-,-,holiday junction endonuclease,protein-coding,-,-,-,holiday junction endonuclease,20210424,-
2026814,55808092,HYP43_gp52,HYP43_gp52,LP8511_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026814,55808093,HYP43_gp01,HYP43_gp01,LP8511_01,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210417,-
2026814,55863443,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200706,-
