#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2510525,64470899,2,KGG75_gp02,SEA_JANUS_2,-,-,-,helix-turn-helix DNA-binding protein,protein-coding,-,-,-,helix-turn-helix DNA-binding protein,20210505,-
2510525,64470921,24,KGG75_gp24,SEA_JANUS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470922,25,KGG75_gp25,SEA_JANUS_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
2510525,64470923,26,KGG75_gp26,SEA_JANUS_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470924,27,KGG75_gp27,SEA_JANUS_27,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210505,-
2510525,64470925,28,KGG75_gp28,SEA_JANUS_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470926,29,KGG75_gp29,SEA_JANUS_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470927,30,KGG75_gp30,SEA_JANUS_30,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210505,-
2510525,64470928,31,KGG75_gp31,SEA_JANUS_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470929,32,KGG75_gp32,SEA_JANUS_32,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210505,-
2510525,64470930,33,KGG75_gp33,SEA_JANUS_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470931,34,KGG75_gp34,SEA_JANUS_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470932,35,KGG75_gp35,SEA_JANUS_35,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210505,-
2510525,64470933,36,KGG75_gp36,SEA_JANUS_36,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210505,-
2510525,64470934,37,KGG75_gp37,SEA_JANUS_37,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210505,-
2510525,64470935,38,KGG75_gp38,SEA_JANUS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470936,39,KGG75_gp39,SEA_JANUS_39,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210505,-
2510525,64470937,40,KGG75_gp40,SEA_JANUS_40,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210505,-
2510525,64470938,41,KGG75_gp41,SEA_JANUS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470939,42,KGG75_gp42,SEA_JANUS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470940,43,KGG75_gp43,SEA_JANUS_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470941,44,KGG75_gp44,SEA_JANUS_44,-,-,-,MRE11 double-strand break endo/exonuclease,protein-coding,-,-,-,MRE11 double-strand break endo/exonuclease,20210505,-
2510525,64470942,45,KGG75_gp45,SEA_JANUS_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470943,46,KGG75_gp46,SEA_JANUS_46,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210505,-
2510525,64470944,47,KGG75_gp47,SEA_JANUS_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470945,48,KGG75_gp48,SEA_JANUS_48,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20210505,-
2510525,64470946,49,KGG75_gp49,SEA_JANUS_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470947,50,KGG75_gp50,SEA_JANUS_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470948,51,KGG75_gp51,SEA_JANUS_51,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210505,-
2510525,64470949,52,KGG75_gp52,SEA_JANUS_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470950,53,KGG75_gp53,SEA_JANUS_53,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20210505,-
2510525,64470951,54,KGG75_gp54,SEA_JANUS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470952,55,KGG75_gp55,SEA_JANUS_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470953,56,KGG75_gp56,SEA_JANUS_56,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210505,-
2510525,64470954,57,KGG75_gp57,SEA_JANUS_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470955,58,KGG75_gp58,SEA_JANUS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470956,59,KGG75_gp59,SEA_JANUS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470957,60,KGG75_gp60,SEA_JANUS_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470958,61,KGG75_gp61,SEA_JANUS_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470959,62,KGG75_gp62,SEA_JANUS_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470960,63,KGG75_gp63,SEA_JANUS_63,-,-,-,deoxynucleoside monophosphate,protein-coding,-,-,-,deoxynucleoside monophosphate,20210505,-
2510525,64470961,64,KGG75_gp64,SEA_JANUS_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470962,65,KGG75_gp65,SEA_JANUS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470963,66,KGG75_gp66,SEA_JANUS_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470964,67,KGG75_gp67,SEA_JANUS_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470965,68,KGG75_gp68,SEA_JANUS_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470966,69,KGG75_gp69,SEA_JANUS_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470967,70,KGG75_gp70,SEA_JANUS_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470968,71,KGG75_gp71,SEA_JANUS_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470969,72,KGG75_gp72,SEA_JANUS_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470970,73,KGG75_gp73,SEA_JANUS_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470971,74,KGG75_gp74,SEA_JANUS_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470972,75,KGG75_gp75,SEA_JANUS_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470973,76,KGG75_gp76,SEA_JANUS_76,-,-,-,acetyltransferase,protein-coding,-,-,-,acetyltransferase,20210505,-
2510525,64470974,77,KGG75_gp77,SEA_JANUS_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470975,78,KGG75_gp78,SEA_JANUS_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64470976,1,KGG75_gp01,SEA_JANUS_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2510525,64792238,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210510,-
