#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1887648,29056449,2,BIZ71_gp02,SEA_HEDWIG_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1887648,29056468,21,BIZ71_gp21,SEA_HEDWIG_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056469,22,BIZ71_gp22,SEA_HEDWIG_22,-,-,-,"lysin A, protease C39 domain",protein-coding,-,-,-,"lysin A, protease C39 domain",20200927,-
1887648,29056470,23,BIZ71_gp23,SEA_HEDWIG_23,-,-,-,"lysin A, GH19 glycoside hydrolase domain",protein-coding,-,-,-,"lysin A, GH19 glycoside hydrolase domain",20200927,-
1887648,29056471,24,BIZ71_gp24,SEA_HEDWIG_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056472,25,BIZ71_gp25,SEA_HEDWIG_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056473,26,BIZ71_gp26,SEA_HEDWIG_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056474,27,BIZ71_gp27,SEA_HEDWIG_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056475,28,BIZ71_gp28,SEA_HEDWIG_28,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1887648,29056476,29,BIZ71_gp29,SEA_HEDWIG_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1887648,29056477,30,BIZ71_gp30,SEA_HEDWIG_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056478,31,BIZ71_gp31,SEA_HEDWIG_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1887648,29056479,32,BIZ71_gp32,SEA_HEDWIG_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056480,33,BIZ71_gp33,SEA_HEDWIG_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056481,34,BIZ71_gp34,SEA_HEDWIG_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056482,35,BIZ71_gp35,SEA_HEDWIG_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056483,36,BIZ71_gp36,SEA_HEDWIG_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056484,37,BIZ71_gp37,SEA_HEDWIG_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056485,38,BIZ71_gp38,SEA_HEDWIG_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1887648,29056486,39,BIZ71_gp39,SEA_HEDWIG_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056487,40,BIZ71_gp40,SEA_HEDWIG_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056488,41,BIZ71_gp41,SEA_HEDWIG_41,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20200927,-
1887648,29056489,42,BIZ71_gp42,SEA_HEDWIG_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056490,43,BIZ71_gp43,SEA_HEDWIG_43,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
1887648,29056491,44,BIZ71_gp44,SEA_HEDWIG_44,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1887648,29056492,45,BIZ71_gp45,SEA_HEDWIG_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056493,46,BIZ71_gp46,SEA_HEDWIG_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1887648,29056494,47,BIZ71_gp47,SEA_HEDWIG_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056495,48,BIZ71_gp48,SEA_HEDWIG_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056496,49,BIZ71_gp49,SEA_HEDWIG_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056497,50,BIZ71_gp50,SEA_HEDWIG_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056498,51,BIZ71_gp51,SEA_HEDWIG_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056499,52,BIZ71_gp52,SEA_HEDWIG_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056500,53,BIZ71_gp53,SEA_HEDWIG_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056501,54,BIZ71_gp54,SEA_HEDWIG_54,-,-,-,ParB-like nuclease domain protein,protein-coding,-,-,-,ParB-like nuclease domain protein,20200927,-
1887648,29056502,55,BIZ71_gp55,SEA_HEDWIG_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056503,56,BIZ71_gp56,SEA_HEDWIG_56,-,-,-,FtsK-like DNA translocase,protein-coding,-,-,-,FtsK-like DNA translocase,20200927,-
1887648,29056504,57,BIZ71_gp57,SEA_HEDWIG_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056505,58,BIZ71_gp58,SEA_HEDWIG_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056506,59,BIZ71_gp59,SEA_HEDWIG_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056507,60,BIZ71_gp60,SEA_HEDWIG_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056508,61,BIZ71_gp61,SEA_HEDWIG_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056509,62,BIZ71_gp62,SEA_HEDWIG_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056510,63,BIZ71_gp63,SEA_HEDWIG_63,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1887648,29056511,64,BIZ71_gp64,SEA_HEDWIG_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056512,65,BIZ71_gp65,SEA_HEDWIG_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056513,66,BIZ71_gp66,SEA_HEDWIG_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056514,67,BIZ71_gp67,SEA_HEDWIG_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056515,68,BIZ71_gp68,SEA_HEDWIG_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887648,29056516,69,BIZ71_gp69,SEA_HEDWIG_69,-,-,-,HTH DNA-binding protein,protein-coding,-,-,-,HTH DNA-binding protein,20200927,-
1887648,29056517,70,BIZ71_gp70,SEA_HEDWIG_70,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1887648,29056518,1,BIZ71_gp01,SEA_HEDWIG_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1887648,29140082,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
