#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647309,26625175,2,AVT46_gp02,SEA_MOORETHEMARYER_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210208,-
1647309,26625222,49,AVT46_gp49,SEA_MOORETHEMARYER_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625223,50,AVT46_gp50,SEA_MOORETHEMARYER_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625224,51,AVT46_gp51,SEA_MOORETHEMARYER_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625225,52,AVT46_gp52,SEA_MOORETHEMARYER_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625226,53,AVT46_gp53,SEA_MOORETHEMARYER_53,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210208,-
1647309,26625227,54,AVT46_gp54,SEA_MOORETHEMARYER_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625228,55,AVT46_gp55,SEA_MOORETHEMARYER_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625229,56,AVT46_gp56,SEA_MOORETHEMARYER_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625230,57,AVT46_gp57,SEA_MOORETHEMARYER_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625231,58,AVT46_gp58,SEA_MOORETHEMARYER_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625232,59,AVT46_gp59,SEA_MOORETHEMARYER_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625233,60,AVT46_gp60,SEA_MOORETHEMARYER_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625234,61,AVT46_gp61,SEA_MOORETHEMARYER_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625235,62,AVT46_gp62,SEA_MOORETHEMARYER_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625236,63,AVT46_gp63,SEA_MOORETHEMARYER_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625237,64,AVT46_gp64,SEA_MOORETHEMARYER_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625238,65,AVT46_gp65,SEA_MOORETHEMARYER_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625239,66,AVT46_gp66,SEA_MOORETHEMARYER_66,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210208,-
1647309,26625240,67,AVT46_gp67,SEA_MOORETHEMARYER_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26625241,1,AVT46_gp01,SEA_MOORETHEMARYER_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647309,26680820,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage MOOREtheMARYer).,other,-,-,-,-,20200817,-
