#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2793696,65132652,2,KNV70_gp02,SEA_BLINO_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210608,-
2793696,65132666,17,KNV70_gp17,SEA_BLINO_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210608,-
2793696,65132667,15,KNV70_gp16,SEA_BLINO_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210608,-
2793696,65132668,18,KNV70_gp18,SEA_BLINO_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210609,-
2793696,65132669,19,KNV70_gp19,SEA_BLINO_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2793696,65132670,20,KNV70_gp20,SEA_BLINO_20,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",protein-coding,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",20210609,-
2793696,65132671,21,KNV70_gp21,SEA_BLINO_21,-,-,-,"lysin A, glycosyl hydrolase domain",protein-coding,-,-,-,"lysin A, glycosyl hydrolase domain",20210609,-
2793696,65132672,22,KNV70_gp22,SEA_BLINO_22,-,-,-,holin,protein-coding,-,-,-,holin,20210609,-
2793696,65132673,23,KNV70_gp23,SEA_BLINO_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132674,24,KNV70_gp24,SEA_BLINO_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132675,25,KNV70_gp25,SEA_BLINO_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132676,26,KNV70_gp26,SEA_BLINO_26,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210609,-
2793696,65132677,27,KNV70_gp27,SEA_BLINO_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132678,28,KNV70_gp28,SEA_BLINO_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2793696,65132679,29,KNV70_gp29,SEA_BLINO_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2793696,65132680,30,KNV70_gp30,SEA_BLINO_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132681,31,KNV70_gp31,SEA_BLINO_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210609,-
2793696,65132682,32,KNV70_gp32,SEA_BLINO_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132683,33,KNV70_gp33,SEA_BLINO_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132684,34,KNV70_gp34,SEA_BLINO_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132685,35,KNV70_gp35,SEA_BLINO_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132686,36,KNV70_gp36,SEA_BLINO_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132687,37,KNV70_gp37,SEA_BLINO_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132688,38,KNV70_gp38,SEA_BLINO_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132689,39,KNV70_gp39,SEA_BLINO_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132690,40,KNV70_gp40,SEA_BLINO_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132691,41,KNV70_gp41,SEA_BLINO_41,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20210608,-
2793696,65132692,42,KNV70_gp42,SEA_BLINO_42,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210609,-
2793696,65132693,43,KNV70_gp43,SEA_BLINO_43,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20210608,-
2793696,65132694,44,KNV70_gp44,SEA_BLINO_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132695,45,KNV70_gp45,SEA_BLINO_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132696,46,KNV70_gp46,SEA_BLINO_46,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210608,-
2793696,65132697,47,KNV70_gp47,SEA_BLINO_47,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210609,-
2793696,65132698,48,KNV70_gp48,SEA_BLINO_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132699,49,KNV70_gp49,SEA_BLINO_49,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210609,-
2793696,65132700,50,KNV70_gp50,SEA_BLINO_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132701,51,KNV70_gp51,SEA_BLINO_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132702,52,KNV70_gp52,SEA_BLINO_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132703,53,KNV70_gp53,SEA_BLINO_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132704,54,KNV70_gp54,SEA_BLINO_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132705,55,KNV70_gp55,SEA_BLINO_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132706,56,KNV70_gp56,SEA_BLINO_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132707,57,KNV70_gp57,SEA_BLINO_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132708,58,KNV70_gp58,SEA_BLINO_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132709,59,KNV70_gp59,SEA_BLINO_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132710,60,KNV70_gp60,SEA_BLINO_60,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210609,-
2793696,65132711,61,KNV70_gp61,SEA_BLINO_61,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210609,-
2793696,65132712,62,KNV70_gp62,SEA_BLINO_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132713,63,KNV70_gp63,SEA_BLINO_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132714,64,KNV70_gp64,SEA_BLINO_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132715,65,KNV70_gp65,SEA_BLINO_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132716,66,KNV70_gp66,SEA_BLINO_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132717,67,KNV70_gp67,SEA_BLINO_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132718,68,KNV70_gp68,SEA_BLINO_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132719,69,KNV70_gp69,SEA_BLINO_69,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210608,-
2793696,65132720,70,KNV70_gp70,SEA_BLINO_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132721,71,KNV70_gp71,SEA_BLINO_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132722,72,KNV70_gp72,SEA_BLINO_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132723,73,KNV70_gp73,SEA_BLINO_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132724,74,KNV70_gp74,SEA_BLINO_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132725,75,KNV70_gp75,SEA_BLINO_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132726,76,KNV70_gp76,SEA_BLINO_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132727,77,KNV70_gp77,SEA_BLINO_77,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210608,-
2793696,65132728,78,KNV70_gp78,SEA_BLINO_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132729,79,KNV70_gp79,SEA_BLINO_79,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210608,-
2793696,65132730,80,KNV70_gp80,SEA_BLINO_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132731,81,KNV70_gp81,SEA_BLINO_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2793696,65132732,1,KNV70_gp01,SEA_BLINO_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210608,-
2793696,65243594,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
