#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1527494,26519292,AU108_gp02,AU108_gp02,PBI_EREMOS_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200927,-
1527494,26519347,AU108_gp57,AU108_gp57,PBI_EREMOS_57,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20200927,-
1527494,26519348,AU108_gp58,AU108_gp58,PBI_EREMOS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519349,AU108_gp59,AU108_gp59,PBI_EREMOS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519350,AU108_gp60,AU108_gp60,PBI_EREMOS_60,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200927,-
1527494,26519351,AU108_gp61,AU108_gp61,PBI_EREMOS_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519352,AU108_gp62,AU108_gp62,PBI_EREMOS_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519353,AU108_gp63,AU108_gp63,PBI_EREMOS_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519354,AU108_gp64,AU108_gp64,PBI_EREMOS_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519355,AU108_gp65,AU108_gp65,PBI_EREMOS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519356,AU108_gp66,AU108_gp66,PBI_EREMOS_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519357,AU108_gp67,AU108_gp67,PBI_EREMOS_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519358,AU108_gp68,AU108_gp68,PBI_EREMOS_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519359,AU108_gp69,AU108_gp69,PBI_EREMOS_69,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200927,-
1527494,26519360,AU108_gp70,AU108_gp70,PBI_EREMOS_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519361,AU108_gp71,AU108_gp71,PBI_EREMOS_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519362,AU108_gp72,AU108_gp72,PBI_EREMOS_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1527494,26519363,AU108_gp73,AU108_gp73,PBI_EREMOS_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519364,AU108_gp74,AU108_gp74,PBI_EREMOS_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519365,AU108_gp75,AU108_gp75,PBI_EREMOS_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519366,AU108_gp76,AU108_gp76,PBI_EREMOS_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519367,AU108_gp77,AU108_gp77,PBI_EREMOS_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519368,AU108_gp78,AU108_gp78,PBI_EREMOS_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519369,AU108_gp79,AU108_gp79,PBI_EREMOS_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519370,AU108_gp80,AU108_gp80,PBI_EREMOS_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519371,AU108_gp81,AU108_gp81,PBI_EREMOS_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519372,AU108_gp82,AU108_gp82,PBI_EREMOS_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519373,AU108_gp83,AU108_gp83,PBI_EREMOS_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519374,AU108_gp84,AU108_gp84,PBI_EREMOS_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519375,AU108_gp85,AU108_gp85,PBI_EREMOS_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519376,AU108_gp86,AU108_gp86,PBI_EREMOS_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519377,AU108_gp87,AU108_gp87,PBI_EREMOS_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519378,AU108_gp88,AU108_gp88,PBI_EREMOS_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519379,AU108_gp89,AU108_gp89,PBI_EREMOS_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519380,AU108_gp90,AU108_gp90,PBI_EREMOS_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519381,AU108_gp91,AU108_gp91,PBI_EREMOS_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519382,AU108_gp92,AU108_gp92,PBI_EREMOS_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519383,AU108_gp93,AU108_gp93,PBI_EREMOS_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519384,AU108_gp94,AU108_gp94,PBI_EREMOS_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519385,AU108_gp95,AU108_gp95,PBI_EREMOS_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519386,AU108_gp96,AU108_gp96,PBI_EREMOS_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519387,AU108_gp97,AU108_gp97,PBI_EREMOS_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519388,AU108_gp98,AU108_gp98,PBI_EREMOS_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519389,AU108_gp99,AU108_gp99,PBI_EREMOS_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519390,AU108_gp01,AU108_gp01,PBI_EREMOS_1,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20200927,-
1527494,26591587,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Eremos).,other,-,-,-,-,20200513,-
