#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2499072,55009780,2,HOU95_gp002,SEA_HIYAA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210212,-
2499072,55009844,66,HOU95_gp102,SEA_HIYAA_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009845,67,HOU95_gp101,SEA_HIYAA_67,-,-,-,PurA-like adenylosuccinate synthetase,protein-coding,-,-,-,PurA-like adenylosuccinate synthetase,20210212,-
2499072,55009846,68,HOU95_gp100,SEA_HIYAA_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009847,69,HOU95_gp099,SEA_HIYAA_69,-,-,-,deoxyuridine triphosphatase,protein-coding,-,-,-,deoxyuridine triphosphatase,20210212,-
2499072,55009848,70,HOU95_gp098,SEA_HIYAA_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009849,71,HOU95_gp097,SEA_HIYAA_71,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2499072,55009850,72,HOU95_gp096,SEA_HIYAA_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009851,73,HOU95_gp095,SEA_HIYAA_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009852,74,HOU95_gp094,SEA_HIYAA_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009853,75,HOU95_gp093,SEA_HIYAA_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009854,76,HOU95_gp092,SEA_HIYAA_76,-,-,-,PurB-like adenylosuccinate lyase,protein-coding,-,-,-,PurB-like adenylosuccinate lyase,20210212,-
2499072,55009855,77,HOU95_gp091,SEA_HIYAA_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009856,78,HOU95_gp090,SEA_HIYAA_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009857,79,HOU95_gp089,SEA_HIYAA_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009858,80,HOU95_gp088,SEA_HIYAA_80,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2499072,55009859,81,HOU95_gp087,SEA_HIYAA_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009860,82,HOU95_gp086,SEA_HIYAA_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009861,83,HOU95_gp085,SEA_HIYAA_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009862,84,HOU95_gp084,SEA_HIYAA_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009863,85,HOU95_gp083,SEA_HIYAA_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2499072,55009864,86,HOU95_gp082,SEA_HIYAA_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009865,87,HOU95_gp081,SEA_HIYAA_87,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2499072,55009866,88,HOU95_gp080,SEA_HIYAA_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009867,89,HOU95_gp079,SEA_HIYAA_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009868,90,HOU95_gp078,SEA_HIYAA_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009869,91,HOU95_gp077,SEA_HIYAA_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009870,92,HOU95_gp076,SEA_HIYAA_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2499072,55009871,93,HOU95_gp075,SEA_HIYAA_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009872,94,HOU95_gp074,SEA_HIYAA_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009873,95,HOU95_gp073,SEA_HIYAA_95,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2499072,55009874,96,HOU95_gp072,SEA_HIYAA_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009875,97,HOU95_gp071,SEA_HIYAA_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009876,98,HOU95_gp070,SEA_HIYAA_98,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210212,-
2499072,55009877,99,HOU95_gp069,SEA_HIYAA_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009878,100,HOU95_gp068,SEA_HIYAA_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2499072,55009879,101,HOU95_gp067,SEA_HIYAA_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009880,102,HOU95_gp066,SEA_HIYAA_102,-,-,-,DNA translocase,protein-coding,-,-,-,DNA translocase,20210212,-
2499072,55009881,103,HOU95_gp065,SEA_HIYAA_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009882,104,HOU95_gp064,SEA_HIYAA_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009883,105,HOU95_gp063,SEA_HIYAA_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009884,106,HOU95_gp062,SEA_HIYAA_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009885,107,HOU95_gp061,SEA_HIYAA_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009886,108,HOU95_gp060,SEA_HIYAA_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009887,109,HOU95_gp059,SEA_HIYAA_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009888,110,HOU95_gp058,SEA_HIYAA_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009889,111,HOU95_gp057,SEA_HIYAA_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009890,112,HOU95_gp056,SEA_HIYAA_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009891,113,HOU95_gp055,SEA_HIYAA_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009892,114,HOU95_gp054,SEA_HIYAA_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009893,115,HOU95_gp053,SEA_HIYAA_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009894,116,HOU95_gp052,SEA_HIYAA_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009895,117,HOU95_gp051,SEA_HIYAA_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009896,118,HOU95_gp050,SEA_HIYAA_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009897,119,HOU95_gp049,SEA_HIYAA_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009898,120,HOU95_gp048,SEA_HIYAA_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009899,121,HOU95_gp047,SEA_HIYAA_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009900,122,HOU95_gp046,SEA_HIYAA_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009901,123,HOU95_gp045,SEA_HIYAA_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009902,124,HOU95_gp044,SEA_HIYAA_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009903,125,HOU95_gp043,SEA_HIYAA_125,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2499072,55009904,1,HOU95_gp001,SEA_HIYAA_1,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200910,-
2499072,55154294,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
