#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301648,55810289,HYP68_gp002,HYP68_gp002,SeSz3_2,-,-,-,acyl carrier protein,protein-coding,-,-,-,acyl carrier protein,20210313,-
2301648,55810336,HYP68_gp049,HYP68_gp049,SeSz3_49,-,-,-,neck protein 2,protein-coding,-,-,-,neck protein 2,20201221,-
2301648,55810337,HYP68_gp050,HYP68_gp050,SeSz3_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810338,HYP68_gp051,HYP68_gp051,SeSz3_51,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
2301648,55810339,HYP68_gp052,HYP68_gp052,SeSz3_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301648,55810340,HYP68_gp053,HYP68_gp053,SeSz3_53,-,-,-,tail spike protein,protein-coding,-,-,-,tail spike protein,20210403,-
2301648,55810341,HYP68_gp054,HYP68_gp054,SeSz3_54,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210424,-
2301648,55810342,HYP68_gp055,HYP68_gp055,SeSz3_55,-,-,-,tail spike protein 3,protein-coding,-,-,-,tail spike protein 3,20210424,-
2301648,55810343,HYP68_gp056,HYP68_gp056,SeSz3_56,-,-,-,hemolysin-type calcium binding protein,protein-coding,-,-,-,hemolysin-type calcium binding protein,20210424,-
2301648,55810344,HYP68_gp057,HYP68_gp057,SeSz3_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810345,HYP68_gp058,HYP68_gp058,SeSz3_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810346,HYP68_gp059,HYP68_gp059,SeSz3_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301648,55810347,HYP68_gp060,HYP68_gp060,SeSz3_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810348,HYP68_gp061,HYP68_gp061,SeSz3_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810349,HYP68_gp062,HYP68_gp062,SeSz3_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810350,HYP68_gp063,HYP68_gp063,SeSz3_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810351,HYP68_gp064,HYP68_gp064,SeSz3_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2301648,55810352,HYP68_gp065,HYP68_gp065,SeSz3_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810353,HYP68_gp066,HYP68_gp066,SeSz3_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301648,55810354,HYP68_gp067,HYP68_gp067,SeSz3_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2301648,55810355,HYP68_gp068,HYP68_gp068,SeSz3_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810356,HYP68_gp069,HYP68_gp069,SeSz3_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810357,HYP68_gp070,HYP68_gp070,SeSz3_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810358,HYP68_gp071,HYP68_gp071,SeSz3_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810359,HYP68_gp072,HYP68_gp072,SeSz3_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810360,HYP68_gp073,HYP68_gp073,SeSz3_73,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
2301648,55810361,HYP68_gp074,HYP68_gp074,SeSz3_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810362,HYP68_gp075,HYP68_gp075,SeSz3_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301648,55810363,HYP68_gp076,HYP68_gp076,SeSz3_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810364,HYP68_gp077,HYP68_gp077,SeSz3_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301648,55810365,HYP68_gp078,HYP68_gp078,SeSz3_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810366,HYP68_gp079,HYP68_gp079,SeSz3_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810367,HYP68_gp080,HYP68_gp080,SeSz3_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810368,HYP68_gp081,HYP68_gp081,SeSz3_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2301648,55810369,HYP68_gp082,HYP68_gp082,SeSz3_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810370,HYP68_gp083,HYP68_gp083,SeSz3_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810371,HYP68_gp084,HYP68_gp084,SeSz3_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810372,HYP68_gp085,HYP68_gp085,SeSz3_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810373,HYP68_gp086,HYP68_gp086,SeSz3_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810374,HYP68_gp087,HYP68_gp087,SeSz3_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810375,HYP68_gp088,HYP68_gp088,SeSz3_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810376,HYP68_gp089,HYP68_gp089,SeSz3_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810377,HYP68_gp090,HYP68_gp090,SeSz3_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810378,HYP68_gp091,HYP68_gp091,SeSz3_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810379,HYP68_gp092,HYP68_gp092,SeSz3_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810380,HYP68_gp093,HYP68_gp093,SeSz3_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810381,HYP68_gp094,HYP68_gp094,SeSz3_94,-,-,-,RIIA protein,protein-coding,-,-,-,RIIA protein,20201221,-
2301648,55810382,HYP68_gp095,HYP68_gp095,SeSz3_95,-,-,-,RIIB protein,protein-coding,-,-,-,RIIB protein,20210424,-
2301648,55810383,HYP68_gp096,HYP68_gp096,SeSz3_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810384,HYP68_gp097,HYP68_gp097,SeSz3_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810385,HYP68_gp098,HYP68_gp098,SeSz3_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2301648,55810386,HYP68_gp099,HYP68_gp099,SeSz3_99,-,-,-,putative tail fiber,protein-coding,-,-,-,putative tail fiber,20210313,-
2301648,55810387,HYP68_gp100,HYP68_gp100,SeSz3_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810388,HYP68_gp101,HYP68_gp101,SeSz3_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810389,HYP68_gp102,HYP68_gp102,SeSz3_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810390,HYP68_gp103,HYP68_gp103,SeSz3_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810391,HYP68_gp104,HYP68_gp104,SeSz3_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810392,HYP68_gp105,HYP68_gp105,SeSz3_105,-,-,-,DNA topoisomerase,protein-coding,-,-,-,DNA topoisomerase,20210424,-
2301648,55810393,HYP68_gp106,HYP68_gp106,SeSz3_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301648,55810394,HYP68_gp107,HYP68_gp107,SeSz3_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810395,HYP68_gp108,HYP68_gp108,SeSz3_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810396,HYP68_gp109,HYP68_gp109,SeSz3_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810397,HYP68_gp110,HYP68_gp110,SeSz3_110,-,-,-,calcium-binding hemolysin protein,protein-coding,-,-,-,calcium-binding hemolysin protein,20201221,-
2301648,55810398,HYP68_gp111,HYP68_gp111,SeSz3_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810399,HYP68_gp112,HYP68_gp112,SeSz3_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2301648,55810400,HYP68_gp113,HYP68_gp113,SeSz3_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810401,HYP68_gp114,HYP68_gp114,SeSz3_114,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210327,-
2301648,55810402,HYP68_gp115,HYP68_gp115,SeSz3_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810403,HYP68_gp116,HYP68_gp116,SeSz3_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810404,HYP68_gp117,HYP68_gp117,SeSz3_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301648,55810405,HYP68_gp118,HYP68_gp118,SeSz3_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810406,HYP68_gp119,HYP68_gp119,SeSz3_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2301648,55810407,HYP68_gp120,HYP68_gp120,SeSz3_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810408,HYP68_gp121,HYP68_gp121,SeSz3_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810409,HYP68_gp122,HYP68_gp122,SeSz3_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810410,HYP68_gp123,HYP68_gp123,SeSz3_123,-,-,-,putative cydidine/deoxycytidylate deaminase,protein-coding,-,-,-,putative cydidine/deoxycytidylate deaminase,20210424,-
2301648,55810411,HYP68_gp124,HYP68_gp124,SeSz3_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2301648,55810412,HYP68_gp125,HYP68_gp125,SeSz3_125,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210313,-
2301648,55810413,HYP68_gp126,HYP68_gp126,SeSz3_126,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20201221,-
2301648,55810414,HYP68_gp127,HYP68_gp127,SeSz3_127,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210313,-
2301648,55810415,HYP68_gp128,HYP68_gp128,SeSz3_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810416,HYP68_gp129,HYP68_gp129,SeSz3_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810417,HYP68_gp130,HYP68_gp130,SeSz3_130,-,-,-,loader of DNA helicase,protein-coding,-,-,-,loader of DNA helicase,20201221,-
2301648,55810418,HYP68_gp131,HYP68_gp131,SeSz3_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810419,HYP68_gp132,HYP68_gp132,SeSz3_132,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210424,-
2301648,55810420,HYP68_gp133,HYP68_gp133,SeSz3_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810421,HYP68_gp134,HYP68_gp134,SeSz3_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810422,HYP68_gp135,HYP68_gp135,SeSz3_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810423,HYP68_gp136,HYP68_gp136,SeSz3_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810424,HYP68_gp137,HYP68_gp137,SeSz3_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810425,HYP68_gp138,HYP68_gp138,SeSz3_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810426,HYP68_gp139,HYP68_gp139,SeSz3_139,-,-,-,helicase,protein-coding,-,-,-,helicase,20210424,-
2301648,55810427,HYP68_gp140,HYP68_gp140,SeSz3_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810428,HYP68_gp141,HYP68_gp141,SeSz3_141,-,-,-,RecA-like recombination protein,protein-coding,-,-,-,RecA-like recombination protein,20201221,-
2301648,55810429,HYP68_gp142,HYP68_gp142,SeSz3_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810430,HYP68_gp143,HYP68_gp143,SeSz3_143,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20210313,-
2301648,55810431,HYP68_gp144,HYP68_gp144,SeSz3_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810432,HYP68_gp145,HYP68_gp145,SeSz3_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301648,55810433,HYP68_gp146,HYP68_gp146,SeSz3_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301648,55810434,HYP68_gp147,HYP68_gp147,SeSz3_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810435,HYP68_gp148,HYP68_gp148,SeSz3_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810436,HYP68_gp149,HYP68_gp149,SeSz3_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810437,HYP68_gp150,HYP68_gp150,SeSz3_150,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20201221,-
2301648,55810438,HYP68_gp151,HYP68_gp151,SeSz3_151,-,-,-,baseplate tail tube,protein-coding,-,-,-,baseplate tail tube,20201221,-
2301648,55810439,HYP68_gp152,HYP68_gp152,SeSz3_152,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210313,-
2301648,55810440,HYP68_gp153,HYP68_gp153,SeSz3_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810441,HYP68_gp154,HYP68_gp154,SeSz3_154,-,-,-,late promoter transcription factor,protein-coding,-,-,-,late promoter transcription factor,20201221,-
2301648,55810442,HYP68_gp155,HYP68_gp155,SeSz3_155,-,-,-,regulatory protein,protein-coding,-,-,-,regulatory protein,20210424,-
2301648,55810443,HYP68_gp156,HYP68_gp156,SeSz3_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810444,HYP68_gp157,HYP68_gp157,SeSz3_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810445,HYP68_gp158,HYP68_gp158,SeSz3_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810446,HYP68_gp159,HYP68_gp159,SeSz3_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810447,HYP68_gp160,HYP68_gp160,SeSz3_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301648,55810448,HYP68_gp161,HYP68_gp161,SeSz3_161,-,-,-,tail associated lysozyme,protein-coding,-,-,-,tail associated lysozyme,20210424,-
2301648,55810449,HYP68_gp162,HYP68_gp162,SeSz3_162,-,-,-,baseplate wedge subunit protein,protein-coding,-,-,-,baseplate wedge subunit protein,20210417,-
2301648,55810450,HYP68_gp163,HYP68_gp163,SeSz3_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810451,HYP68_gp164,HYP68_gp164,SeSz3_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810452,HYP68_gp165,HYP68_gp165,SeSz3_165,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210129,-
2301648,55810453,HYP68_gp166,HYP68_gp166,SeSz3_166,-,-,-,NrdB,protein-coding,-,-,-,NrdB,20210424,-
2301648,55810454,HYP68_gp167,HYP68_gp167,SeSz3_167,-,-,-,ribonucleotide-diphosphate reductase alpha subunit,protein-coding,-,-,-,ribonucleotide-diphosphate reductase alpha subunit,20201221,-
2301648,55810455,HYP68_gp168,HYP68_gp168,SeSz3_168,-,-,-,PhoH-like phosphate starvation-inducible protein,protein-coding,-,-,-,PhoH-like phosphate starvation-inducible protein,20210129,-
2301648,55810456,HYP68_gp169,HYP68_gp169,SeSz3_169,-,-,-,putative peptidoglycan binding protein,protein-coding,-,-,-,putative peptidoglycan binding protein,20210313,-
2301648,55810457,HYP68_gp170,HYP68_gp170,SeSz3_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810458,HYP68_gp171,HYP68_gp171,SeSz3_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810459,HYP68_gp172,HYP68_gp172,SeSz3_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810460,HYP68_gp173,HYP68_gp173,SeSz3_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2301648,55810461,HYP68_gp174,HYP68_gp174,SeSz3_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810462,HYP68_gp175,HYP68_gp175,SeSz3_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2301648,55810463,HYP68_gp176,HYP68_gp176,SeSz3_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810464,HYP68_gp177,HYP68_gp177,SeSz3_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810465,HYP68_gp178,HYP68_gp178,SeSz3_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810466,HYP68_gp179,HYP68_gp179,SeSz3_179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810467,HYP68_gp180,HYP68_gp180,SeSz3_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810468,HYP68_gp181,HYP68_gp181,SeSz3_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810469,HYP68_gp182,HYP68_gp182,SeSz3_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810470,HYP68_gp183,HYP68_gp183,SeSz3_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
