#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2749430,63642506,KB682_gp63,KB682_gp63,-,-,-,-,transcription regulator,protein-coding,-,-,-,transcription regulator,20210522,-
2749430,63642520,KB682_gp15,KB682_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642521,KB682_gp16,KB682_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642522,KB682_gp17,KB682_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2749430,63642523,KB682_gp18,KB682_gp18,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210522,-
2749430,63642524,KB682_gp19,KB682_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642525,KB682_gp20,KB682_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642526,KB682_gp21,KB682_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642527,KB682_gp22,KB682_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642528,KB682_gp23,KB682_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642529,KB682_gp24,KB682_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642530,KB682_gp25,KB682_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2749430,63642531,KB682_gp26,KB682_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642532,KB682_gp27,KB682_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642533,KB682_gp28,KB682_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642534,KB682_gp29,KB682_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2749430,63642535,KB682_gp30,KB682_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642536,KB682_gp31,KB682_gp31,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210522,-
2749430,63642537,KB682_gp32,KB682_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642538,KB682_gp33,KB682_gp33,-,-,-,-,exodeoxyribonuclease I,protein-coding,-,-,-,exodeoxyribonuclease I,20210522,-
2749430,63642539,KB682_gp34,KB682_gp34,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210522,-
2749430,63642540,KB682_gp35,KB682_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642541,KB682_gp36,KB682_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642542,KB682_gp37,KB682_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642543,KB682_gp38,KB682_gp38,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210522,-
2749430,63642544,KB682_gp39,KB682_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642545,KB682_gp40,KB682_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642546,KB682_gp41,KB682_gp41,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210522,-
2749430,63642547,KB682_gt01,KB682_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20210418,-
2749430,63642548,KB682_gp62,KB682_gp62,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210522,-
2749430,63642549,KB682_gp61,KB682_gp61,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210522,-
2749430,63642550,KB682_gp60,KB682_gp60,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210522,-
2749430,63642551,KB682_gp59,KB682_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2749430,63642552,KB682_gp58,KB682_gp58,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210522,-
2749430,63642553,KB682_gp57,KB682_gp57,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210522,-
2749430,63642554,KB682_gp56,KB682_gp56,-,-,-,-,tail fiber,protein-coding,-,-,-,tail fiber,20210522,-
2749430,63642555,KB682_gp55,KB682_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642556,KB682_gp54,KB682_gp54,-,-,-,-,tail fiber,protein-coding,-,-,-,tail fiber,20210522,-
2749430,63642557,KB682_gp53,KB682_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642558,KB682_gp52,KB682_gp52,-,-,-,-,tailspike protein,protein-coding,-,-,-,tailspike protein,20210522,-
2749430,63642559,KB682_gp51,KB682_gp51,-,-,-,-,baseplate J protein,protein-coding,-,-,-,baseplate J protein,20210522,-
2749430,63642560,KB682_gp50,KB682_gp50,-,-,-,-,baseplate with lysin,protein-coding,-,-,-,baseplate with lysin,20210522,-
2749430,63642561,KB682_gp49,KB682_gp49,-,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20210522,-
2749430,63642562,KB682_gp48,KB682_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642563,KB682_gp47,KB682_gp47,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210418,-
2749430,63642564,KB682_gp46,KB682_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642565,KB682_gp45,KB682_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642566,KB682_gp44,KB682_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2749430,63642567,KB682_gp43,KB682_gp43,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210522,-
2749430,63642568,KB682_gp42,KB682_gp42,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210522,-
2749430,63642569,KB682_gp01,KB682_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63925696,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210421,-
