#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
573,2827931,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene ('Klebsiella aerogenes' (Kruse) Taylor et al. 1956; Bacillus pneumoniae; Bacterium pneumoniae crouposae; Hyalococcus pneumoniae; Klebsiella pneumoniae aerogenes.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210522,-
573,39627229,CAK82_RS29450,CAK82_RS29450,CAK82_29455,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
573,39627230,CAK82_RS29455,CAK82_RS29455,CAK82_29460,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627231,CAK82_RS29460,CAK82_RS29460,CAK82_29465,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627232,CAK82_RS29465,CAK82_RS29465,CAK82_29470,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627234,CAK82_RS29475,CAK82_RS29475,CAK82_29480,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627235,CAK82_RS29480,CAK82_RS29480,CAK82_29485,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
573,39627240,CAK82_RS29505,CAK82_RS29505,CAK82_29510,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
573,39627242,CAK82_RS29515,CAK82_RS29515,CAK82_29520,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627244,CAK82_RS29525,CAK82_RS29525,CAK82_29530,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627246,CAK82_RS29535,CAK82_RS29535,CAK82_29540,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627247,CAK82_RS29540,CAK82_RS29540,CAK82_29545,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627249,CAK82_RS29550,CAK82_RS29550,CAK82_29555,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627274,CAK82_RS29675,CAK82_RS29675,CAK82_29680,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627275,CAK82_RS29680,CAK82_RS29680,CAK82_29685,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627280,CAK82_RS29705,CAK82_RS29705,CAK82_29710,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627281,CAK82_RS29710,CAK82_RS29710,CAK82_29715,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
573,39627293,CAK82_RS29770,CAK82_RS29770,CAK82_29775,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627294,CAK82_RS29775,CAK82_RS29775,CAK82_29780,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627299,CAK82_RS29800,CAK82_RS29800,CAK82_29805,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627321,CAK82_RS29915,CAK82_RS29915,CAK82_29920,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627322,CAK82_RS29920,CAK82_RS29920,CAK82_29925,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
573,39627341,CAK82_RS30010,CAK82_RS30010,CAK82_30015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627358,CAK82_RS30095,CAK82_RS30095,CAK82_30100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627376,CAK82_RS30185,CAK82_RS30185,CAK82_30190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627411,CAK82_RS30360,CAK82_RS30360,CAK82_30365,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627443,ES964_RS26900,ES964_RS26900,ES964_26905,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
573,39627446,ES964_RS26915,ES964_RS26915,ES964_26920,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627447,ES964_RS26920,ES964_RS26920,ES964_26925,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
573,39627448,ES964_RS26925,ES964_RS26925,ES964_26930,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627450,ES964_RS26930,ES964_RS26930,ES964_26935,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627451,ES964_RS26935,ES964_RS26935,ES964_26940,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627452,ES964_RS26940,ES964_RS26940,ES964_26945,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627453,ES964_RS26945,ES964_RS26945,ES964_26950,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627455,ES964_RS26955,ES964_RS26955,ES964_26960,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627456,ES964_RS26960,ES964_RS26960,ES964_26965,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627458,ES964_RS26970,ES964_RS26970,ES964_26975,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627459,ES964_RS26975,ES964_RS26975,ES964_26980,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627465,ES964_RS27005,ES964_RS27005,ES964_27010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627466,ES964_RS27010,ES964_RS27010,ES964_27015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627469,ES964_RS27025,ES964_RS27025,ES964_27030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627478,ES964_RS27070,ES964_RS27070,ES964_27075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627479,ES964_RS27075,ES964_RS27075,ES964_27080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627482,ES964_RS27090,ES964_RS27090,ES964_27095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627488,ES964_RS27120,ES964_RS27120,ES964_27125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627497,ES964_RS27165,ES964_RS27165,ES964_27170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627534,ES964_RS27350,ES964_RS27350,ES964_27355,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
573,39627535,ES964_RS27355,ES964_RS27355,ES964_27360,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627538,ES964_RS27370,ES964_RS27370,ES964_27375,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627547,ES964_RS27415,ES964_RS27415,ES964_27420,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627554,ES964_RS27450,ES964_RS27450,ES964_27455,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627567,ES964_RS27515,ES964_RS27515,ES964_27520,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627599,ES964_RS27675,ES964_RS27675,ES964_27680,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627600,ES964_RS27680,ES964_RS27680,ES964_27685,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627606,ES964_RS27710,ES964_RS27710,ES964_27715,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627609,ES964_RS27725,ES964_RS27725,ES964_27730,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627610,ES964_RS27730,ES964_RS27730,ES964_27735,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627625,ES964_RS27805,ES964_RS27805,ES964_27810,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627640,ES964_RS27880,ES964_RS27880,ES964_27885,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627642,ES964_RS27890,ES964_RS27890,ES964_27895,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627643,ES964_RS27895,ES964_RS27895,ES964_27900,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627646,ES964_RS27910,ES964_RS27910,ES964_27915,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627652,ES964_RS27940,ES964_RS27940,ES964_27945,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627655,ES964_RS27955,ES964_RS27955,ES964_27960,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627656,ES964_RS27960,ES964_RS27960,ES964_27965,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627681,ES964_RS28085,ES964_RS28085,ES964_28090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627683,ES964_RS28095,ES964_RS28095,ES964_28100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627691,ES964_RS28135,ES964_RS28135,ES964_28140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627692,ES964_RS28140,ES964_RS28140,ES964_28145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
573,39627706,ES964_RS28210,ES964_RS28210,ES964_28215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
573,39627758,ES964_RS28470,ES964_RS28470,ES964_28475,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627790,ES964_RS28630,ES964_RS28630,ES964_28635,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627804,ES964_RS28700,ES964_RS28700,ES964_28705,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627809,ES964_RS28725,ES964_RS28725,ES964_28730,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627823,ES964_RS28795,ES964_RS28795,ES964_28800,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627844,ES964_RS28900,ES964_RS28900,ES964_28905,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627845,ES964_RS28905,ES964_RS28905,ES964_28910,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627851,EW138_RS00035,EW138_RS00035,EW138_00035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627854,EW138_RS00050,EW138_RS00050,EW138_00050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627862,EW138_RS00090,EW138_RS00090,EW138_00090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627867,EW138_RS00115,EW138_RS00115,EW138_00115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627871,EW138_RS00130,EW138_RS00130,EW138_00130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627872,EW138_RS00135,EW138_RS00135,EW138_00135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627876,EW138_RS00155,EW138_RS00155,EW138_00155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627878,EW138_RS00165,EW138_RS00165,EW138_00165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
573,39627888,EW138_RS00255,EW138_RS00255,EW138_00255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
573,39627895,EW138_RS00290,EW138_RS00290,EW138_00290,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627902,EW138_RS00220,EW138_RS00220,EW138_00220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627903,EW138_RS00225,EW138_RS00225,EW138_00225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627904,EW138_RS00230,EW138_RS00230,EW138_00230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627916,EW138_RS00355,EW138_RS00355,EW138_00355,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627917,EW138_RS00360,EW138_RS00360,EW138_00360,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627919,EW138_RS00370,EW138_RS00370,EW138_00370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627920,EW138_RS00375,EW138_RS00375,EW138_00375,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627928,EW138_RS00415,EW138_RS00415,EW138_00415,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627936,EW138_RS00455,EW138_RS00455,EW138_00455,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627938,EW138_RS00465,EW138_RS00465,EW138_00465,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
573,39627939,EW138_RS00470,EW138_RS00470,EW138_00470,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
573,39627945,EW138_RS00500,EW138_RS00500,EW138_00500,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627947,EW138_RS00510,EW138_RS00510,EW138_00510,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
