#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5286,27430690,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Rhodosporidium toruloides; Rhodotorula gracilis; Rhodotorula rubescens).,other,-,-,-,-,20160428,-
5286,62619539,nad1,JR093_mgp22,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20210529,-
5286,62619540,cox2,JR093_mgp21,-,-,MT,-,cytochrome c oxidase subunit 2,protein-coding,-,-,-,cytochrome c oxidase subunit 2,20210529,-
5286,62619541,orf175,JR093_mgp20,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210210,-
5286,62619542,trnP(tgg),JR093_mgt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619543,trnG(tcc),JR093_mgt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619544,orf101,JR093_mgp19,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210210,-
5286,62619545,orf135,JR093_mgp18,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210210,-
5286,62619546,orf169,JR093_mgp17,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210210,-
5286,62619547,trnY(gta),JR093_mgt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619548,trnF(gaa),JR093_mgt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619549,trnA(tgc),JR093_mgt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619550,trnS(gct),JR093_mgt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619551,trnK(ttt),JR093_mgt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619552,trnQ(ttg),JR093_mgt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619553,trnT(tgt),JR093_mgt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619554,trnE(ttc),JR093_mgt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619555,trnM(cat),JR093_mgt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619556,trnV(tac),JR093_mgt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619557,nad5,JR093_mgp16,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20210529,-
5286,62619558,nad4L,JR093_mgp15,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,NADH dehydrogenase subunit 4L,20210529,-
5286,62619559,trnD(gtc),JR093_mgt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619560,trnI(gat),JR093_mgt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619561,atp8,JR093_mgp14,-,-,MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,ATP synthase F0 subunit 8,20210529,-
5286,62619562,cox1,JR093_mgp13,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,cytochrome c oxidase subunit 1,20210529,-
5286,62619563,trnW(cca),JR093_mgt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619564,trnW(tca),JR093_mgt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619565,cox3,JR093_mgp12,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,cytochrome c oxidase subunit 3,20210529,-
5286,62619566,trnS(tga),JR093_mgt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619567,trnL(taa),JR093_mgt23,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619568,cob,JR093_mgp11,-,-,MT,-,apocytochrome b,protein-coding,-,-,-,apocytochrome b,20210529,-
5286,62619569,trnC(gca),JR093_mgt24,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619570,orf128,JR093_mgp10,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210210,-
5286,62619571,trnR(tcg),JR093_mgt25,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619572,nad3,JR093_mgp09,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20210529,-
5286,62619573,nad2,JR093_mgp08,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20210529,-
5286,62619574,trnF(gaa),JR093_mgt26,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619575,trnY(gta),JR093_mgt27,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619576,orf169,JR093_mgp07,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210210,-
5286,62619577,orf135,JR093_mgp06,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210210,-
5286,62619578,orf101,JR093_mgp05,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210210,-
5286,62619579,trnG(tcc),JR093_mgt28,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619580,orf114,JR093_mgp01,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210210,-
