#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821563,29124296,2,BJD58_gp02,SEA_UMATHURMAN_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1821563,29124319,25,BJD58_gp25,SEA_UMATHURMAN_25,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1821563,29124320,26,BJD58_gp26,SEA_UMATHURMAN_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821563,29124321,27,BJD58_gp27,SEA_UMATHURMAN_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821563,29124322,28,BJD58_gp28,SEA_UMATHURMAN_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821563,29124323,29,BJD58_gp29,SEA_UMATHURMAN_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821563,29124324,30,BJD58_gp30,SEA_UMATHURMAN_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821563,29124325,31,BJD58_gp31,SEA_UMATHURMAN_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124326,32,BJD58_gp32,SEA_UMATHURMAN_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124327,33,BJD58_gp33,SEA_UMATHURMAN_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124328,34,BJD58_gp34,SEA_UMATHURMAN_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124329,35,BJD58_gp35,SEA_UMATHURMAN_35,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20200927,-
1821563,29124330,36,BJD58_gp36,SEA_UMATHURMAN_36,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200927,-
1821563,29124331,37,BJD58_gp37,SEA_UMATHURMAN_37,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1821563,29124332,38,BJD58_gp38,SEA_UMATHURMAN_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124333,39,BJD58_gp39,SEA_UMATHURMAN_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124334,40,BJD58_gp40,SEA_UMATHURMAN_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124335,41,BJD58_gp41,SEA_UMATHURMAN_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124336,42,BJD58_gp42,SEA_UMATHURMAN_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124337,43,BJD58_gp43,SEA_UMATHURMAN_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124338,44,BJD58_gp44,SEA_UMATHURMAN_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124339,45,BJD58_gp45,SEA_UMATHURMAN_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124340,46,BJD58_gp46,SEA_UMATHURMAN_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124341,47,BJD58_gp47,SEA_UMATHURMAN_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124342,48,BJD58_gp48,SEA_UMATHURMAN_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124343,49,BJD58_gp49,SEA_UMATHURMAN_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124344,50,BJD58_gp50,SEA_UMATHURMAN_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124345,51,BJD58_gp51,SEA_UMATHURMAN_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124346,52,BJD58_gp52,SEA_UMATHURMAN_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124347,53,BJD58_gp53,SEA_UMATHURMAN_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124348,54,BJD58_gp54,SEA_UMATHURMAN_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124349,55,BJD58_gp55,SEA_UMATHURMAN_55,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200927,-
1821563,29124350,56,BJD58_gp56,SEA_UMATHURMAN_56,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20200927,-
1821563,29124351,57,BJD58_gp57,SEA_UMATHURMAN_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124352,58,BJD58_gp58,SEA_UMATHURMAN_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124353,59,BJD58_gp59,SEA_UMATHURMAN_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124354,60,BJD58_gp60,SEA_UMATHURMAN_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124355,61,BJD58_gp61,SEA_UMATHURMAN_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124356,62,BJD58_gp62,SEA_UMATHURMAN_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124357,63,BJD58_gp63,SEA_UMATHURMAN_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124358,64,BJD58_gp64,SEA_UMATHURMAN_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124359,65,BJD58_gp65,SEA_UMATHURMAN_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124360,66,BJD58_gp66,SEA_UMATHURMAN_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124361,67,BJD58_gp67,SEA_UMATHURMAN_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124362,68,BJD58_gp68,SEA_UMATHURMAN_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124363,69,BJD58_gp69,SEA_UMATHURMAN_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124364,70,BJD58_gp70,SEA_UMATHURMAN_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124365,71,BJD58_gp71,SEA_UMATHURMAN_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1821563,29124366,72,BJD58_gp72,SEA_UMATHURMAN_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124367,73,BJD58_gp73,SEA_UMATHURMAN_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124368,74,BJD58_gp74,SEA_UMATHURMAN_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124369,75,BJD58_gp75,SEA_UMATHURMAN_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124370,76,BJD58_gp76,SEA_UMATHURMAN_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124371,77,BJD58_gp77,SEA_UMATHURMAN_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124372,78,BJD58_gp78,SEA_UMATHURMAN_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124373,79,BJD58_gp79,SEA_UMATHURMAN_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124374,80,BJD58_gp80,SEA_UMATHURMAN_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124375,81,BJD58_gp81,SEA_UMATHURMAN_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124376,82,BJD58_gp82,SEA_UMATHURMAN_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124377,83,BJD58_gp83,SEA_UMATHURMAN_83,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1821563,29124378,1,BJD58_gp01,SEA_UMATHURMAN_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1821563,29140851,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
