#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1873954,55630722,HWB01_gp002,HWB01_gp002,E_002,-,-,-,rIIA,protein-coding,-,-,-,rIIA,20200620,-
1873954,55630748,HWB01_gp028,HWB01_gp028,E_028,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20210327,-
1873954,55630749,HWB01_gp029,HWB01_gp029,E_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630750,HWB01_gp030,HWB01_gp030,E_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1873954,55630751,HWB01_gp031,HWB01_gp031,E_031,-,-,-,putative methyltransferase,protein-coding,-,-,-,putative methyltransferase,20210424,-
1873954,55630752,HWB01_gp032,HWB01_gp032,E_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630753,HWB01_gp033,HWB01_gp033,E_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630754,HWB01_gp034,HWB01_gp034,E_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630755,HWB01_gp035,HWB01_gp035,E_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630756,HWB01_gp036,HWB01_gp036,E_036,-,-,-,replication and recombination DNA helicase,protein-coding,-,-,-,replication and recombination DNA helicase,20210424,-
1873954,55630757,HWB01_gp037,HWB01_gp037,E_037,-,-,-,membrane associated initiation of head vertex,protein-coding,-,-,-,membrane associated initiation of head vertex,20210424,-
1873954,55630758,HWB01_gp038,HWB01_gp038,E_038,-,-,-,RecA-like recombination protein,protein-coding,-,-,-,RecA-like recombination protein,20210424,-
1873954,55630759,HWB01_gp039,HWB01_gp039,E_039,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210424,-
1873954,55630760,HWB01_gp040,HWB01_gp040,E_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630761,HWB01_gp041,HWB01_gp041,E_041,-,-,-,early gene translational repressor,protein-coding,-,-,-,early gene translational repressor,20210116,-
1873954,55630762,HWB01_gp042,HWB01_gp042,E_042,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20210116,-
1873954,55630763,HWB01_gp043,HWB01_gp043,E_043,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20210327,-
1873954,55630764,HWB01_gp044,HWB01_gp044,E_044,-,-,-,sliding clamp DNA polymerase,protein-coding,-,-,-,sliding clamp DNA polymerase,20210116,-
1873954,55630765,HWB01_gp045,HWB01_gp045,E_045,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20210406,-
1873954,55630766,HWB01_gp046,HWB01_gp046,E_046,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210424,-
1873954,55630767,HWB01_gp047,HWB01_gp047,E_047,-,-,-,loader of DNA helicase,protein-coding,-,-,-,loader of DNA helicase,20210406,-
1873954,55630768,HWB01_gp048,HWB01_gp048,E_048,-,-,-,late promoters transcription,protein-coding,-,-,-,late promoters transcription,20210327,-
1873954,55630769,HWB01_gp049,HWB01_gp049,E_049,-,-,-,dsDNA binding protein late transcription,protein-coding,-,-,-,dsDNA binding protein late transcription,20210116,-
1873954,55630770,HWB01_gp050,HWB01_gp050,E_050,-,-,-,ribonuclease,protein-coding,-,-,-,ribonuclease,20210116,-
1873954,55630771,HWB01_gp051,HWB01_gp051,E_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630772,HWB01_gp052,HWB01_gp052,E_052,-,-,-,sigma factor for late transcription,protein-coding,-,-,-,sigma factor for late transcription,20210116,-
1873954,55630773,HWB01_gp053,HWB01_gp053,E_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630774,HWB01_gp054,HWB01_gp054,E_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1873954,55630775,HWB01_gp055,HWB01_gp055,E_055,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210116,-
1873954,55630776,HWB01_gp056,HWB01_gp056,E_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630777,HWB01_gp057,HWB01_gp057,E_057,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210424,-
1873954,55630778,HWB01_gp058,HWB01_gp058,E_058,-,-,-,putative Mob-like HNH homing endonuclease,protein-coding,-,-,-,putative Mob-like HNH homing endonuclease,20210424,-
1873954,55630779,HWB01_gp059,HWB01_gp059,E_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630780,HWB01_gp060,HWB01_gp060,E_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1873954,55630781,HWB01_gp061,HWB01_gp061,E_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630782,HWB01_gp062,HWB01_gp062,E_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630783,HWB01_gp063,HWB01_gp063,E_063,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20210424,-
1873954,55630784,HWB01_gp064,HWB01_gp064,E_064,-,-,-,thymidylate synthetase,protein-coding,-,-,-,thymidylate synthetase,20210424,-
1873954,55630785,HWB01_gp065,HWB01_gp065,E_065,-,-,-,ribonuclease reductase A subunit,protein-coding,-,-,-,ribonuclease reductase A subunit,20210424,-
1873954,55630786,HWB01_gp066,HWB01_gp066,E_066,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20210406,-
1873954,55630787,HWB01_gp067,HWB01_gp067,E_067,-,-,-,ribonuclease reductase B subunit,protein-coding,-,-,-,ribonuclease reductase B subunit,20210424,-
1873954,55630788,HWB01_gp068,HWB01_gp068,E_068,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20210424,-
1873954,55630789,HWB01_gp069,HWB01_gp069,E_069,-,-,-,endonuclease II,protein-coding,-,-,-,endonuclease II,20210424,-
1873954,55630790,HWB01_gp070,HWB01_gp070,E_070,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210424,-
1873954,55630791,HWB01_gp071,HWB01_gp071,E_071,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20210424,-
1873954,55630792,HWB01_gp072,HWB01_gp072,E_072,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20200620,-
1873954,55630793,HWB01_gp073,HWB01_gp073,E_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630794,HWB01_gp074,HWB01_gp074,E_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630795,HWB01_gp075,HWB01_gp075,E_075,-,-,-,"3'phosphatase, 5'polynucleotide kinase",protein-coding,-,-,-,"3'phosphatase, 5'polynucleotide kinase",20210424,-
1873954,55630796,HWB01_gp076,HWB01_gp076,E_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630797,HWB01_gp077,HWB01_gp077,E_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630798,HWB01_gp078,HWB01_gp078,E_078,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20210424,-
1873954,55630799,HWB01_gp079,HWB01_gp079,E_079,-,-,-,co-chaperonin for GroEL,protein-coding,-,-,-,co-chaperonin for GroEL,20210424,-
1873954,55630800,HWB01_gp080,HWB01_gp080,E_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630801,HWB01_gp081,HWB01_gp081,E_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630802,HWB01_gp082,HWB01_gp082,E_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630803,HWB01_gp083,HWB01_gp083,E_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630804,HWB01_gp084,HWB01_gp084,E_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1873954,55630805,HWB01_gp085,HWB01_gp085,E_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630806,HWB01_gp086,HWB01_gp086,E_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630807,HWB01_gp087,HWB01_gp087,E_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630808,HWB01_gp088,HWB01_gp088,E_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630809,HWB01_gp089,HWB01_gp089,E_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630810,HWB01_gp090,HWB01_gp090,E_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630811,HWB01_gp091,HWB01_gp091,E_092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630812,HWB01_gp092,HWB01_gp092,E_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630813,HWB01_gp093,HWB01_gp093,E_094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630814,HWB01_gp094,HWB01_gp094,E_095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1873954,55630815,HWB01_gp095,HWB01_gp095,E_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630816,HWB01_gp096,HWB01_gp096,E_097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630817,HWB01_gp097,HWB01_gp097,E_098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1873954,55630818,HWB01_gp098,HWB01_gp098,E_099,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210424,-
1873954,55630819,HWB01_gp099,HWB01_gp099,E_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630820,HWB01_gp100,HWB01_gp100,E_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630821,HWB01_gp101,HWB01_gp101,E_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1873954,55630822,HWB01_gp102,HWB01_gp102,E_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630823,HWB01_gp103,HWB01_gp103,E_104,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210424,-
1873954,55630824,HWB01_gp104,HWB01_gp104,E_105,-,-,-,baseplate distal hub subunit,protein-coding,-,-,-,baseplate distal hub subunit,20210424,-
1873954,55630825,HWB01_gp105,HWB01_gp105,E_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1873954,55630826,HWB01_gp106,HWB01_gp106,E_107,-,-,-,tail tube cap protein,protein-coding,-,-,-,tail tube cap protein,20210327,-
1873954,55630827,HWB01_gp107,HWB01_gp107,E_108,-,-,-,baseplate-tail tube inhibitor,protein-coding,-,-,-,baseplate-tail tube inhibitor,20210406,-
1873954,55630828,HWB01_gp108,HWB01_gp108,E_109,-,-,-,baseplate hub assembly catalyst,protein-coding,-,-,-,baseplate hub assembly catalyst,20210116,-
1873954,55630829,HWB01_gp109,HWB01_gp109,E_110,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210424,-
1873954,55630830,HWB01_gp110,HWB01_gp110,E_111,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210116,-
1873954,55630831,HWB01_gp111,HWB01_gp111,E_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630832,HWB01_gp112,HWB01_gp112,E_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630833,HWB01_gp113,HWB01_gp113,E_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630834,HWB01_gp114,HWB01_gp114,E_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630835,HWB01_gp115,HWB01_gp115,E_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630836,HWB01_gp116,HWB01_gp116,E_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630837,HWB01_gp117,HWB01_gp117,E_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630838,HWB01_gp118,HWB01_gp118,E_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630839,HWB01_gp119,HWB01_gp119,E_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630840,HWB01_gp120,HWB01_gp120,E_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1873954,55630841,HWB01_gp121,HWB01_gp121,E_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630842,HWB01_gp122,HWB01_gp122,E_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630843,HWB01_gp123,HWB01_gp123,E_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630844,HWB01_gp124,HWB01_gp124,E_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630845,HWB01_gp125,HWB01_gp125,E_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630846,HWB01_gp126,HWB01_gp126,E_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630847,HWB01_gp127,HWB01_gp127,E_128,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20210424,-
1873954,55630848,HWB01_gp128,HWB01_gp128,E_129,-,-,-,putative DNA-methyltransferase,protein-coding,-,-,-,putative DNA-methyltransferase,20210424,-
1873954,55630849,HWB01_gp129,HWB01_gp129,E_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630850,HWB01_gp130,HWB01_gp130,E_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630851,HWB01_gp131,HWB01_gp131,E_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1873954,55630852,HWB01_gp132,HWB01_gp132,E_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630853,HWB01_gp133,HWB01_gp133,E_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630854,HWB01_gp134,HWB01_gp134,E_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630855,HWB01_gp135,HWB01_gp135,E_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630856,HWB01_gp136,HWB01_gp136,E_137,-,-,-,putative bifunctional protein,protein-coding,-,-,-,putative bifunctional protein,20210424,-
1873954,55630857,HWB01_gp137,HWB01_gp137,E_138,-,-,-,putative SPFH domain-containing protein,protein-coding,-,-,-,putative SPFH domain-containing protein,20210116,-
1873954,55630858,HWB01_gp138,HWB01_gp138,E_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1873954,55630859,HWB01_gp139,HWB01_gp139,E_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1873954,55630860,HWB01_gp140,HWB01_gp140,E_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630861,HWB01_gp141,HWB01_gp141,E_142,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20210116,-
1873954,55630862,HWB01_gp142,HWB01_gp142,E_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630863,HWB01_gp143,HWB01_gp143,E_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630864,HWB01_gp144,HWB01_gp144,E_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630865,HWB01_gp145,HWB01_gp145,E_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1873954,55630866,HWB01_gp146,HWB01_gp146,E_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630867,HWB01_gp147,HWB01_gp147,E_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630868,HWB01_gp148,HWB01_gp148,E_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630869,HWB01_gp149,HWB01_gp149,E_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630870,HWB01_gp150,HWB01_gp150,E_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1873954,55630871,HWB01_gp151,HWB01_gp151,E_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630872,HWB01_gp152,HWB01_gp152,E_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630873,HWB01_gp153,HWB01_gp153,E_154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630874,HWB01_gp154,HWB01_gp154,E_155,-,-,-,putative PhoH family protein,protein-coding,-,-,-,putative PhoH family protein,20210424,-
1873954,55630875,HWB01_gp155,HWB01_gp155,E_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630876,HWB01_gp156,HWB01_gp156,E_157,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20210424,-
1873954,55630877,HWB01_gp157,HWB01_gp157,E_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630878,HWB01_gp158,HWB01_gp158,E_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630879,HWB01_gp159,HWB01_gp159,E_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630880,HWB01_gp160,HWB01_gp160,E_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630881,HWB01_gp161,HWB01_gp161,E_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630882,HWB01_gp162,HWB01_gp162,E_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630883,HWB01_gp163,HWB01_gp163,E_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1873954,55630884,HWB01_gp164,HWB01_gp164,E_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630885,HWB01_gp165,HWB01_gp165,E_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630886,HWB01_gp166,HWB01_gp166,E_167,-,-,-,putative radical SAM protein,protein-coding,-,-,-,putative radical SAM protein,20210424,-
1873954,55630887,HWB01_gp167,HWB01_gp167,E_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630888,HWB01_gp168,HWB01_gp168,E_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630889,HWB01_gp169,HWB01_gp169,E_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630890,HWB01_gp170,HWB01_gp170,E_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630891,HWB01_gp171,HWB01_gp171,E_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630892,HWB01_gp172,HWB01_gp172,E_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630893,HWB01_gp173,HWB01_gp173,E_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630894,HWB01_gp174,HWB01_gp174,E_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630895,HWB01_gp175,HWB01_gp175,E_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630896,HWB01_gp176,HWB01_gp176,E_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630897,HWB01_gp177,HWB01_gp177,E_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630898,HWB01_gp178,HWB01_gp178,E_179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1873954,55630899,HWB01_gp179,HWB01_gp179,E_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630900,HWB01_gp180,HWB01_gp180,E_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630901,HWB01_gp181,HWB01_gp181,E_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630902,HWB01_gp182,HWB01_gp182,E_183,-,-,-,nudix hydrolase,protein-coding,-,-,-,nudix hydrolase,20210116,-
1873954,55630903,HWB01_gp183,HWB01_gp183,E_184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630904,HWB01_gp184,HWB01_gp184,E_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630905,HWB01_gp185,HWB01_gp185,E_186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630906,HWB01_gp186,HWB01_gp186,E_187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630907,HWB01_gp187,HWB01_gp187,E_188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1873954,55630908,HWB01_gp188,HWB01_gp188,E_189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630909,HWB01_gp189,HWB01_gp189,E_190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630910,HWB01_gp190,HWB01_gp190,E_191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630911,HWB01_gp191,HWB01_gp191,E_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1873954,55630912,HWB01_gp192,HWB01_gp192,E_193,-,-,-,chaperone for tail fiber formation,protein-coding,-,-,-,chaperone for tail fiber formation,20200620,-
