#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
925984,10351386,ErPhphiEt88_gp01,ErPhphiEt88_gp01,P88_00010,-,-,-,endopeptidase (lysis protein),protein-coding,-,-,-,endopeptidase (lysis protein),20200909,-
925984,10351399,ErPhphiEt88_gp18,ErPhphiEt88_gp18,P88_00180,-,-,-,phage tail tape measure protein,protein-coding,-,-,-,phage tail tape measure protein,20200909,-
925984,10351400,ErPhphiEt88_gp19,ErPhphiEt88_gp19,P88_00190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351401,ErPhphiEt88_gp20,ErPhphiEt88_gp20,P88_00200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351402,ErPhphiEt88_gp21,ErPhphiEt88_gp21,P88_00210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351403,ErPhphiEt88_gp22,ErPhphiEt88_gp22,P88_00220,-,-,-,phage baseplate assembly protein V,protein-coding,-,-,-,phage baseplate assembly protein V,20200909,-
925984,10351404,ErPhphiEt88_gp23,ErPhphiEt88_gp23,P88_00230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351405,ErPhphiEt88_gp24,ErPhphiEt88_gp24,P88_00240,-,-,-,baseplate component,protein-coding,-,-,-,baseplate component,20200909,-
925984,10351406,ErPhphiEt88_gp25,ErPhphiEt88_gp25,P88_00250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351407,ErPhphiEt88_gp26,ErPhphiEt88_gp26,P88_00260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351408,83,ErPhphiEt88_gp27,P88_00270,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200909,-
925984,10351409,ErPhphiEt88_gp29,ErPhphiEt88_gp29,P88_00290,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351410,ErPhphiEt88_gp30,ErPhphiEt88_gp30,P88_00300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351411,ErPhphiEt88_gp31,ErPhphiEt88_gp31,P88_00310,-,-,-,phage integrase family site-specific recombinase,protein-coding,-,-,-,phage integrase family site-specific recombinase,20200909,-
925984,10351412,hkaC,ErPhphiEt88_gp32,P88_00320,-,-,-,probable excisionase HkaC,protein-coding,-,-,-,probable excisionase HkaC,20200909,-
925984,10351413,ErPhphiEt88_gp34,ErPhphiEt88_gp34,P88_00340,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351414,ErPhphiEt88_gp35,ErPhphiEt88_gp35,P88_00350,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351415,ErPhphiEt88_gp36,ErPhphiEt88_gp36,P88_00360,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351416,ErPhphiEt88_gp37,ErPhphiEt88_gp37,P88_00370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351417,ea,ErPhphiEt88_gp38,P88_00380,-,-,-,similar to Eae protein,protein-coding,-,-,-,similar to Eae protein,20200909,-
925984,10351418,ErPhphiEt88_gp40,ErPhphiEt88_gp40,P88_00400,-,-,-,DNA single-strand annealing protein RecT-like,protein-coding,-,-,-,DNA single-strand annealing protein RecT-like,20200909,-
925984,10351419,ErPhphiEt88_gp41,ErPhphiEt88_gp41,P88_00410,-,-,-,exodeoxyribonuclease,protein-coding,-,-,-,exodeoxyribonuclease,20200909,-
925984,10351420,ErPhphiEt88_gp42,ErPhphiEt88_gp42,P88_00420,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351421,ErPhphiEt88_gp43,ErPhphiEt88_gp43,P88_00430,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351422,ErPhphiEt88_gp44,ErPhphiEt88_gp44,P88_00440,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351423,ErPhphiEt88_gp45,ErPhphiEt88_gp45,P88_00450,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351424,ErPhphiEt88_gp46,ErPhphiEt88_gp46,P88_00460,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351425,rdgA,ErPhphiEt88_gp47,P88_00470,-,-,-,phage repressor protein,protein-coding,-,-,-,phage repressor protein,20200909,-
925984,10351426,ErPhphiEt88_gp49,ErPhphiEt88_gp49,P88_00490,-,-,-,predicted regulatory protein,protein-coding,-,-,-,predicted regulatory protein,20200909,-
925984,10351427,ErPhphiEt88_gp50,ErPhphiEt88_gp50,P88_00500,-,-,-,phage replication protein O,protein-coding,-,-,-,phage replication protein O,20200909,-
925984,10351428,dnaB,ErPhphiEt88_gp51,P88_00510,-,-,-,Replicative DNA helicase,protein-coding,-,-,-,Replicative DNA helicase,20200909,-
925984,10351429,ErPhphiEt88_gp53,ErPhphiEt88_gp53,P88_00530,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351430,ErPhphiEt88_gp54,ErPhphiEt88_gp54,P88_00540,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351431,ErPhphiEt88_gp55,ErPhphiEt88_gp55,P88_00550,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351432,ErPhphiEt88_gp56,ErPhphiEt88_gp56,P88_00560,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351433,ErPhphiEt88_gp57,ErPhphiEt88_gp57,P88_00570,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351434,ErPhphiEt88_gp58,ErPhphiEt88_gp58,P88_00580,-,-,-,NinB protein,protein-coding,-,-,-,NinB protein,20200909,-
925984,10351435,ErPhphiEt88_gp59,ErPhphiEt88_gp59,P88_00590,-,-,-,DNA N-6-adenine-methyltransferase,protein-coding,-,-,-,DNA N-6-adenine-methyltransferase,20200909,-
925984,10351436,ErPhphiEt88_gp60,ErPhphiEt88_gp60,P88_00600,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351437,ErPhphiEt88_gp61,ErPhphiEt88_gp61,P88_00610,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351438,rusA,ErPhphiEt88_gp62,P88_00620,-,-,-,crossover junction endodeoxyribonuclease,protein-coding,-,-,-,crossover junction endodeoxyribonuclease,20200909,-
925984,10351439,ErPhphiEt88_gp64,ErPhphiEt88_gp64,P88_00640,-,-,-,Antitermination protein,protein-coding,-,-,-,Antitermination protein,20200909,-
925984,10351440,ErPhphiEt88_gp65,ErPhphiEt88_gp65,P88_00650,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351441,tRNA-Phe,ErPhphiEt88_gt01,P88_00655,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
925984,10351442,ErPhphiEt88_gp67,ErPhphiEt88_gp67,P88_00670,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351443,hol,ErPhphiEt88_gp68,P88_00680,-,-,-,holin,protein-coding,-,-,-,holin,20200909,-
925984,10351444,ErPhphiEt88_gp28,ErPhphiEt88_gp28,P88_00280,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351445,ErPhphiEt88_gp52,ErPhphiEt88_gp52,P88_00520,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351446,ErPhphiEt88_gp39,ErPhphiEt88_gp39,P88_00390,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351447,ErPhphiEt88_gp33,ErPhphiEt88_gp33,P88_00330,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351448,terS,ErPhphiEt88_gp03,P88_00030,-,-,-,"phage terminase, small subunit",protein-coding,-,-,-,"phage terminase, small subunit",20200909,-
925984,10351449,ErPhphiEt88_gp06,ErPhphiEt88_gp06,P88_00060,-,-,-,phage putative head morphogenesis protein,protein-coding,-,-,-,phage putative head morphogenesis protein,20200909,-
925984,10351450,ErPhphiEt88_gp48,ErPhphiEt88_gp48,P88_00480,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351451,ErPhphiEt88_gp63,ErPhphiEt88_gp63,P88_00630,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351452,porT,ErPhphiEt88_gp05,P88_00050,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200909,-
925984,10351453,terL,ErPhphiEt88_gp04,P88_00040,-,-,-,"terminase, large subunit",protein-coding,-,-,-,"terminase, large subunit",20200909,-
925984,10351454,ErPhphiEt88_gp66,ErPhphiEt88_gp66,P88_00660,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10415126,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Erwinia tasmaniensis phage phiEt88).,other,-,-,-,-,20200513,-
