#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2664223,62359642,2,JMN48_gp02,SEA_BACONJACK_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
2664223,62359667,28,JMN48_gp28,SEA_BACONJACK_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2664223,62359668,29,JMN48_gp29,SEA_BACONJACK_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2664223,62359669,30,JMN48_gp30,SEA_BACONJACK_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359670,31,JMN48_gp31,SEA_BACONJACK_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2664223,62359671,32,JMN48_gp32,SEA_BACONJACK_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2664223,62359672,33,JMN48_gp33,SEA_BACONJACK_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2664223,62359673,34,JMN48_gp34,SEA_BACONJACK_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2664223,62359674,35,JMN48_gp35,SEA_BACONJACK_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2664223,62359675,36,JMN48_gp36,SEA_BACONJACK_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359676,37,JMN48_gp37,SEA_BACONJACK_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359677,38,JMN48_gp38,SEA_BACONJACK_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359678,39,JMN48_gp39,SEA_BACONJACK_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359679,40,JMN48_gp40,SEA_BACONJACK_40,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20210424,-
2664223,62359680,41,JMN48_gp41,SEA_BACONJACK_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359681,42,JMN48_gp42,SEA_BACONJACK_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359682,43,JMN48_gp43,SEA_BACONJACK_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359683,44,JMN48_gp44,SEA_BACONJACK_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359684,45,JMN48_gp45,SEA_BACONJACK_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359685,46,JMN48_gp46,SEA_BACONJACK_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359686,47,JMN48_gp47,SEA_BACONJACK_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359687,48,JMN48_gp48,SEA_BACONJACK_48,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210424,-
2664223,62359688,49,JMN48_gp49,SEA_BACONJACK_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359689,50,JMN48_gp50,SEA_BACONJACK_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359690,51,JMN48_gp51,SEA_BACONJACK_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2664223,62359691,52,JMN48_gp52,SEA_BACONJACK_52,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210123,-
2664223,62359692,53,JMN48_gp53,SEA_BACONJACK_53,-,-,-,recombination directionality factor,protein-coding,-,-,-,recombination directionality factor,20210123,-
2664223,62359693,54,JMN48_gp54,SEA_BACONJACK_54,-,-,-,recombination directionality factor,protein-coding,-,-,-,recombination directionality factor,20210424,-
2664223,62359694,55,JMN48_gp55,SEA_BACONJACK_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359695,56,JMN48_gp56,SEA_BACONJACK_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359696,57,JMN48_gp57,SEA_BACONJACK_57,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
2664223,62359697,58,JMN48_gp58,SEA_BACONJACK_58,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210123,-
2664223,62359698,60,JMN48_gp60,SEA_BACONJACK_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359699,61,JMN48_gp61,SEA_BACONJACK_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359700,62,JMN48_gp62,SEA_BACONJACK_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359701,64,JMN48_gp64,SEA_BACONJACK_64,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2664223,62359702,65,JMN48_gp65,SEA_BACONJACK_65,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210417,-
2664223,62359703,66,JMN48_gp66,SEA_BACONJACK_66,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210424,-
2664223,62359704,67,JMN48_gp67,SEA_BACONJACK_67,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210403,-
2664223,62359705,68,JMN48_gp68,SEA_BACONJACK_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359706,69,JMN48_gp69,SEA_BACONJACK_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359707,70,JMN48_gp70,SEA_BACONJACK_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359708,71,JMN48_gp71,SEA_BACONJACK_71,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20210123,-
2664223,62359709,72,JMN48_gp72,SEA_BACONJACK_72,-,-,-,helix-turn-helix binding domain protein,protein-coding,-,-,-,helix-turn-helix binding domain protein,20210123,-
2664223,62359710,73,JMN48_gp73,SEA_BACONJACK_73,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,20210212,-
2664223,62359711,74,JMN48_gp74,SEA_BACONJACK_74,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210424,-
2664223,62359712,75,JMN48_gp75,SEA_BACONJACK_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2664223,62359713,76,JMN48_gp76,SEA_BACONJACK_76,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2664223,62359714,77,JMN48_gp77,SEA_BACONJACK_77,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2664223,62359715,78,JMN48_gp78,SEA_BACONJACK_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359716,79,JMN48_gp79,SEA_BACONJACK_79,-,-,-,recombination directionality factor,protein-coding,-,-,-,recombination directionality factor,20210123,-
2664223,62359717,80,JMN48_gp80,SEA_BACONJACK_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359718,81,JMN48_gp81,SEA_BACONJACK_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359719,82,JMN48_gp82,SEA_BACONJACK_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359720,83,JMN48_gp83,SEA_BACONJACK_83,-,-,-,recombination directionality factor,protein-coding,-,-,-,recombination directionality factor,20210123,-
2664223,62359721,84,JMN48_gp84,SEA_BACONJACK_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359722,85,JMN48_gp85,SEA_BACONJACK_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359723,86,JMN48_gp86,SEA_BACONJACK_86,-,-,-,DnaJ-like chaperonin,protein-coding,-,-,-,DnaJ-like chaperonin,20210406,-
2664223,62359724,88,JMN48_gp88,SEA_BACONJACK_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359725,89,JMN48_gp89,SEA_BACONJACK_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359726,91,JMN48_gp91,SEA_BACONJACK_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2664223,62359727,92,JMN48_gp92,SEA_BACONJACK_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359728,93,JMN48_gp93,SEA_BACONJACK_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359729,94,JMN48_gp94,SEA_BACONJACK_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2664223,62359730,95,JMN48_gp95,SEA_BACONJACK_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359731,96,JMN48_gp96,SEA_BACONJACK_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359732,59,JMN48_gp59,SEA_BACONJACK_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359733,87,JMN48_gp87,SEA_BACONJACK_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359734,90,JMN48_gp90,SEA_BACONJACK_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359735,6,JMN48_gp06,SEA_BACONJACK_6,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2664223,62359736,63,JMN48_gp63,SEA_BACONJACK_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2664223,62359737,97,JMN48_gp97,SEA_BACONJACK_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359738,1,JMN48_gp01,SEA_BACONJACK_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62369053,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210125,-
