#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1337877,16385262,IBBPl23_02,IBBPl23_02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1337877,16385294,IBBPl23_31,IBBPl23_31,-,-,-,-,SOS-response repressor and protease LexA,protein-coding,-,-,-,SOS-response repressor and protease LexA,20201221,-
1337877,16385295,IBBPl23_32,IBBPl23_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385296,IBBPl23_33,IBBPl23_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385297,IBBPl23_34,IBBPl23_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385298,IBBPl23_35,IBBPl23_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385299,IBBPl23_36,IBBPl23_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385300,IBBPl23_37,IBBPl23_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385301,IBBPl23_38,IBBPl23_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385302,IBBPl23_39,IBBPl23_39,-,-,-,-,antirepressor protein,protein-coding,-,-,-,antirepressor protein,20201221,-
1337877,16385303,IBBPl23_40,IBBPl23_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385304,IBBPl23_41,IBBPl23_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385305,IBBPl23_42,IBBPl23_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385306,IBBPl23_43,IBBPl23_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385307,IBBPl23_44,IBBPl23_44,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201221,-
1337877,16385308,IBBPl23_45,IBBPl23_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385309,IBBPl23_46,IBBPl23_46,-,-,-,-,recombinase RecT,protein-coding,-,-,-,recombinase RecT,20210424,-
1337877,16385310,IBBPl23_47,IBBPl23_47,-,-,-,-,MBL fold metallo-hydrolase,protein-coding,-,-,-,MBL fold metallo-hydrolase,20210424,-
1337877,16385311,IBBPl23_48,IBBPl23_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385312,IBBPl23_49,IBBPl23_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385313,IBBPl23_50,IBBPl23_50,-,-,-,-,replicative DNA helicase,protein-coding,-,-,-,replicative DNA helicase,20210417,-
1337877,16385314,IBBPl23_51,IBBPl23_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385315,IBBPl23_52,IBBPl23_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385316,IBBPl23_53,IBBPl23_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385317,IBBPl23_54,IBBPl23_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385318,IBBPl23_55,IBBPl23_55,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1337877,16385319,IBBPl23_56,IBBPl23_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385320,IBBPl23_57,IBBPl23_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385321,IBBPl23_58,IBBPl23_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385322,IBBPl23_59,IBBPl23_59,-,-,-,-,crossover junction endodeoxyribonuclease RuvC,protein-coding,-,-,-,crossover junction endodeoxyribonuclease RuvC,20210417,-
1337877,16385323,IBBPl23_60,IBBPl23_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385324,IBBPl23_61,IBBPl23_61,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201221,-
1337877,16385325,IBBPl23_62,IBBPl23_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385327,IBBPl23_64,IBBPl23_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385328,IBBPl23_64A,IBBPl23_64A,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1337877,16385329,IBBPl23_65,IBBPl23_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385330,IBBPl23_01,IBBPl23_01,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1337877,16545726,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200819,-
