#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2507411,54983187,HOS18_gp02,HOS18_gp02,CF7_02,-,-,-,putative DNA exonuclease,protein-coding,-,-,-,putative DNA exonuclease,20210403,-
2507411,54983213,HOS18_gp28,HOS18_gp28,CF7_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2507411,54983214,HOS18_gp29,HOS18_gp29,CF7_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507411,54983215,HOS18_gp30,HOS18_gp30,CF7_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507411,54983216,HOS18_gp31,HOS18_gp31,CF7_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507411,54983217,HOS18_gp32,HOS18_gp32,CF7_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507411,54983218,HOS18_gp33,HOS18_gp33,CF7_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507411,54983219,HOS18_gp34,HOS18_gp34,CF7_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507411,54983220,HOS18_gp35,HOS18_gp35,CF7_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507411,54983221,HOS18_gp36,HOS18_gp36,CF7_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507411,54983222,HOS18_gp37,HOS18_gp37,CF7_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507411,54983223,HOS18_gp38,HOS18_gp38,CF7_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507411,54983224,HOS18_gp39,HOS18_gp39,CF7_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2507411,54983225,HOS18_gp40,HOS18_gp40,CF7_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507411,54983226,HOS18_gp41,HOS18_gp41,CF7_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507411,54983227,HOS18_gp42,HOS18_gp42,CF7_42,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20210403,-
2507411,54983228,HOS18_gp43,HOS18_gp43,CF7_43,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20210403,-
2507411,54983229,HOS18_gp44,HOS18_gp44,CF7_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507411,54983230,HOS18_gp45,HOS18_gp45,CF7_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507411,54983231,HOS18_gp46,HOS18_gp46,CF7_46,-,-,-,putative ATP-dependent DNA ligase,protein-coding,-,-,-,putative ATP-dependent DNA ligase,20210403,-
2507411,54983232,HOS18_gp47,HOS18_gp47,CF7_47,-,-,-,putative nucleotidyl transferase,protein-coding,-,-,-,putative nucleotidyl transferase,20210403,-
2507411,54983233,HOS18_gp48,HOS18_gp48,CF7_48,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20210403,-
2507411,54983234,HOS18_gp49,HOS18_gp49,CF7_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507411,54983235,HOS18_gp01,HOS18_gp01,CF7_01,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2507411,55154308,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
