#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591223,64766926,2,KHQ87_gp002,SEA_PHRAPPUCCINO_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210509,-
2591223,64766995,74,KHQ87_gp074,SEA_PHRAPPUCCINO_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766996,75,KHQ87_gp075,SEA_PHRAPPUCCINO_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766997,77,KHQ87_gp076,SEA_PHRAPPUCCINO_77,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210509,-
2591223,64766998,78,KHQ87_gp078,SEA_PHRAPPUCCINO_78,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210509,-
2591223,64766999,76,KHQ87_gp077,SEA_PHRAPPUCCINO_76,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210509,-
2591223,64767000,79,KHQ87_gp079,SEA_PHRAPPUCCINO_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767001,80,KHQ87_gp080,SEA_PHRAPPUCCINO_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767002,81,KHQ87_gp081,SEA_PHRAPPUCCINO_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767003,82,KHQ87_gp082,SEA_PHRAPPUCCINO_82,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210509,-
2591223,64767004,83,KHQ87_gp083,SEA_PHRAPPUCCINO_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767005,84,KHQ87_gp084,SEA_PHRAPPUCCINO_84,-,-,-,"baseplate assembly protein, lysozyme domain",protein-coding,-,-,-,"baseplate assembly protein, lysozyme domain",20210509,-
2591223,64767006,85,KHQ87_gp085,SEA_PHRAPPUCCINO_85,-,-,-,baseplate J protein,protein-coding,-,-,-,baseplate J protein,20210509,-
2591223,64767007,86,KHQ87_gp086,SEA_PHRAPPUCCINO_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767008,87,KHQ87_gp087,SEA_PHRAPPUCCINO_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767009,88,KHQ87_gp088,SEA_PHRAPPUCCINO_88,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210509,-
2591223,64767010,89,KHQ87_gp089,SEA_PHRAPPUCCINO_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767011,90,KHQ87_gp090,SEA_PHRAPPUCCINO_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767012,91,KHQ87_gp091,SEA_PHRAPPUCCINO_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767013,92,KHQ87_gp092,SEA_PHRAPPUCCINO_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767014,93,KHQ87_gp093,SEA_PHRAPPUCCINO_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767015,94,KHQ87_gp094,SEA_PHRAPPUCCINO_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767016,95,KHQ87_gp095,SEA_PHRAPPUCCINO_95,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210509,-
2591223,64767017,96,KHQ87_gp096,SEA_PHRAPPUCCINO_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767018,97,KHQ87_gp097,SEA_PHRAPPUCCINO_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767019,98,KHQ87_gp098,SEA_PHRAPPUCCINO_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767020,99,KHQ87_gp099,SEA_PHRAPPUCCINO_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767021,100,KHQ87_gp100,SEA_PHRAPPUCCINO_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767022,101,KHQ87_gp101,SEA_PHRAPPUCCINO_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767023,102,KHQ87_gp102,SEA_PHRAPPUCCINO_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767024,103,KHQ87_gp103,SEA_PHRAPPUCCINO_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767025,104,KHQ87_gp104,SEA_PHRAPPUCCINO_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767026,105,KHQ87_gp105,SEA_PHRAPPUCCINO_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767027,106,KHQ87_gp106,SEA_PHRAPPUCCINO_106,-,-,-,aminotransferase,protein-coding,-,-,-,aminotransferase,20210509,-
2591223,64767028,107,KHQ87_gp107,SEA_PHRAPPUCCINO_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767029,108,KHQ87_gp108,SEA_PHRAPPUCCINO_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767030,109,KHQ87_gp109,SEA_PHRAPPUCCINO_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767031,110,KHQ87_gp110,SEA_PHRAPPUCCINO_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767032,111,KHQ87_gp111,SEA_PHRAPPUCCINO_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767033,112,KHQ87_gp112,SEA_PHRAPPUCCINO_112,-,-,-,helicase loader,protein-coding,-,-,-,helicase loader,20210509,-
2591223,64767034,113,KHQ87_gp113,SEA_PHRAPPUCCINO_113,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210509,-
2591223,64767035,114,KHQ87_gp114,SEA_PHRAPPUCCINO_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767036,115,KHQ87_gp115,SEA_PHRAPPUCCINO_115,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210509,-
2591223,64767037,116,KHQ87_gp116,SEA_PHRAPPUCCINO_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767038,117,KHQ87_gp117,SEA_PHRAPPUCCINO_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767039,118,KHQ87_gp118,SEA_PHRAPPUCCINO_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767040,119,KHQ87_gp119,SEA_PHRAPPUCCINO_119,-,-,-,DNA polymerase III alpha subunit,protein-coding,-,-,-,DNA polymerase III alpha subunit,20210509,-
2591223,64767041,120,KHQ87_gp120,SEA_PHRAPPUCCINO_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767042,121,KHQ87_gp121,SEA_PHRAPPUCCINO_121,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210509,-
2591223,64767043,122,KHQ87_gp122,SEA_PHRAPPUCCINO_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767044,123,KHQ87_gp123,SEA_PHRAPPUCCINO_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767045,124,KHQ87_gp124,SEA_PHRAPPUCCINO_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767046,125,KHQ87_gp125,SEA_PHRAPPUCCINO_125,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210509,-
2591223,64767047,126,KHQ87_gp126,SEA_PHRAPPUCCINO_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767048,127,KHQ87_gp127,SEA_PHRAPPUCCINO_127,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210509,-
2591223,64767049,128,KHQ87_gp128,SEA_PHRAPPUCCINO_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767050,129,KHQ87_gp129,SEA_PHRAPPUCCINO_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767051,130,KHQ87_gp130,SEA_PHRAPPUCCINO_130,-,-,-,putative RNA polymerase sigma-70 factor,protein-coding,-,-,-,putative RNA polymerase sigma-70 factor,20210509,-
2591223,64767052,131,KHQ87_gp131,SEA_PHRAPPUCCINO_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767053,132,KHQ87_gp132,SEA_PHRAPPUCCINO_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767054,133,KHQ87_gp133,SEA_PHRAPPUCCINO_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767055,134,KHQ87_gp134,SEA_PHRAPPUCCINO_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767056,135,KHQ87_gp135,SEA_PHRAPPUCCINO_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767057,136,KHQ87_gp136,SEA_PHRAPPUCCINO_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767058,137,KHQ87_gp137,SEA_PHRAPPUCCINO_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767059,138,KHQ87_gp138,SEA_PHRAPPUCCINO_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767060,139,KHQ87_gp139,SEA_PHRAPPUCCINO_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767061,140,KHQ87_gp140,SEA_PHRAPPUCCINO_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767062,141,KHQ87_gp141,SEA_PHRAPPUCCINO_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767063,142,KHQ87_gp142,SEA_PHRAPPUCCINO_142,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210509,-
2591223,64767064,143,KHQ87_gp143,SEA_PHRAPPUCCINO_143,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210509,-
2591223,64767065,144,KHQ87_gp144,SEA_PHRAPPUCCINO_144,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210509,-
2591223,64767066,145,KHQ87_gp145,SEA_PHRAPPUCCINO_145,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210509,-
2591223,64767067,146,KHQ87_gp146,SEA_PHRAPPUCCINO_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767068,147,KHQ87_gp147,SEA_PHRAPPUCCINO_147,-,-,-,MazG-like nucleotide pyrophosphohydrolase,protein-coding,-,-,-,MazG-like nucleotide pyrophosphohydrolase,20210509,-
2591223,64767069,148,KHQ87_gp148,SEA_PHRAPPUCCINO_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767070,149,KHQ87_gp149,SEA_PHRAPPUCCINO_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767071,150,KHQ87_gp150,SEA_PHRAPPUCCINO_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767072,151,KHQ87_gp151,SEA_PHRAPPUCCINO_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767073,152,KHQ87_gp152,SEA_PHRAPPUCCINO_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767074,153,KHQ87_gp153,SEA_PHRAPPUCCINO_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767075,154,KHQ87_gp154,SEA_PHRAPPUCCINO_154,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210509,-
2591223,64767076,155,KHQ87_gp155,SEA_PHRAPPUCCINO_155,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210509,-
2591223,64767077,156,KHQ87_gp156,SEA_PHRAPPUCCINO_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767078,157,KHQ87_gp157,SEA_PHRAPPUCCINO_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767079,158,KHQ87_gp158,SEA_PHRAPPUCCINO_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767080,159,KHQ87_gp159,SEA_PHRAPPUCCINO_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767081,160,KHQ87_gp160,SEA_PHRAPPUCCINO_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767082,161,KHQ87_gp161,SEA_PHRAPPUCCINO_161,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20210509,-
2591223,64767083,162,KHQ87_gp162,SEA_PHRAPPUCCINO_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767084,163,KHQ87_gp163,SEA_PHRAPPUCCINO_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767085,164,KHQ87_gp164,SEA_PHRAPPUCCINO_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767086,165,KHQ87_gp165,SEA_PHRAPPUCCINO_165,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20210509,-
2591223,64767087,166,KHQ87_gp166,SEA_PHRAPPUCCINO_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767088,167,KHQ87_gp167,SEA_PHRAPPUCCINO_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767089,168,KHQ87_gp168,SEA_PHRAPPUCCINO_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767090,169,KHQ87_gp169,SEA_PHRAPPUCCINO_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767091,170,KHQ87_gp170,SEA_PHRAPPUCCINO_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767092,171,KHQ87_gp171,SEA_PHRAPPUCCINO_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767093,172,KHQ87_gp172,SEA_PHRAPPUCCINO_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767094,173,KHQ87_gp173,SEA_PHRAPPUCCINO_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767095,174,KHQ87_gp174,SEA_PHRAPPUCCINO_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767096,175,KHQ87_gp175,SEA_PHRAPPUCCINO_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767097,176,KHQ87_gp176,SEA_PHRAPPUCCINO_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767098,177,KHQ87_gp177,SEA_PHRAPPUCCINO_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767099,178,KHQ87_gp178,SEA_PHRAPPUCCINO_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
