#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2315700,65116116,KNU12_gp002,KNU12_gp002,-,-,-,-,L-shaped tail fiber protein,protein-coding,-,-,-,L-shaped tail fiber protein,20210607,-
2315700,65116152,KNU12_gp038,KNU12_gp038,-,-,-,-,rIII lysis inhibitor accessory protein,protein-coding,-,-,-,rIII lysis inhibitor accessory protein,20210607,-
2315700,65116153,KNU12_gp039,KNU12_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116154,KNU12_gp040,KNU12_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116155,KNU12_gp041,KNU12_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116156,KNU12_gp042,KNU12_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116157,KNU12_gp043,KNU12_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116158,KNU12_gp044,KNU12_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116159,KNU12_gp045,KNU12_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116160,KNU12_gp046,KNU12_gp046,-,-,-,-,DUF3045 domain-containing protein,protein-coding,-,-,-,DUF3045 domain-containing protein,20210609,-
2315700,65116161,KNU12_gp047,KNU12_gp047,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210607,-
2315700,65116162,KNU12_gp048,KNU12_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116163,KNU12_gp049,KNU12_gp049,-,-,-,-,RNA polymerase-ADP-ribosyltransferase Alt,protein-coding,-,-,-,RNA polymerase-ADP-ribosyltransferase Alt,20210607,-
2315700,65116164,KNU12_gp050,KNU12_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2315700,65116165,KNU12_gp051,KNU12_gp051,-,-,-,-,baseplate tail tube initiator,protein-coding,-,-,-,baseplate tail tube initiator,20210607,-
2315700,65116166,KNU12_gp052,KNU12_gp052,-,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20210607,-
2315700,65116167,KNU12_gp053,KNU12_gp053,-,-,-,-,baseplate hub,protein-coding,-,-,-,baseplate hub,20210607,-
2315700,65116168,KNU12_gp054,KNU12_gp054,-,-,-,-,baseplate hub,protein-coding,-,-,-,baseplate hub,20210607,-
2315700,65116169,KNU12_gp055,KNU12_gp055,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210607,-
2315700,65116170,KNU12_gp056,KNU12_gp056,-,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20210607,-
2315700,65116171,KNU12_gp057,KNU12_gp057,-,-,-,-,baseplate hub assembly chaperone,protein-coding,-,-,-,baseplate hub assembly chaperone,20210607,-
2315700,65116172,KNU12_gp058,KNU12_gp058,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210609,-
2315700,65116173,KNU12_gp059,KNU12_gp059,-,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20210607,-
2315700,65116174,KNU12_gp060,KNU12_gp060,-,-,-,-,DUF2685 domain-containing protein,protein-coding,-,-,-,DUF2685 domain-containing protein,20210609,-
2315700,65116175,KNU12_gp061,KNU12_gp061,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2315700,65116176,KNU12_gp062,KNU12_gp062,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2315700,65116177,KNU12_gp063,KNU12_gp063,-,-,-,-,inhibitor of prohead protease,protein-coding,-,-,-,inhibitor of prohead protease,20210607,-
2315700,65116178,KNU12_gp064,KNU12_gp064,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210607,-
2315700,65116179,KNU12_gp065,KNU12_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116180,KNU12_gp066,KNU12_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116181,KNU12_gp067,KNU12_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116182,KNU12_gp068,KNU12_gp068,-,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210607,-
2315700,65116183,KNU12_gp069,KNU12_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116184,KNU12_gp070,KNU12_gp070,-,-,-,-,capsid vertex,protein-coding,-,-,-,capsid vertex,20210607,-
2315700,65116185,KNU12_gp071,KNU12_gp071,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210609,-
2315700,65116186,KNU12_gp072,KNU12_gp072,-,-,-,-,prohead assembly (scaffolding) protein,protein-coding,-,-,-,prohead assembly (scaffolding) protein,20210607,-
2315700,65116187,KNU12_gp073,KNU12_gp073,-,-,-,-,prohead assembly (scaffolding) protein,protein-coding,-,-,-,prohead assembly (scaffolding) protein,20210607,-
2315700,65116188,KNU12_gp074,KNU12_gp074,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210607,-
2315700,65116189,KNU12_gp075,KNU12_gp075,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210607,-
2315700,65116190,KNU12_gp076,KNU12_gp076,-,-,-,-,portal vertex of the head,protein-coding,-,-,-,portal vertex of the head,20210607,-
2315700,65116191,KNU12_gp077,KNU12_gp077,-,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20210607,-
2315700,65116192,KNU12_gp078,KNU12_gp078,-,-,-,-,tail sheath monomer,protein-coding,-,-,-,tail sheath monomer,20210607,-
2315700,65116193,KNU12_gp079,KNU12_gp079,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2315700,65116194,KNU12_gp080,KNU12_gp080,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
2315700,65116195,KNU12_gp081,KNU12_gp081,-,-,-,-,proximal tail sheath stabilization protein,protein-coding,-,-,-,proximal tail sheath stabilization protein,20210607,-
2315700,65116196,KNU12_gp082,KNU12_gp082,-,-,-,-,"head completion, neck hetero-dimeric protein",protein-coding,-,-,-,"head completion, neck hetero-dimeric protein",20210607,-
2315700,65116197,KNU12_gp083,KNU12_gp083,-,-,-,-,"head completion, neck hetero-dimeric protein",protein-coding,-,-,-,"head completion, neck hetero-dimeric protein",20210607,-
2315700,65116198,KNU12_gp084,KNU12_gp084,-,-,-,-,neck whiskers protein,protein-coding,-,-,-,neck whiskers protein,20210607,-
2315700,65116199,KNU12_gp085,KNU12_gp085,-,-,-,-,straight tail fiber,protein-coding,-,-,-,straight tail fiber,20210607,-
2315700,65116200,KNU12_gp086,KNU12_gp086,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210607,-
2315700,65116201,KNU12_gp087,KNU12_gp087,-,-,-,-,baseplate wedge,protein-coding,-,-,-,baseplate wedge,20210607,-
2315700,65116202,KNU12_gp088,KNU12_gp088,-,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20210607,-
2315700,65116203,KNU12_gp089,KNU12_gp089,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2315700,65116204,KNU12_gp090,KNU12_gp090,-,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20210607,-
2315700,65116205,KNU12_gp091,KNU12_gp091,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2315700,65116206,KNU12_gp092,KNU12_gp092,-,-,-,-,phospholipase,protein-coding,-,-,-,phospholipase,20210609,-
2315700,65116207,KNU12_gp093,KNU12_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116208,KNU12_gp094,KNU12_gp094,-,-,-,-,baseplate hub - tail lysozyme,protein-coding,-,-,-,baseplate hub - tail lysozyme,20210607,-
2315700,65116209,KNU12_gp095,KNU12_gp095,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2315700,65116210,KNU12_gp096,KNU12_gp096,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210607,-
2315700,65116211,KNU12_gp097,KNU12_gp097,-,-,-,-,DNA end protector during packaging,protein-coding,-,-,-,DNA end protector during packaging,20210607,-
2315700,65116212,KNU12_gp098,KNU12_gp098,-,-,-,-,tail completion protein,protein-coding,-,-,-,tail completion protein,20210607,-
2315700,65116213,KNU12_gp099,KNU12_gp099,-,-,-,-,deoxynucleotide monophosphate kinase,protein-coding,-,-,-,deoxynucleotide monophosphate kinase,20210607,-
2315700,65116214,KNU12_gp100,KNU12_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116215,KNU12_gp101,KNU12_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116216,KNU12_gp102,KNU12_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116217,KNU12_gp103,KNU12_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116218,KNU12_gp104,KNU12_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116219,KNU12_gp105,KNU12_gp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116220,KNU12_gp106,KNU12_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116221,KNU12_gp107,KNU12_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116222,KNU12_gp108,KNU12_gp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116223,KNU12_gp109,KNU12_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116224,KNU12_gp110,KNU12_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116225,KNU12_gp111,KNU12_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116226,KNU12_gp112,KNU12_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116227,KNU12_gp113,KNU12_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116228,KNU12_gp114,KNU12_gp114,-,-,-,-,nudix hydrolase,protein-coding,-,-,-,nudix hydrolase,20210607,-
2315700,65116229,KNU12_gp115,KNU12_gp115,-,-,-,-,baseplate hub - tail lysozyme,protein-coding,-,-,-,baseplate hub - tail lysozyme,20210607,-
2315700,65116230,KNU12_gp116,KNU12_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116231,KNU12_gp117,KNU12_gp117,-,-,-,-,internal head protein,protein-coding,-,-,-,internal head protein,20210607,-
2315700,65116232,KNU12_gp118,KNU12_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116233,KNU12_gp119,KNU12_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116234,KNU12_gp120,KNU12_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116235,KNU12_gp121,KNU12_gp121,-,-,-,-,pyruvate formate-lyase,protein-coding,-,-,-,pyruvate formate-lyase,20210607,-
2315700,65116236,KNU12_gp122,KNU12_gp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116237,KNU12_gp123,KNU12_gp123,-,-,-,-,endoribonuclease,protein-coding,-,-,-,endoribonuclease,20210607,-
2315700,65116238,KNU12_gp124,KNU12_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116239,KNU12_gp125,KNU12_gp125,-,-,-,-,valyl-tRNA synthetase modifier,protein-coding,-,-,-,valyl-tRNA synthetase modifier,20210607,-
2315700,65116240,KNU12_gp126,KNU12_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116241,KNU12_gp127,KNU12_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116242,KNU12_gp128,KNU12_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116243,KNU12_gp129,KNU12_gp129,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20210609,-
2315700,65116244,KNU12_gp130,KNU12_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116245,KNU12_gp131,KNU12_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116246,KNU12_gp132,KNU12_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116247,KNU12_gp133,KNU12_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116248,KNU12_gp134,KNU12_gp134,-,-,-,-,lysis inhibition regulator membrane protein,protein-coding,-,-,-,lysis inhibition regulator membrane protein,20210607,-
2315700,65116249,KNU12_gp135,KNU12_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2315700,65116250,KNU12_gp136,KNU12_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116251,KNU12_gp137,KNU12_gp137,-,-,-,-,putative zinc-finger containing protein,protein-coding,-,-,-,putative zinc-finger containing protein,20210609,-
2315700,65116252,KNU12_gp138,KNU12_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116253,KNU12_gp139,KNU12_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116254,KNU12_gp140,KNU12_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116255,KNU12_gp141,KNU12_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116256,KNU12_gp142,KNU12_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116257,KNU12_gp143,KNU12_gp143,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2315700,65116258,KNU12_gp144,KNU12_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116259,KNU12_gp145,KNU12_gp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116260,KNU12_gp146,KNU12_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116261,KNU12_gp147,KNU12_gp147,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2315700,65116262,KNU12_gp148,KNU12_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116263,KNU12_gp149,KNU12_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116264,KNU12_gp150,KNU12_gp150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116265,KNU12_gp151,KNU12_gp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116266,KNU12_gp152,KNU12_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116267,KNU12_gp153,KNU12_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116268,KNU12_gp154,KNU12_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116269,KNU12_gp155,KNU12_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116270,KNU12_gp156,KNU12_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116271,KNU12_gp157,KNU12_gp157,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2315700,65116272,KNU12_gp158,KNU12_gp158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116273,KNU12_gp159,KNU12_gp159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116274,KNU12_gp160,KNU12_gp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116275,KNU12_gp161,KNU12_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116276,KNU12_gp162,KNU12_gp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116277,KNU12_gp163,KNU12_gp163,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2315700,65116278,KNU12_gp164,KNU12_gp164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116279,KNU12_gp165,KNU12_gp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116280,KNU12_gp166,KNU12_gp166,-,-,-,-,nucleotide reductase subunit C,protein-coding,-,-,-,nucleotide reductase subunit C,20210607,-
2315700,65116281,KNU12_gp167,KNU12_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116282,KNU12_gp168,KNU12_gp168,-,-,-,-,protease inhibitor,protein-coding,-,-,-,protease inhibitor,20210607,-
2315700,65116283,KNU12_gp169,KNU12_gp169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116284,KNU12_gp170,KNU12_gp170,-,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210609,-
2315700,65116285,KNU12_gp171,KNU12_gp171,-,-,-,-,"ribonucleotide reductase of class III (anaerobic), large subunit",protein-coding,-,-,-,"ribonucleotide reductase of class III (anaerobic), large subunit",20210607,-
2315700,65116286,KNU12_gp172,KNU12_gp172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116287,KNU12_gp173,KNU12_gp173,-,-,-,-,"ribonucleotide reductase of class III (anaerobic), activating protein",protein-coding,-,-,-,"ribonucleotide reductase of class III (anaerobic), activating protein",20210607,-
2315700,65116288,KNU12_gp174,KNU12_gp174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116289,KNU12_gp175,KNU12_gp175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116290,KNU12_gp176,KNU12_gp176,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210607,-
2315700,65116291,KNU12_gp177,KNU12_gp177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116292,KNU12_gp178,KNU12_gp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116293,KNU12_gp179,KNU12_gp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116294,KNU12_gp180,KNU12_gp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116295,KNU12_gp181,KNU12_gp181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116296,KNU12_gp182,KNU12_gp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116297,KNU12_gp183,KNU12_gp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116298,KNU12_gp184,KNU12_gp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116299,KNU12_gp185,KNU12_gp185,-,-,-,-,RNA polymerase sigma factor for late transcription,protein-coding,-,-,-,RNA polymerase sigma factor for late transcription,20210607,-
2315700,65116300,KNU12_gp186,KNU12_gp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116301,KNU12_gp187,KNU12_gp187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116302,KNU12_gp188,KNU12_gp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116303,KNU12_gp189,KNU12_gp189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116304,KNU12_gp190,KNU12_gp190,-,-,-,-,alpha glucosyl transferase,protein-coding,-,-,-,alpha glucosyl transferase,20210607,-
2315700,65116305,KNU12_gp191,KNU12_gp191,-,-,-,-,recombination-related endonuclease,protein-coding,-,-,-,recombination-related endonuclease,20210607,-
2315700,65116306,KNU12_gp192,KNU12_gp192,-,-,-,-,recombination-related endonuclease,protein-coding,-,-,-,recombination-related endonuclease,20210607,-
