#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2126954,60332454,2,I5H75_gp002,SEA_OWLST2W_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2126954,60332525,50,I5H75_gp050,SEA_OWLST2W_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332526,51,I5H75_gp051,SEA_OWLST2W_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332527,52,I5H75_gp052,SEA_OWLST2W_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332528,53,I5H75_gp053,SEA_OWLST2W_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332529,54,I5H75_gp054,SEA_OWLST2W_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332530,55,I5H75_gp055,SEA_OWLST2W_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332531,56,I5H75_gp056,SEA_OWLST2W_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2126954,60332532,57,I5H75_gp057,SEA_OWLST2W_57,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2126954,60332533,58,I5H75_gp058,SEA_OWLST2W_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2126954,60332534,59,I5H75_gp059,SEA_OWLST2W_59,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2126954,60332535,60,I5H75_gp060,SEA_OWLST2W_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2126954,60332536,61,I5H75_gp061,SEA_OWLST2W_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332537,62,I5H75_gp062,SEA_OWLST2W_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332538,63,I5H75_gp063,SEA_OWLST2W_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2126954,60332539,64,I5H75_gp064,SEA_OWLST2W_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2126954,60332540,65,I5H75_gp065,SEA_OWLST2W_65,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2126954,60332541,18,I5H75_gp018,SEA_OWLST2W_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2126954,60332542,19,I5H75_gp019,SEA_OWLST2W_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2126954,60332543,20,I5H75_gp020,SEA_OWLST2W_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2126954,60332544,21,I5H75_gp021,SEA_OWLST2W_21,-,-,-,D-ala-D-ala carboxypeptidase,protein-coding,-,-,-,D-ala-D-ala carboxypeptidase,20210424,-
2126954,60332545,22,I5H75_gp022,SEA_OWLST2W_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2126954,60332546,23,I5H75_gp023,SEA_OWLST2W_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2126954,60332547,24,I5H75_gp024,SEA_OWLST2W_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332548,25,I5H75_gp025,SEA_OWLST2W_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2126954,60332549,26,I5H75_gp026,SEA_OWLST2W_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2126954,60332550,27,I5H75_gp027,SEA_OWLST2W_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332551,28,I5H75_gp028,SEA_OWLST2W_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332552,29,I5H75_gp029,SEA_OWLST2W_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332553,30,I5H75_gp030,SEA_OWLST2W_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332554,31,I5H75_gp031,SEA_OWLST2W_31,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2126954,60332555,32,I5H75_gp032,SEA_OWLST2W_32,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2126954,60332556,1,I5H75_gp001,SEA_OWLST2W_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
2126954,60338657,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
