#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1089127,26635030,2,AVV54_gp002,KIKIPOO_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210123,-
1089127,26635054,26,AVV54_gp026,KIKIPOO_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635055,27,AVV54_gp027,KIKIPOO_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635056,28,AVV54_gp028,KIKIPOO_28,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1089127,26635057,29,AVV54_gp029,KIKIPOO_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1089127,26635058,30,AVV54_gp030,KIKIPOO_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635059,31,AVV54_gp031,KIKIPOO_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1089127,26635060,32,AVV54_gp032,KIKIPOO_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1089127,26635061,33,AVV54_gp033,KIKIPOO_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1089127,26635062,34,AVV54_gp034,KIKIPOO_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635063,35,AVV54_gp035,KIKIPOO_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635064,36,AVV54_gp036,KIKIPOO_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635065,37,AVV54_gp037,KIKIPOO_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635066,38,AVV54_gp038,KIKIPOO_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635067,39,AVV54_gp039,KIKIPOO_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635068,40,AVV54_gp040,KIKIPOO_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635069,41,AVV54_gp041,KIKIPOO_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635070,42,AVV54_gp042,KIKIPOO_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635071,43,AVV54_gp043,KIKIPOO_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635072,44,AVV54_gp044,KIKIPOO_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635073,45,AVV54_gp045,KIKIPOO_45,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200927,-
1089127,26635074,46,AVV54_gp046,KIKIPOO_46,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200927,-
1089127,26635075,47,AVV54_gp047,KIKIPOO_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635076,48,AVV54_gp048,KIKIPOO_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635077,49,AVV54_gp049,KIKIPOO_49,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
1089127,26635078,50,AVV54_gp050,KIKIPOO_50,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1089127,26635079,51,AVV54_gp051,KIKIPOO_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635080,52,AVV54_gp052,KIKIPOO_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635081,53,AVV54_gp053,KIKIPOO_53,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200927,-
1089127,26635082,54,AVV54_gp054,KIKIPOO_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635083,55,AVV54_gp055,KIKIPOO_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635084,56,AVV54_gp056,KIKIPOO_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635085,57,AVV54_gp057,KIKIPOO_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635086,58,AVV54_gp058,KIKIPOO_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635087,59,AVV54_gp059,KIKIPOO_59,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210212,-
1089127,26635088,60,AVV54_gp060,KIKIPOO_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635089,61,AVV54_gp061,KIKIPOO_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635090,62,AVV54_gp062,KIKIPOO_62,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200927,-
1089127,26635091,63,AVV54_gp063,KIKIPOO_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635092,64,AVV54_gp064,KIKIPOO_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635093,65,AVV54_gp065,KIKIPOO_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635094,66,AVV54_gp066,KIKIPOO_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635095,67,AVV54_gp067,KIKIPOO_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635096,68,AVV54_gp068,KIKIPOO_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635097,69,AVV54_gp069,KIKIPOO_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635098,70,AVV54_gp070,KIKIPOO_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635099,71,AVV54_gp071,KIKIPOO_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635100,72,AVV54_gp072,KIKIPOO_72,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200927,-
1089127,26635101,73,AVV54_gp073,KIKIPOO_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635102,74,AVV54_gp074,KIKIPOO_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635103,75,AVV54_gp075,KIKIPOO_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1089127,26635104,76,AVV54_gp076,KIKIPOO_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635105,77,AVV54_gp077,KIKIPOO_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635106,78,AVV54_gp078,KIKIPOO_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635107,79,AVV54_gp079,KIKIPOO_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635108,80,AVV54_gp080,KIKIPOO_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635109,81,AVV54_gp081,KIKIPOO_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635110,82,AVV54_gp082,KIKIPOO_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635111,83,AVV54_gp083,KIKIPOO_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635112,84,AVV54_gp084,KIKIPOO_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635113,85,AVV54_gp085,KIKIPOO_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635114,86,AVV54_gp086,KIKIPOO_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635115,87,AVV54_gp087,KIKIPOO_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635116,88,AVV54_gp088,KIKIPOO_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635117,89,AVV54_gp089,KIKIPOO_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635118,90,AVV54_gp090,KIKIPOO_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635119,91,AVV54_gp091,KIKIPOO_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635120,92,AVV54_gp092,KIKIPOO_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635121,93,AVV54_gp093,KIKIPOO_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635122,94,AVV54_gp094,KIKIPOO_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635123,95,AVV54_gp095,KIKIPOO_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635124,96,AVV54_gp096,KIKIPOO_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635125,97,AVV54_gp097,KIKIPOO_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635126,98,AVV54_gp098,KIKIPOO_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635127,99,AVV54_gp099,KIKIPOO_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635128,100,AVV54_gp100,KIKIPOO_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635129,101,AVV54_gp101,KIKIPOO_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635130,102,AVV54_gp102,KIKIPOO_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635131,103,AVV54_gp103,KIKIPOO_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635132,104,AVV54_gp104,KIKIPOO_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635133,1,AVV54_gp001,KIKIPOO_1,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20210123,-
1089127,26680539,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Kikipoo).,other,-,-,-,-,20200513,-
