#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1636724,55803680,HYO81_gp02,HYO81_gp02,PhiA16_02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
1636724,55803703,HYO81_gp25,HYO81_gp25,PhiA16_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636724,55803704,HYO81_gp26,HYO81_gp26,PhiA16_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636724,55803705,HYO81_gp27,HYO81_gp27,PhiA16_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636724,55803706,HYO81_gp28,HYO81_gp28,PhiA16_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636724,55803707,HYO81_gp29,HYO81_gp29,PhiA16_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1636724,55803708,HYO81_gp30,HYO81_gp30,PhiA16_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636724,55803709,HYO81_gp31,HYO81_gp31,PhiA16_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636724,55803710,HYO81_gp32,HYO81_gp32,PhiA16_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636724,55803711,HYO81_gp33,HYO81_gp33,PhiA16_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636724,55803712,HYO81_gp34,HYO81_gp34,PhiA16_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636724,55803713,HYO81_gp35,HYO81_gp35,PhiA16_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636724,55803714,HYO81_gp36,HYO81_gp36,PhiA16_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636724,55803715,HYO81_gp37,HYO81_gp37,PhiA16_37,-,-,-,SSB protein,protein-coding,-,-,-,SSB protein,20210417,-
1636724,55803716,HYO81_gp38,HYO81_gp38,PhiA16_38,-,-,-,SAK protein,protein-coding,-,-,-,SAK protein,20210417,-
1636724,55803717,HYO81_gp39,HYO81_gp39,PhiA16_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636724,55803718,HYO81_gp40,HYO81_gp40,PhiA16_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636724,55803719,HYO81_gp41,HYO81_gp41,PhiA16_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636724,55803720,HYO81_gp42,HYO81_gp42,PhiA16_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636724,55803721,HYO81_gp43,HYO81_gp43,PhiA16_43,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210417,-
1636724,55803722,HYO81_gp44,HYO81_gp44,PhiA16_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636724,55803723,HYO81_gp45,HYO81_gp45,PhiA16_45,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
1636724,55803724,HYO81_gp46,HYO81_gp46,PhiA16_46,-,-,-,middle expressed protein 1,protein-coding,-,-,-,middle expressed protein 1,20200704,-
1636724,55803725,HYO81_gp47,HYO81_gp47,PhiA16_47,-,-,-,middle expressed protein 2,protein-coding,-,-,-,middle expressed protein 2,20200704,-
1636724,55803726,HYO81_gp48,HYO81_gp48,PhiA16_48,-,-,-,holiday junction endonuclease,protein-coding,-,-,-,holiday junction endonuclease,20210417,-
1636724,55803727,HYO81_gp49,HYO81_gp49,PhiA16_49,-,-,-,middle expressed protein 4,protein-coding,-,-,-,middle expressed protein 4,20200704,-
1636724,55803728,HYO81_gp01,HYO81_gp01,PhiA16_01,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210417,-
1636724,55863393,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200706,-
