#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1340713,16547322,2,N857_gp002,PBI_WANDA_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1340713,16547412,92,N857_gp092,PBI_WANDA_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547413,93,N857_gp093,PBI_WANDA_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547414,94,N857_gp094,PBI_WANDA_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547415,95,N857_gp095,PBI_WANDA_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547416,96,N857_gp096,PBI_WANDA_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547417,97,N857_gp097,PBI_WANDA_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547418,98,N857_gp098,PBI_WANDA_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547419,99,N857_gp099,PBI_WANDA_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547420,100,N857_gp100,PBI_WANDA_100,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200927,-
1340713,16547421,101,N857_gp101,PBI_WANDA_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547422,102,N857_gp102,PBI_WANDA_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547423,103,N857_gp103,PBI_WANDA_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547424,104,N857_gp104,PBI_WANDA_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547425,105,N857_gp105,PBI_WANDA_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547426,106,N857_gp106,PBI_WANDA_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547427,107,N857_gp107,PBI_WANDA_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547428,108,N857_gp108,PBI_WANDA_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547429,109,N857_gp109,PBI_WANDA_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547430,110,N857_gp110,PBI_WANDA_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547431,111,N857_gp111,PBI_WANDA_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547432,112,N857_gp112,PBI_WANDA_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547433,113,N857_gp113,PBI_WANDA_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547434,114,N857_gp114,PBI_WANDA_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547435,115,N857_gp115,PBI_WANDA_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547436,116,N857_gp116,PBI_WANDA_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547437,117,N857_gp117,PBI_WANDA_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547438,118,N857_gp118,PBI_WANDA_118,-,-,-,RecB-like exonuclease,protein-coding,-,-,-,RecB-like exonuclease,20200927,-
1340713,16547439,119,N857_gp119,PBI_WANDA_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547440,120,N857_gp120,PBI_WANDA_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547441,121,N857_gp121,PBI_WANDA_121,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200927,-
1340713,16547442,122,N857_gp122,PBI_WANDA_122,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1340713,16547443,123,N857_gp123,PBI_WANDA_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547444,124,N857_gp124,PBI_WANDA_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547445,125,N857_gp125,PBI_WANDA_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547446,126,N857_gp126,PBI_WANDA_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547447,127,N857_gp127,PBI_WANDA_127,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20200927,-
1340713,16547448,128,N857_gp128,PBI_WANDA_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547449,129,N857_gp129,PBI_WANDA_129,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210406,-
1340713,16547450,130,N857_gp130,PBI_WANDA_130,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210406,-
1340713,16547451,131,N857_gp131,PBI_WANDA_131,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210406,-
1340713,16547452,132,N857_gp132,PBI_WANDA_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547453,133,N857_gp133,PBI_WANDA_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547454,134,N857_gp134,PBI_WANDA_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547455,135,N857_gp135,PBI_WANDA_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547456,136,N857_gp136,PBI_WANDA_136,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210529,-
1340713,16547457,137,N857_gp137,PBI_WANDA_137,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210529,-
1340713,16547458,138,N857_gp138,PBI_WANDA_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547459,139,N857_gp139,PBI_WANDA_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547460,140,N857_gp140,PBI_WANDA_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547461,141,N857_gp141,PBI_WANDA_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547462,142,N857_gp142,PBI_WANDA_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1340713,16547463,143,N857_gp143,PBI_WANDA_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547464,144,N857_gp144,PBI_WANDA_144,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1340713,16547465,145,N857_gp145,PBI_WANDA_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547466,146,N857_gp146,PBI_WANDA_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547467,147,N857_gp147,PBI_WANDA_147,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1340713,16547468,148,N857_gp148,PBI_WANDA_148,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1340713,16547469,149,N857_gp149,PBI_WANDA_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547470,150,N857_gp150,PBI_WANDA_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547471,151,N857_gp151,PBI_WANDA_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547472,152,N857_gp152,PBI_WANDA_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547473,153,N857_gp153,PBI_WANDA_153,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1340713,16547474,154,N857_gp154,PBI_WANDA_154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547475,155,N857_gp155,PBI_WANDA_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547476,156,N857_gp156,PBI_WANDA_156,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20200927,-
1340713,16547477,157,N857_gp157,PBI_WANDA_157,-,-,-,ClpP-like protease,protein-coding,-,-,-,ClpP-like protease,20201026,-
1340713,16547478,158,N857_gp158,PBI_WANDA_158,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20200927,-
1340713,16547479,159,N857_gp159,PBI_WANDA_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547480,160,N857_gp160,PBI_WANDA_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547481,161,N857_gp161,PBI_WANDA_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547482,162,N857_gp162,PBI_WANDA_162,-,-,-,nucleotide pyrophosphohydrolase,protein-coding,-,-,-,nucleotide pyrophosphohydrolase,20210529,-
1340713,16547483,163,N857_gp163,PBI_WANDA_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1340713,16547484,164,N857_gp164,PBI_WANDA_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547485,165,N857_gp165,PBI_WANDA_165,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1340713,16547486,166,N857_gp166,PBI_WANDA_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547487,167,N857_gp167,PBI_WANDA_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547488,168,N857_gp168,PBI_WANDA_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547489,169,N857_gp169,PBI_WANDA_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547490,170,N857_gp170,PBI_WANDA_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547491,171,N857_gp171,PBI_WANDA_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547492,172,N857_gp172,PBI_WANDA_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547493,173,N857_gp173,PBI_WANDA_173,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20200927,-
1340713,16547494,174,N857_gp174,PBI_WANDA_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547495,175,N857_gp175,PBI_WANDA_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547496,176,N857_gp176,PBI_WANDA_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547497,177,N857_gp177,PBI_WANDA_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547498,178,N857_gp178,PBI_WANDA_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547499,179,N857_gp179,PBI_WANDA_179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547500,180,N857_gp180,PBI_WANDA_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547501,181,N857_gt001,PBI_WANDA_181,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1340713,16547502,1,N857_gp001,PBI_WANDA_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1340713,16691733,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Wanda).,other,-,-,-,-,20200513,-
1340713,19813960,182,N857_gp240,PBI_WANDA_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813961,183,N857_gp239,PBI_WANDA_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813962,184,N857_gp238,PBI_WANDA_184,-,-,-,histidine triad nucleotide binding protein,protein-coding,-,-,-,histidine triad nucleotide binding protein,20200927,-
1340713,19813963,185,N857_gp237,PBI_WANDA_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813964,186,N857_gp236,PBI_WANDA_186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813965,187,N857_gp235,PBI_WANDA_187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813966,188,N857_gp234,PBI_WANDA_188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813967,189,N857_gp233,PBI_WANDA_189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813968,190,N857_gp232,PBI_WANDA_190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813969,191,N857_gp231,PBI_WANDA_191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813970,192,N857_gp230,PBI_WANDA_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813971,193,N857_gp229,PBI_WANDA_193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1340713,19813972,194,N857_gp228,PBI_WANDA_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813973,195,N857_gp227,PBI_WANDA_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813974,196,N857_gp226,PBI_WANDA_196,-,-,-,FtsK-like DNA translocase,protein-coding,-,-,-,FtsK-like DNA translocase,20200927,-
1340713,19813975,197,N857_gp225,PBI_WANDA_197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813976,198,N857_gp224,PBI_WANDA_198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
