#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2675250,55814935,HYQ12_gp02,HYQ12_gp02,CHPC362_000622,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200905,-
2675250,55814950,HYQ12_gp17,HYQ12_gp17,CHPC362_000637,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2675250,55814951,HYQ12_gp18,HYQ12_gp18,CHPC362_000638,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814952,HYQ12_gp19,HYQ12_gp19,CHPC362_000639,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20200905,-
2675250,55814953,HYQ12_gp20,HYQ12_gp20,CHPC362_000640,-,-,-,holin,protein-coding,-,-,-,holin,20200704,-
2675250,55814954,HYQ12_gp21,HYQ12_gp21,CHPC362_000641,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20200905,-
2675250,55814955,HYQ12_gp22,HYQ12_gp22,CHPC362_000642,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814956,HYQ12_gp23,HYQ12_gp23,CHPC362_000643,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814957,HYQ12_gp24,HYQ12_gp24,CHPC362_000644,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814958,HYQ12_gp25,HYQ12_gp25,CHPC362_000645,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2675250,55814959,HYQ12_gp26,HYQ12_gp26,CHPC362_000646,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814960,HYQ12_gp27,HYQ12_gp27,CHPC362_000647,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814961,HYQ12_gp28,HYQ12_gp28,CHPC362_000648,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814962,HYQ12_gp29,HYQ12_gp29,CHPC362_000649,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814963,HYQ12_gp30,HYQ12_gp30,CHPC362_000650,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814964,HYQ12_gp31,HYQ12_gp31,CHPC362_000651,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814965,HYQ12_gp32,HYQ12_gp32,CHPC362_000652,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20200905,-
2675250,55814966,HYQ12_gp33,HYQ12_gp33,CHPC362_000653,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2675250,55814967,HYQ12_gp34,HYQ12_gp34,CHPC362_000654,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814968,HYQ12_gp35,HYQ12_gp35,CHPC362_000655,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814969,HYQ12_gp36,HYQ12_gp36,CHPC362_000656,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814970,HYQ12_gp37,HYQ12_gp37,CHPC362_000657,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2675250,55814971,HYQ12_gp38,HYQ12_gp38,CHPC362_000658,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814972,HYQ12_gp39,HYQ12_gp39,CHPC362_000659,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814973,HYQ12_gp40,HYQ12_gp40,CHPC362_000660,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2675250,55814974,HYQ12_gp41,HYQ12_gp41,CHPC362_000661,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814975,HYQ12_gp42,HYQ12_gp42,CHPC362_000662,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814976,HYQ12_gp43,HYQ12_gp43,CHPC362_000663,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814977,HYQ12_gp44,HYQ12_gp44,CHPC362_000664,-,-,-,holliday junction endonuclease,protein-coding,-,-,-,holliday junction endonuclease,20200905,-
2675250,55814978,HYQ12_gp45,HYQ12_gp45,CHPC362_000665,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814979,HYQ12_gt01,HYQ12_gt01,CHPC362_000666,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2675250,55814980,HYQ12_gp01,HYQ12_gp01,CHPC362_000621,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200905,-
2675250,55863628,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200706,-
