#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
451705,5797400,phiEcoMGJ1_gp50,phiEcoMGJ1_gp50,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201220,-
451705,5797454,phiEcoMGJ1_gp46,phiEcoMGJ1_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797455,phiEcoMGJ1_gp33,phiEcoMGJ1_gp33,-,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20201220,-
451705,5797456,phiEcoMGJ1_gp38,phiEcoMGJ1_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797457,phiEcoMGJ1_gp17,phiEcoMGJ1_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797458,phiEcoMGJ1_gp35,phiEcoMGJ1_gp35,-,-,-,-,helicase/primase,protein-coding,-,-,-,helicase/primase,20201220,-
451705,5797459,phiEcoMGJ1_gp72,phiEcoMGJ1_gp72,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201220,-
451705,5797460,phiEcoMGJ1_gp31,phiEcoMGJ1_gp31,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20201220,-
451705,5797461,phiEcoMGJ1_gp47,phiEcoMGJ1_gp47,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201220,-
451705,5797462,phiEcoMGJ1_gp13,phiEcoMGJ1_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797463,phiEcoMGJ1_gp01,phiEcoMGJ1_gp01,-,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20201220,-
451705,5797464,phiEcoMGJ1_gp42,phiEcoMGJ1_gp42,-,-,-,-,putative DNA ligase,protein-coding,-,-,-,putative DNA ligase,20201220,-
451705,5797465,phiEcoMGJ1_gp05,phiEcoMGJ1_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797466,phiEcoMGJ1_gp69,phiEcoMGJ1_gp69,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20201220,-
451705,5797467,phiEcoMGJ1_gt01,phiEcoMGJ1_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20201220,-
451705,5797468,phiEcoMGJ1_gp56,phiEcoMGJ1_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797469,phiEcoMGJ1_gp27,phiEcoMGJ1_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797470,phiEcoMGJ1_gp44,phiEcoMGJ1_gp44,-,-,-,-,putative deoxyuridine 5'-triphosphate nucleotidylhydrolase,protein-coding,-,-,-,putative deoxyuridine 5'-triphosphate nucleotidylhydrolase,20201220,-
451705,5797471,phiEcoMGJ1_gp58,phiEcoMGJ1_gp58,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20201220,-
451705,5797472,phiEcoMGJ1_gp21,phiEcoMGJ1_gp21,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201220,-
451705,5797473,phiEcoMGJ1_gp29,phiEcoMGJ1_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797474,phiEcoMGJ1_gp70,phiEcoMGJ1_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797475,phiEcoMGJ1_gp26,phiEcoMGJ1_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5814829,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage phiEcoM-GJ1; Enterobacteria phage phiEcoM-GJ1).,other,-,-,-,-,20210609,-
