#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
194949,1481750,ant,Stx2II_p160,-,-,-,-,Ant protein,protein-coding,-,-,-,Ant protein,20210212,-
194949,2653317,Stx2II_p076,Stx2II_p076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653318,Stx2II_p130,Stx2II_p130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653319,Stx2II_p060,Stx2II_p060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653320,Stx2II_p069,Stx2II_p069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653321,Stx2II_p081,Stx2II_p081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653322,Stx2II_p047,Stx2II_p047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653323,Stx2II_p089,Stx2II_p089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653324,Stx2II_p023,Stx2II_p023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653325,Stx2II_p154,Stx2II_p154,-,-,-,-,DUF1378 family protein,protein-coding,-,-,-,DUF1378 family protein,20201220,-
194949,2653326,Stx2II_p155,Stx2II_p155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653327,Stx2II_p083,Stx2II_p083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653328,Stx2II_p078,Stx2II_p078,-,-,-,-,TraR/DksA family transcriptional regulator,protein-coding,-,-,-,TraR/DksA family transcriptional regulator,20201220,-
194949,2653329,Stx2II_p092,Stx2II_p092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653330,Stx2II_p058,Stx2II_p058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653331,Stx2II_p103,Stx2II_p103,-,-,-,-,YqaJ viral recombinase family protein,protein-coding,-,-,-,YqaJ viral recombinase family protein,20210612,-
194949,2653332,Stx2II_p059,Stx2II_p059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653333,Stx2II_p031,Stx2II_p031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653334,Stx2II_p080,Stx2II_p080,-,-,-,-,anti-repressor protein,protein-coding,-,-,-,anti-repressor protein,20210212,-
194949,2653335,Stx2II_p164,Stx2II_p164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653336,Stx2II_p139,Stx2II_p139,-,-,-,-,protein ninH,protein-coding,-,-,-,protein ninH,20201220,-
194949,2653337,Stx2II_p007,Stx2II_p007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653338,Stx2II_p061,Stx2II_p061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653339,Stx2II_p125,Stx2II_p125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653340,Stx2II_p042,Stx2II_p042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653341,Stx2II_p091,Stx2II_p091,-,-,-,-,DUF4014 family protein,protein-coding,-,-,-,DUF4014 family protein,20201220,-
194949,2653342,Stx2II_p001,Stx2II_p001,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201220,-
194949,2653343,Stx2II_p002,Stx2II_p002,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
194949,2653344,Stx2II_p040,Stx2II_p040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653345,Stx2II_p008,Stx2II_p008,-,-,-,-,N4-gp56 family major capsid protein,protein-coding,-,-,-,N4-gp56 family major capsid protein,20210212,-
194949,2653346,Stx2II_p022,Stx2II_p022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653347,Stx2II_p071,Stx2II_p071,-,-,-,-,type I toxin-antitoxin system Hok family toxin,protein-coding,-,-,-,type I toxin-antitoxin system Hok family toxin,20210212,-
194949,2653348,Stx2II_p035,Stx2II_p035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653349,Stx2II_p142,Stx2II_p142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653350,Stx2II_p028,Stx2II_p028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653351,Stx2II_p085,Stx2II_p085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653352,Stx2II_p136,Stx2II_p136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653353,Stx2II_p053,Stx2II_p053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653354,Stx2II_p020,Stx2II_p020,-,-,-,-,tail fiber C-terminal domain-containing protein,protein-coding,-,-,-,tail fiber C-terminal domain-containing protein,20210129,-
194949,2653355,Stx2II_p135,Stx2II_p135,-,-,-,-,antirepressor Ant,protein-coding,-,-,-,antirepressor Ant,20210212,-
194949,2653356,Stx2II_p127,Stx2II_p127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653357,Stx2II_p093,Stx2II_p093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653358,Stx2II_p014,Stx2II_p014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653359,Stx2II_p032,Stx2II_p032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653360,Stx2II_p122,Stx2II_p122,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
194949,2653361,Stx2II_p011,Stx2II_p011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653362,Stx2II_p128,Stx2II_p128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653363,Stx2II_p137,Stx2II_p137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653364,Stx2II_p149,Stx2II_p149,-,-,-,-,IS3 family transposase,protein-coding,-,-,-,IS3 family transposase,20201220,-
194949,2653365,Stx2II_p013,Stx2II_p013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653366,Stx2II_p018,Stx2II_p018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653367,Stx2II_p063,Stx2II_p063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653368,Stx2II_p117,Stx2II_p117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653369,Stx2II_p096,Stx2II_p096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653370,Stx2II_p055,Stx2II_p055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653371,Stx2II_p087,Stx2II_p087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653372,Stx2II_p159,Stx2II_p159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653373,Stx2II_p090,Stx2II_p090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653374,Stx2II_p088,Stx2II_p088,-,-,-,-,DUF551 domain-containing protein,protein-coding,-,-,-,DUF551 domain-containing protein,20210417,-
194949,2653375,Stx2II_p098,Stx2II_p098,-,-,-,-,TraR/DksA family transcriptional regulator,protein-coding,-,-,-,TraR/DksA family transcriptional regulator,20201220,-
194949,2653376,Stx2II_p021,Stx2II_p021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653377,Stx2II_p054,Stx2II_p054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653378,Stx2II_p138,Stx2II_p138,-,-,-,-,recombination protein NinG,protein-coding,-,-,-,recombination protein NinG,20201220,-
194949,2653379,Stx2II_p039,Stx2II_p039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653380,Stx2II_p046,Stx2II_p046,-,-,-,-,bacteriocin,protein-coding,-,-,-,bacteriocin,20201220,-
194949,2653381,Stx2II_p064,Stx2II_p064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653382,Stx2II_p003,Stx2II_p003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653383,Stx2II_p034,Stx2II_p034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653384,Stx2II_p152,Stx2II_p152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653385,Stx2II_p161,Stx2II_p161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653386,Stx2II_p043,Stx2II_p043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653387,Stx2II_p038,Stx2II_p038,-,-,-,-,Ail/Lom family outer membrane beta-barrel protein,protein-coding,-,-,-,Ail/Lom family outer membrane beta-barrel protein,20210212,-
194949,2653388,Stx2II_p050,Stx2II_p050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653389,Stx2II_p010,Stx2II_p010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653390,Stx2II_p041,Stx2II_p041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653391,Stx2II_p129,Stx2II_p129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653392,Stx2II_p045,Stx2II_p045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653393,Stx2II_p025,Stx2II_p025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653394,Stx2II_p108,Stx2II_p108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653395,Stx2II_p145,Stx2II_p145,-,-,-,-,SASA family carbohydrate esterase,protein-coding,-,-,-,SASA family carbohydrate esterase,20201220,-
194949,2653396,Stx2II_p009,Stx2II_p009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653397,Stx2II_p157,Stx2II_p157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653398,Stx2II_p107,Stx2II_p107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653399,Stx2II_p016,Stx2II_p016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653400,Stx2II_p167,Stx2II_p167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653401,Stx2II_p163,Stx2II_p163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653402,Stx2II_p024,Stx2II_p024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653403,Stx2II_p072,Stx2II_p072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653404,Stx2II_p151,Stx2II_p151,-,-,-,-,transposase,protein-coding,-,-,-,transposase,20210212,-
194949,2653405,Stx2II_p052,Stx2II_p052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653406,Stx2II_p168,Stx2II_p168,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201220,-
194949,2653407,Stx2II_p094,Stx2II_p094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653408,Stx2II_p049,Stx2II_p049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653409,Stx2II_p102,Stx2II_p102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653410,Stx2II_p133,Stx2II_p133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653411,Stx2II_p141,Stx2II_p141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653412,Stx2II_p070,Stx2II_p070,-,-,-,-,YgiW/YdeI family stress tolerance OB fold protein,protein-coding,-,-,-,YgiW/YdeI family stress tolerance OB fold protein,20210212,-
194949,2653413,Stx2II_p099,Stx2II_p099,-,-,-,-,cell division protein ZapA,protein-coding,-,-,-,cell division protein ZapA,20201220,-
194949,2653414,Stx2II_p119,Stx2II_p119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653415,Stx2II_p015,Stx2II_p015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653416,Stx2II_p026,Stx2II_p026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653417,Stx2II_p051,Stx2II_p051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653418,Stx2II_p048,Stx2II_p048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653419,Stx2II_p074,Stx2II_p074,-,-,-,-,DUF551 domain-containing protein,protein-coding,-,-,-,DUF551 domain-containing protein,20201220,-
194949,2653420,Stx2II_p027,Stx2II_p027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653421,Stx2II_p079,Stx2II_p079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653422,Stx2II_p105,Stx2II_p105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653423,Stx2II_p065,Stx2II_p065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653424,Stx2II_p062,Stx2II_p062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653425,Stx2II_p148,Stx2II_p148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653426,Stx2II_p017,Stx2II_p017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653427,Stx2II_p131,Stx2II_p131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653428,Stx2II_p057,Stx2II_p057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653429,Stx2II_p169,Stx2II_p169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653430,Stx2II_p066,Stx2II_p066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653431,Stx2II_p012,Stx2II_p012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653432,Stx2II_p132,Stx2II_p132,-,-,-,-,N-6-adenine-methyltransferase,protein-coding,-,-,-,N-6-adenine-methyltransferase,20201220,-
194949,2653433,Stx2II_p029,Stx2II_p029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653434,Stx2II_p101,Stx2II_p101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653435,Stx2II_p134,Stx2II_p134,-,-,-,-,NinE family protein,protein-coding,-,-,-,NinE family protein,20201220,-
194949,2653436,Stx2II_p084,Stx2II_p084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
194949,2653437,Stx2II_p036,Stx2II_p036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653438,Stx2II_p033,Stx2II_p033,-,-,-,-,host specificity protein J,protein-coding,-,-,-,host specificity protein J,20201220,-
194949,2653439,Stx2II_p037,Stx2II_p037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653440,Stx2II_p068,Stx2II_p068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653441,Stx2II_p109,Stx2II_p109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653443,Stx2II_p153,Stx2II_p153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653444,Stx2II_p114,Stx2II_p114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653445,Stx2II_p005,Stx2II_p005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653446,Stx2II_p095,Stx2II_p095,-,-,-,-,ead/Ea22-like family protein,protein-coding,-,-,-,ead/Ea22-like family protein,20201220,-
194949,2653447,Stx2II_p030,Stx2II_p030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653448,Stx2II_p100,Stx2II_p100,-,-,-,-,DUF1382 family protein,protein-coding,-,-,-,DUF1382 family protein,20201220,-
194949,2653449,Stx2II_p044,Stx2II_p044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653450,Stx2II_p147,Stx2II_p147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653451,Stx2II_p097,Stx2II_p097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653452,Stx2II_p019,Stx2II_p019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2830615,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Stx2 converting bacteriophage II; Stx2 converting phage II).,other,-,-,-,-,20200513,-
194949,26066945,Stx2II_p075,Stx2II_p075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,26066946,cI,Stx2II_p121,-,-,-,-,LexA family transcriptional regulator;hypothetical protein,protein-coding,-,-,-,LexA family transcriptional regulator;hypothetical protein,20201220,-
