#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1262538,16384830,N388_gp02,N388_gp02,phi7_002,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20201221,-
1262538,16384848,N388_gp20,N388_gp20,phi7_0020,-,-,-,putative receptor binding protein,protein-coding,-,-,-,putative receptor binding protein,20201221,-
1262538,16384849,N388_gp21,N388_gp21,phi7_0021,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1262538,16384850,N388_gp22,N388_gp22,phi7_0022,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1262538,16384851,N388_gp23,N388_gp23,phi7_0023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384852,N388_gp24,N388_gp24,phi7_0024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384853,N388_gp25,N388_gp25,phi7_0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384854,N388_gp26,N388_gp26,phi7_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384855,N388_gp27,N388_gp27,phi7_0027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384856,N388_gp28,N388_gp28,phi7_0028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384857,N388_gp29,N388_gp29,phi7_0029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384858,N388_gp30,N388_gp30,phi7_0030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384859,N388_gp31,N388_gp31,phi7_0031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384860,N388_gp32,N388_gp32,phi7_0032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384861,N388_gp33,N388_gp33,phi7_0033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384862,N388_gp34,N388_gp34,phi7_0034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384863,N388_gp35,N388_gp35,phi7_0035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384864,N388_gp36,N388_gp36,phi7_0036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384865,N388_gp37,N388_gp37,phi7_0037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384866,N388_gp38,N388_gp38,phi7_0038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384867,N388_gp39,N388_gp39,phi7_0039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384868,N388_gp40,N388_gp40,phi7_0040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384869,N388_gp41,N388_gp41,phi7_0041,-,-,-,putative sak protein,protein-coding,-,-,-,putative sak protein,20201221,-
1262538,16384870,N388_gp42,N388_gp42,phi7_0042,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201221,-
1262538,16384871,N388_gp43,N388_gp43,phi7_0043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384872,N388_gp44,N388_gp44,phi7_0044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384873,N388_gp45,N388_gp45,phi7_0045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384874,N388_gp46,N388_gp46,phi7_0046,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201221,-
1262538,16384875,N388_gp47,N388_gp47,phi7_0047,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201221,-
1262538,16384876,N388_gp48,N388_gp48,phi7_0048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384877,N388_gp49,N388_gp49,phi7_0049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384878,N388_gp50,N388_gp50,phi7_0050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384879,N388_gp51,N388_gp51,phi7_0051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384880,N388_gp52,N388_gp52,phi7_0052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384881,N388_gp53,N388_gp53,phi7_0053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384882,N388_gp54,N388_gp54,phi7_0054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384883,N388_gp55,N388_gp55,phi7_0055,-,-,-,putative holliday junction endonuclease,protein-coding,-,-,-,putative holliday junction endonuclease,20201221,-
1262538,16384884,N388_gp56,N388_gp56,phi7_0056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384885,N388_gp57,N388_gp57,phi7_0057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384886,N388_gp01,N388_gp01,phi7_001,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20201221,-
1262538,16545714,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Lactococcus lactis phage phi7).,other,-,-,-,-,20200513,-
