#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
658401,8207062,terL,PSS2_gp002,-,-,-,-,large terminase subunit,protein-coding,-,-,-,large terminase subunit,20201220,-
658401,8207406,PSS2_gp131,PSS2_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207407,PSS2_gp012,PSS2_gp012,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201220,-
658401,8207408,PSS2_gp119,PSS2_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207409,PSS2_gp129,PSS2_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207410,PSS2_gp130,PSS2_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207411,PSS2_gp112,PSS2_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207412,PSS2_gp121,PSS2_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207413,PSS2_gp115,PSS2_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207414,PSS2_gp103,PSS2_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207415,PSS2_gp090,PSS2_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207416,PSS2_gp117,PSS2_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207417,PSS2_gp004,PSS2_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207418,PSS2_gp109,PSS2_gp109,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201220,-
658401,8207419,PSS2_gp037,PSS2_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207420,PSS2_gp116,PSS2_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207421,PSS2_gp118,PSS2_gp118,-,-,-,-,Cyanothece histidine kinase,protein-coding,-,-,-,Cyanothece histidine kinase,20201220,-
658401,8207422,PSS2_gp006,PSS2_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207423,PSS2_gp008,PSS2_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207424,PSS2_gp013,PSS2_gp013,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201220,-
658401,8207425,PSS2_gp014,PSS2_gp014,-,-,-,-,phage tail protein,protein-coding,-,-,-,phage tail protein,20201220,-
658401,8207426,PSS2_gp015,PSS2_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207427,PSS2_gp016,PSS2_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207428,PSS2_gp017,PSS2_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207429,PSS2_gp018,PSS2_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207430,PSS2_gp019,PSS2_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207431,PSS2_gp020,PSS2_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207432,PSS2_gp021,PSS2_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207433,PSS2_gp022,PSS2_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207434,PSS2_gp023,PSS2_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207435,PSS2_gp024,PSS2_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207436,PSS2_gp025,PSS2_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207437,PSS2_gp026,PSS2_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207438,PSS2_gp027,PSS2_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207439,PSS2_gp028,PSS2_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207440,PSS2_gp029,PSS2_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207441,PSS2_gp030,PSS2_gp030,-,-,-,-,minor head protein,protein-coding,-,-,-,minor head protein,20201220,-
658401,8207442,PSS2_gp031,PSS2_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207443,PSS2_gp032,PSS2_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207444,PSS2_gp033,PSS2_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207445,PSS2_gp034,PSS2_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207446,PSS2_gp035,PSS2_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207447,PSS2_gp038,PSS2_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207448,PSS2_gp039,PSS2_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207449,PSS2_gp040,PSS2_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207450,PSS2_gp041,PSS2_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207451,PSS2_gp042,PSS2_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207452,PSS2_gp043,PSS2_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207453,PSS2_gp044,PSS2_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207454,PSS2_gp045,PSS2_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207455,PSS2_gp046,PSS2_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207456,PSS2_gp047,PSS2_gp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207457,PSS2_gp048,PSS2_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207458,PSS2_gp049,PSS2_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207459,PSS2_gp050,PSS2_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207460,PSS2_gp051,PSS2_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207461,PSS2_gp052,PSS2_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207462,PSS2_gp053,PSS2_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207463,PSS2_gp054,PSS2_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207464,PSS2_gp055,PSS2_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207465,PSS2_gp056,PSS2_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207466,PSS2_gp057,PSS2_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207467,PSS2_gp058,PSS2_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207468,PSS2_gp059,PSS2_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207469,PSS2_gp060,PSS2_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207470,PSS2_gp061,PSS2_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207471,PSS2_gp062,PSS2_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207472,PSS2_gp063,PSS2_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207473,PSS2_gp064,PSS2_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207474,PSS2_gp065,PSS2_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207475,PSS2_gp066,PSS2_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207476,PSS2_gp067,PSS2_gp067,-,-,-,-,fiber protein,protein-coding,-,-,-,fiber protein,20201220,-
658401,8207477,PSS2_gp068,PSS2_gp068,-,-,-,-,fiber Ig/hemolysin,protein-coding,-,-,-,fiber Ig/hemolysin,20201220,-
658401,8207478,PSS2_gp069,PSS2_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207479,PSS2_gp070,PSS2_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207480,PSS2_gp071,PSS2_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207481,PSS2_gp072,PSS2_gp072,-,-,-,-,fiber protein,protein-coding,-,-,-,fiber protein,20201220,-
658401,8207482,PSS2_gp073,PSS2_gp073,-,-,-,-,fiber protein,protein-coding,-,-,-,fiber protein,20201220,-
658401,8207483,PSS2_gp074,PSS2_gp074,-,-,-,-,capsid decoration protein,protein-coding,-,-,-,capsid decoration protein,20201220,-
658401,8207484,PSS2_gp075,PSS2_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207485,PSS2_gp076,PSS2_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207486,PSS2_gp077,PSS2_gp077,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20201220,-
658401,8207487,PSS2_gp078,PSS2_gp078,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20201220,-
658401,8207488,PSS2_gp079,PSS2_gp079,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20201220,-
658401,8207489,PSS2_gp080,PSS2_gp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207490,PSS2_gp081,PSS2_gp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207491,PSS2_gp082,PSS2_gp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207492,PSS2_gp083,PSS2_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207493,PSS2_gp084,PSS2_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207494,PSS2_gp085,PSS2_gp085,-,-,-,-,DNA-directed RNAP,protein-coding,-,-,-,DNA-directed RNAP,20201220,-
658401,8207495,PSS2_gp086,PSS2_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207496,PSS2_gp087,PSS2_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207497,PSS2_gp088,PSS2_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207498,PSS2_gp091,PSS2_gp091,-,-,-,-,host specificity protein J,protein-coding,-,-,-,host specificity protein J,20201220,-
658401,8207499,PSS2_gp092,PSS2_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207500,PSS2_gp093,PSS2_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207501,PSS2_gp094,PSS2_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207502,PSS2_gp095,PSS2_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207503,PSS2_gp096,PSS2_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207504,PSS2_gp097,PSS2_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207505,PSS2_gp098,PSS2_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207506,PSS2_gp099,PSS2_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207507,PSS2_gp100,PSS2_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207508,PSS2_gp101,PSS2_gp101,-,-,-,-,phage integrase,protein-coding,-,-,-,phage integrase,20201220,-
658401,8207509,PSS2_gp104,PSS2_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207510,PSS2_gp105,PSS2_gp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207511,PSS2_gp106,PSS2_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8223563,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Marine cyanobacterial siphovirus PSS2).,other,-,-,-,-,20200513,-
