#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2282196,64468699,KGB36_gp02,KGB36_gp02,Sf11_gp2,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210502,-
2282196,64468765,KGB36_gp38,KGB36_gp38,Sf11_gp67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468766,KGB36_gp37,KGB36_gp37,Sf11_gp68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468767,KGB36_gp36,KGB36_gp36,Sf11_gp69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468768,KGB36_gp35,KGB36_gp35,Sf11_gp70,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210502,-
2282196,64468769,KGB36_gp34,KGB36_gp34,Sf11_gp71,-,-,-,DNA-binding domain-containing protein,protein-coding,-,-,-,DNA-binding domain-containing protein,20210502,-
2282196,64468770,KGB36_gp33,KGB36_gp33,Sf11_gp72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468771,KGB36_gp32,KGB36_gp32,Sf11_gp73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468772,KGB36_gp31,KGB36_gp31,Sf11_gp74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468773,KGB36_gp30,KGB36_gp30,Sf11_gp75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468774,KGB36_gp29,KGB36_gp29,Sf11_gp76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468775,KGB36_gp28,KGB36_gp28,Sf11_gp77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468776,KGB36_gp27,KGB36_gp27,Sf11_gp78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468777,KGB36_gp26,KGB36_gp26,Sf11_gp79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468778,KGB36_gp25,KGB36_gp25,Sf11_gp80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468779,KGB36_gt02,KGB36_gt02,-,-,-,-,tRNA,tRNA,-,-,-,-,20210502,-
2282196,64468780,KGB36_gp80,KGB36_gp80,Sf11_gp25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64470441,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210503,-
