#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
33905,15042125,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Bifidobacterium ruminale; Bifidobacterium thermophilium.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20181022,-
33905,35776398,BTHE_RS03440,BTHE_RS03440,BTHE_tRNA30,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35776432,BTHE_RS03480,BTHE_RS03480,BTHE_tRNA31,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35776579,BTHE_RS03865,BTHE_RS03865,BTHE_tRNA36,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35776609,BTHE_RS03870,BTHE_RS03870,BTHE_tRNA37,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35776744,BTHE_RS05425,BTHE_RS05425,BTHE_tRNA22,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35776790,BTHE_RS04260,BTHE_RS04260,BTHE_tRNA20,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35776853,BTHE_RS04520,BTHE_RS04520,BTHE_tRNA21,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35776944,BTHE_RS06625,BTHE_RS06625,BTHE_tRNA35,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35776974,BTHE_RS06295,BTHE_RS06295,BTHE_tRNA33,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35776998,BTHE_RS05860,BTHE_RS05860,BTHE_tRNA32,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35777078,BTHE_RS06620,BTHE_RS06620,BTHE_tRNA34,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35777125,BTHE_RS06885,BTHE_RS06885,BTHE_tRNA46,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35777151,BTHE_RS06990,BTHE_RS06990,BTHE_tRNA47,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35777188,BTHE_RS06815,BTHE_RS06815,BTHE_tRNA45,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35777250,BTHE_RS07345,BTHE_RS07345,BTHE_tRNA38,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35777274,BTHE_RS07520,BTHE_RS07520,BTHE_tRNA39,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35777298,BTHE_RS07525,BTHE_RS07525,BTHE_tRNA40,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35777299,BTHE_RS07665,BTHE_RS07665,BTHE_tRNA41,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35777349,BTHE_RS08045,BTHE_RS08045,BTHE_tRNA42,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35777393,BTHE_RS08205,BTHE_RS08205,BTHE_tRNA44,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35777408,BTHE_RS08120,BTHE_RS08120,BTHE_tRNA43,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
