#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
204440,951749,ae,McnBVgp048,-,-,-,-,putative alkaline exonuclease,protein-coding,-,-,-,putative alkaline exonuclease,20210417,-
204440,951797,egt,McnBVgp034,-,-,-,-,putative ecdysteroid UDP-glucosyltransferase,protein-coding,-,-,-,putative ecdysteroid UDP-glucosyltransferase,20180815,-
204440,951798,hel2,McnBVgp026,-,-,-,-,putative helicase 2,protein-coding,-,-,-,putative helicase 2,20180815,-
204440,951799,fgf,McnBVgp046,-,-,-,-,putative fibroblast growth factor,protein-coding,-,-,-,putative fibroblast growth factor,20180815,-
204440,951800,bv/odv-c42,McnBVgp084,-,-,-,-,putative BV/ODV-c42-like structural protein,protein-coding,-,-,-,putative BV/ODV-c42-like structural protein,20180815,-
204440,951801,vp1054,McnBVgp131,-,-,-,-,VP1054-like protein,protein-coding,-,-,-,VP1054-like protein|similar to AcMNPV VP1054,20180815,-
204440,951802,pkip,McnBVgp040,-,-,-,-,putative protein kinase-intereacting protein,protein-coding,-,-,-,putative protein kinase-intereacting protein,20210417,-
204440,951803,bro-c,McnBVgp074,-,-,-,-,BRO-C,protein-coding,-,-,-,BRO-C,20180815,-
204440,951804,sod,McnBVgp065,-,-,-,-,putative superoxide dismutase,protein-coding,-,-,-,putative superoxide dismutase,20210417,-
204440,951805,bro-b,McnBVgp058,-,-,-,-,BRO-B,protein-coding,-,-,-,BRO-B,20180815,-
204440,951806,lef1,McnBVgp030,-,-,-,-,DNA replication and late expression factor LEF-1,protein-coding,-,-,-,DNA replication and late expression factor LEF-1,20210417,-
204440,951807,cath,McnBVgp028,-,-,-,-,putative cysteine proteinase,protein-coding,-,-,-,putative cysteine proteinase,20210417,-
204440,951808,bro-a,McnBVgp020,-,-,-,-,BRO-A,protein-coding,-,-,-,BRO-A,20180815,-
204440,951809,ptp2,McnBVgp033,-,-,-,-,putative tyrosine/serine phosphatase,protein-coding,-,-,-,putative tyrosine/serine phosphatase,20210417,-
204440,951810,chit,McnBVgp019,-,-,-,-,putative chitnase,protein-coding,-,-,-,putative chitnase,20180815,-
204440,951811,xe1,McnBVgp014,-,-,-,-,XE-like protein,protein-coding,-,-,-,XE-like protein,20210417,-
204440,951812,vef,McnBVgp088,-,-,-,-,putative viral enhancing factor,protein-coding,-,-,-,putative viral enhancing factor,20210417,-
204440,951813,exon0/ie0,McnBVgp166,-,-,-,-,putative exon-0-like protein,protein-coding,-,-,-,putative exon-0-like protein,20210417,-
204440,951814,gp16,McnBVgp010,-,-,-,-,putative gp16,protein-coding,-,-,-,putative gp16,20180815,-
204440,951815,lef2,McnBVgp013,-,-,-,-,DNA replication and late expression factor LEF-2,protein-coding,-,-,-,DNA replication and late expression factor LEF-2,20180815,-
204440,951816,p6.9,McnBVgp085,-,-,-,-,putative structural and basic protein P6.9,protein-coding,-,-,-,putative structural and basic protein P6.9,20180815,-
204440,951817,vlf1,McnBVgp104,-,-,-,-,putative very late expression factor VLF-1,protein-coding,-,-,-,putative very late expression factor VLF-1,20210417,-
204440,951818,cg30,McnBVgp099,-,-,-,-,putative CG30,protein-coding,-,-,-,putative CG30,20210417,-
204440,951819,vp39,McnBVgp098,-,-,-,-,major capside protein VP39,protein-coding,-,-,-,major capside protein VP39,20210417,-
204440,951820,lef3,McnBVgp111,-,-,-,-,putative DNA replication and late expression factor LEF-3,protein-coding,-,-,-,putative DNA replication and late expression factor LEF-3,20180815,-
204440,951821,ubi,McnBVgp150,-,-,-,-,putative ubiquitin,protein-coding,-,-,-,putative ubiquitin,20210417,-
204440,951822,rr1,McnBVgp167,-,-,-,-,putative ribonucletide reductase large subunit-like protein,protein-coding,-,-,-,putative ribonucletide reductase large subunit-like protein,20180815,-
204440,951823,odv-e66b,McnBVgp142,-,-,-,-,putative structural protein ODV-E66,protein-coding,-,-,-,putative structural protein ODV-E66,20180815,-
204440,951824,p26a,McnBVgp107,-,-,-,-,putative P26,protein-coding,-,-,-,putative P26,20210417,-
204440,951825,p26b,McnBVgp156,-,-,-,-,putative P26,protein-coding,-,-,-,putative P26,20210417,-
204440,951826,me53,McnBVgp007,-,-,-,-,putative ME53,protein-coding,-,-,-,putative ME53,20210417,-
204440,1733533,McnBVgp053,McnBVgp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733534,McnBVgp024,McnBVgp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733535,McnBVgp152,McnBVgp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733536,McnBVgp102,McnBVgp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
204440,1733537,McnBVgp055,McnBVgp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733538,McnBVgp080,McnBVgp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
204440,1733539,McnBVgp009,McnBVgp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733540,McnBVgp161,McnBVgp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733541,McnBVgp041,McnBVgp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733542,McnBVgp031,McnBVgp031,-,-,-,-,38.7K protein,protein-coding,-,-,-,38.7K protein,20210417,-
204440,1733543,McnBVgp155,McnBVgp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733544,McnBVgp116,McnBVgp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733545,McnBVgp091,McnBVgp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733546,McnBVgp090,McnBVgp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733547,McnBVgp023,McnBVgp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
204440,1733548,McnBVgp141,McnBVgp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733549,McnBVgp062,McnBVgp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733550,McnBVgp095,McnBVgp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733551,McnBVgp135,McnBVgp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733552,McnBVgp043,McnBVgp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
204440,1733553,McnBVgp136,McnBVgp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
204440,1733554,McnBVgp002,McnBVgp002,-,-,-,-,putative ORF1629-like protein,protein-coding,-,-,-,putative ORF1629-like protein,20180815,-
204440,1733555,McnBVgp067,McnBVgp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733556,McnBVgp045,McnBVgp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733557,McnBVgp083,McnBVgp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733558,McnBVgp071,McnBVgp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733559,McnBVgp144,McnBVgp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733560,McnBVgp140,McnBVgp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733561,McnBVgp049,McnBVgp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
204440,1733562,McnBVgp038,McnBVgp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733563,McnBVgp106,McnBVgp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733564,McnBVgp129,McnBVgp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733565,McnBVgp110,McnBVgp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
204440,1733566,McnBVgp037,McnBVgp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733567,McnBVgp025,McnBVgp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733568,McnBVgp109,McnBVgp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
204440,1733569,McnBVgp127,McnBVgp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733570,McnBVgp128,McnBVgp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733571,McnBVgp035,McnBVgp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733572,McnBVgp079,McnBVgp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
204440,1733573,McnBVgp082,McnBVgp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733574,McnBVgp087,McnBVgp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733575,McnBVgp017,McnBVgp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733576,McnBVgp115,McnBVgp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201003,-
204440,1733577,McnBVgp029,McnBVgp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733578,McnBVgp068,McnBVgp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733579,McnBVgp118,McnBVgp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733580,McnBVgp018,McnBVgp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733581,McnBVgp069,McnBVgp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733582,McnBVgp101,McnBVgp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733583,McnBVgp016,McnBVgp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733584,McnBVgp012,McnBVgp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733585,McnBVgp146,McnBVgp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
204440,1733586,McnBVgp096,McnBVgp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733587,McnBVgp057,McnBVgp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733588,McnBVgp119,McnBVgp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733589,McnBVgp054,McnBVgp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733590,McnBVgp047,McnBVgp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733591,McnBVgp162,McnBVgp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733592,McnBVgp015,McnBVgp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
204440,1733593,McnBVgp022,McnBVgp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733594,McnBVgp126,McnBVgp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
204440,1733595,McnBVgp130,McnBVgp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
204440,1733596,McnBVgp159,McnBVgp159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733597,McnBVgp066,McnBVgp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733598,McnBVgp114,McnBVgp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733599,McnBVgp060,McnBVgp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733600,McnBVgp050,McnBVgp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733601,McnBVgp133,McnBVgp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733602,McnBVgp059,McnBVgp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733603,McnBVgp005,McnBVgp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733604,McnBVgp094,McnBVgp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733605,McnBVgp151,McnBVgp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733606,McnBVgp064,McnBVgp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733607,McnBVgp039,McnBVgp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733608,McnBVgp072,McnBVgp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733609,McnBVgp051,McnBVgp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733610,McnBVgp063,McnBVgp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733611,McnBVgp078,McnBVgp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733612,McnBVgp036,McnBVgp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733613,McnBVgp056,McnBVgp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733614,McnBVgp134,McnBVgp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733615,McnBVgp149,McnBVgp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733616,McnBVgp070,McnBVgp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733617,McnBVgp165,McnBVgp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733618,McnBVgp145,McnBVgp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733619,McnBVgp021,McnBVgp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733620,McnBVgp044,McnBVgp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,1733621,McnBVgp117,McnBVgp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204440,2830731,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mamestra configurata NPV-B).,other,-,-,-,-,20210531,-
204440,13484640,McnBVgp168,McnBVgp168,-,-,-,-,ORF104,protein-coding,-,-,-,ORF104,20210424,-
