#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1792289,56167139,H3H27_gp02,H3H27_gp02,vBEcoSST28624_02,-,-,-,Xis,protein-coding,-,-,-,Xis,20210417,-
1792289,56167161,H3H27_gp24,H3H27_gp24,vBEcoSST28624_24,-,-,-,antitermination protein N,protein-coding,-,-,-,antitermination protein N,20200728,-
1792289,56167162,H3H27_gp25,H3H27_gp25,vBEcoSST28624_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167163,H3H27_gp26,H3H27_gp26,vBEcoSST28624_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210130,-
1792289,56167164,H3H27_gp27,H3H27_gp27,vBEcoSST28624_27,-,-,-,repressor protein CI,protein-coding,-,-,-,repressor protein CI,20201010,-
1792289,56167165,H3H27_gp28,H3H27_gp28,vBEcoSST28624_28,-,-,-,regulatory protein Cro,protein-coding,-,-,-,regulatory protein Cro,20200728,-
1792289,56167166,H3H27_gp29,H3H27_gp29,vBEcoSST28624_29,-,-,-,regulatory protein CII,protein-coding,-,-,-,regulatory protein CII,20210129,-
1792289,56167167,H3H27_gp30,H3H27_gp30,vBEcoSST28624_30,-,-,-,replication protein O,protein-coding,-,-,-,replication protein O,20200905,-
1792289,56167168,H3H27_gp31,H3H27_gp31,vBEcoSST28624_31,-,-,-,replication protein P,protein-coding,-,-,-,replication protein P,20210406,-
1792289,56167169,H3H27_gp32,H3H27_gp32,vBEcoSST28624_32,-,-,-,Ren protein,protein-coding,-,-,-,Ren protein,20200728,-
1792289,56167170,H3H27_gp33,H3H27_gp33,vBEcoSST28624_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167171,H3H27_gp34,H3H27_gp34,vBEcoSST28624_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167172,H3H27_gp35,H3H27_gp35,vBEcoSST28624_35a,-,-,-,NinB protein,protein-coding,-,-,-,NinB protein,20210417,-
1792289,56167173,H3H27_gp36,H3H27_gp36,vBEcoSST28624_37,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201003,-
1792289,56167174,H3H27_gp37,H3H27_gp37,vBEcoSST28624_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1792289,56167175,H3H27_gp38,H3H27_gp38,vBEcoSST28624_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167176,H3H27_gp39,H3H27_gp39,vBEcoSST28624_40,-,-,-,DNA-binding protein Roi,protein-coding,-,-,-,DNA-binding protein Roi,20210130,-
1792289,56167177,H3H27_gp40,H3H27_gp40,vBEcoSST28624_41,-,-,-,NinG protein,protein-coding,-,-,-,NinG protein,20201003,-
1792289,56167178,H3H27_gp41,H3H27_gp41,vBEcoSST28624_42,-,-,-,NinH protein,protein-coding,-,-,-,NinH protein,20201003,-
1792289,56167179,H3H27_gp42,H3H27_gp42,vBEcoSST28624_43,-,-,-,antitermination protein Q,protein-coding,-,-,-,antitermination protein Q,20210212,-
1792289,56167180,H3H27_gp43,H3H27_gp43,vBEcoSST28624_44,-,-,-,DNA modification methylase,protein-coding,-,-,-,DNA modification methylase,20210129,-
1792289,56167181,H3H27_gt01,H3H27_gt01,vBEcoSST28624_r001,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1792289,56167182,H3H27_gt02,H3H27_gt02,vBEcoSST28624_r002,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1792289,56167183,H3H27_gt03,H3H27_gt03,vBEcoSST28624_r003,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1792289,56167184,H3H27_gp87,H3H27_gp87,vBEcoSST28624_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1792289,56167185,H3H27_gp86,H3H27_gp86,vBEcoSST28624_46,-,-,-,chloramphenicol acetyltransferase,protein-coding,-,-,-,chloramphenicol acetyltransferase,20201010,-
1792289,56167186,H3H27_gp85,H3H27_gp85,vBEcoSST28624_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1792289,56167187,H3H27_gp84,H3H27_gp84,vBEcoSST28624_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167188,H3H27_gp83,H3H27_gp83,vBEcoSST28624_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167189,H3H27_gp82,H3H27_gp82,vBEcoSST28624_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167190,H3H27_gp81,H3H27_gp81,vBEcoSST28624_51,-,-,-,lysis protein S,protein-coding,-,-,-,lysis protein S,20210212,-
1792289,56167191,H3H27_gp80,H3H27_gp80,vBEcoSST28624_52,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201010,-
1792289,56167192,H3H27_gp79,H3H27_gp79,vBEcoSST28624_53,-,-,-,antirepressor protein Ant,protein-coding,-,-,-,antirepressor protein Ant,20210417,-
1792289,56167193,H3H27_gp78,H3H27_gp78,vBEcoSST28624_54,-,-,-,endopeptidase,protein-coding,-,-,-,endopeptidase,20210417,-
1792289,56167194,H3H27_gp77,H3H27_gp77,vBEcoSST28624_55,-,-,-,lipoprotein Bor,protein-coding,-,-,-,lipoprotein Bor,20210212,-
1792289,56167195,H3H27_gp76,H3H27_gp76,vBEcoSST28624_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167196,H3H27_gp75,H3H27_gp75,vBEcoSST28624_57,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200728,-
1792289,56167197,H3H27_gp74,H3H27_gp74,vBEcoSST28624_58,-,-,-,large subunit terminase,protein-coding,-,-,-,large subunit terminase,20200912,-
1792289,56167198,H3H27_gp73,H3H27_gp73,vBEcoSST28624_59,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200728,-
1792289,56167199,H3H27_gp72,H3H27_gp72,vBEcoSST28624_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167200,H3H27_gp71,H3H27_gp71,vBEcoSST28624_61,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20210212,-
1792289,56167201,H3H27_gp70,H3H27_gp70,vBEcoSST28624_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167202,H3H27_gp69,H3H27_gp69,vBEcoSST28624_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167203,H3H27_gp68,H3H27_gp68,vBEcoSST28624_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167204,H3H27_gp67,H3H27_gp67,vBEcoSST28624_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167205,H3H27_gp66,H3H27_gp66,vBEcoSST28624_66,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210424,-
1792289,56167206,H3H27_gp65,H3H27_gp65,vBEcoSST28624_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167207,H3H27_gp64,H3H27_gp64,vBEcoSST28624_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167208,H3H27_gp63,H3H27_gp63,vBEcoSST28624_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167209,H3H27_gp62,H3H27_gp62,vBEcoSST28624_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167210,H3H27_gp61,H3H27_gp61,vBEcoSST28624_71,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201003,-
1792289,56167211,H3H27_gp60,H3H27_gp60,vBEcoSST28624_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167212,H3H27_gp59,H3H27_gp59,vBEcoSST28624_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167213,H3H27_gp58,H3H27_gp58,vBEcoSST28624_74,-,-,-,outer membrane protein Lom precursor,protein-coding,-,-,-,outer membrane protein Lom precursor,20210212,-
1792289,56167214,H3H27_gp57,H3H27_gp57,vBEcoSST28624_75,-,-,-,host toxic membrane protein,protein-coding,-,-,-,host toxic membrane protein,20210327,-
1792289,56167215,H3H27_gp56,H3H27_gp56,vBEcoSST28624_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167216,H3H27_gp55,H3H27_gp55,vBEcoSST28624_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167217,H3H27_gp54,H3H27_gp54,vBEcoSST28624_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167218,H3H27_gp53,H3H27_gp53,vBEcoSST28624_79,-,-,-,bacteriocin,protein-coding,-,-,-,bacteriocin,20201003,-
1792289,56167219,H3H27_gp52,H3H27_gp52,vBEcoSST28624_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167220,H3H27_gp51,H3H27_gp51,vBEcoSST28624_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1792289,56167221,H3H27_gp50,H3H27_gp50,vBEcoSST28624_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167222,H3H27_gp49,H3H27_gp49,vBEcoSST28624_83,-,-,-,protein ygiW precursor,protein-coding,-,-,-,protein ygiW precursor,20210212,-
1792289,56167223,H3H27_gp48,H3H27_gp48,vBEcoSST28624_84,-,-,-,host killer protein,protein-coding,-,-,-,host killer protein,20210417,-
1792289,56167224,H3H27_gp47,H3H27_gp47,vBEcoSST28624_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167225,H3H27_gp46,H3H27_gp46,vBEcoSST28624_86,-,-,-,EaA protein,protein-coding,-,-,-,EaA protein,20210417,-
1792289,56167226,H3H27_gp45,H3H27_gp45,vBEcoSST28624_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1792289,56167227,H3H27_gp44,H3H27_gp44,vBEcoSST28624_88,-,-,-,AntA/AntB antirepressor,protein-coding,-,-,-,AntA/AntB antirepressor,20210129,-
1792289,56167228,H3H27_gp01,H3H27_gp01,vBEcoSST28624_01,-,-,-,integrase,protein-coding,-,-,-,integrase,20210212,-
1792289,56238759,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200729,-
