#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1448319,63856202,BO72DRAFT_10,BO72DRAFT_10,-,-,Unknown,-,DUF757 domain protein,protein-coding,-,-,-,DUF757 domain protein,20210421,-
1448319,63856223,BO72DRAFT_103624,BO72DRAFT_103624,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856224,BO72DRAFT_103707,BO72DRAFT_103707,-,-,Unknown,-,dimeric dihydrodiol dehydrogenase,protein-coding,-,-,-,dimeric dihydrodiol dehydrogenase,20210421,-
1448319,63856225,BO72DRAFT_10401,BO72DRAFT_10401,-,-,Unknown,-,vacuolar protein sorting-associated protein 13,protein-coding,-,-,-,vacuolar protein sorting-associated protein 13,20210421,-
1448319,63856226,BO72DRAFT_104413,BO72DRAFT_104413,-,-,Unknown,-,Arabinofuranosidase complexed with arabinose,protein-coding,-,-,-,Arabinofuranosidase complexed with arabinose,20210421,-
1448319,63856227,BO72DRAFT_104416,BO72DRAFT_104416,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856228,BO72DRAFT_104629,BO72DRAFT_104629,-,-,Unknown,-,acetyl-CoA synthetase-like protein,protein-coding,-,-,-,acetyl-CoA synthetase-like protein,20210421,-
1448319,63856229,BO72DRAFT_104718,BO72DRAFT_104718,-,-,Unknown,-,putative MFS transporter,protein-coding,-,-,-,putative MFS transporter,20210421,-
1448319,63856230,BO72DRAFT_105084,BO72DRAFT_105084,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856231,BO72DRAFT_105316,BO72DRAFT_105316,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856232,BO72DRAFT_105317,BO72DRAFT_105317,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856233,BO72DRAFT_105393,BO72DRAFT_105393,-,-,Unknown,-,short-chain dehydrogenases/reductase,protein-coding,-,-,-,short-chain dehydrogenases/reductase,20210421,-
1448319,63856234,BO72DRAFT_105401,BO72DRAFT_105401,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856235,BO72DRAFT_105416,BO72DRAFT_105416,-,-,Unknown,-,Methylmalonate-semialdehyde dehydrogenase,protein-coding,-,-,-,Methylmalonate-semialdehyde dehydrogenase,20210421,-
1448319,63856236,BO72DRAFT_105645,BO72DRAFT_105645,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856237,BO72DRAFT_105711,BO72DRAFT_105711,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856238,BO72DRAFT_105747,BO72DRAFT_105747,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856239,BO72DRAFT_105752,BO72DRAFT_105752,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856240,BO72DRAFT_105829,BO72DRAFT_105829,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856241,BO72DRAFT_105841,BO72DRAFT_105841,-,-,Unknown,-,lysophospholipase,protein-coding,-,-,-,lysophospholipase,20210421,-
1448319,63856242,BO72DRAFT_105888,BO72DRAFT_105888,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856243,BO72DRAFT_106244,BO72DRAFT_106244,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856244,BO72DRAFT_106584,BO72DRAFT_106584,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856245,BO72DRAFT_106596,BO72DRAFT_106596,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856246,BO72DRAFT_106600,BO72DRAFT_106600,-,-,Unknown,-,NADH:flavin oxidoreductase/NADH oxidase,protein-coding,-,-,-,NADH:flavin oxidoreductase/NADH oxidase,20210421,-
1448319,63856247,BO72DRAFT_10672,BO72DRAFT_10672,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856248,BO72DRAFT_107068,BO72DRAFT_107068,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856249,BO72DRAFT_107204,BO72DRAFT_107204,-,-,Unknown,-,alpha-glucosidase,protein-coding,-,-,-,alpha-glucosidase,20210421,-
1448319,63856250,BO72DRAFT_107208,BO72DRAFT_107208,-,-,Unknown,-,S-adenosyl-L-methionine-dependent methyltransferase,protein-coding,-,-,-,S-adenosyl-L-methionine-dependent methyltransferase,20210421,-
1448319,63856251,BO72DRAFT_107279,BO72DRAFT_107279,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856252,BO72DRAFT_10753,BO72DRAFT_10753,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856253,BO72DRAFT_107681,BO72DRAFT_107681,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856254,BO72DRAFT_107781,BO72DRAFT_107781,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856255,BO72DRAFT_107793,BO72DRAFT_107793,-,-,Unknown,-,FAD-binding domain-containing protein,protein-coding,-,-,-,FAD-binding domain-containing protein,20210421,-
1448319,63856256,BO72DRAFT_108042,BO72DRAFT_108042,-,-,Unknown,-,acid protease,protein-coding,-,-,-,acid protease,20210421,-
1448319,63856257,BO72DRAFT_10812,BO72DRAFT_10812,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856258,BO72DRAFT_10836,BO72DRAFT_10836,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856259,BO72DRAFT_108530,BO72DRAFT_108530,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856260,BO72DRAFT_108699,BO72DRAFT_108699,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856261,BO72DRAFT_108723,BO72DRAFT_108723,-,-,Unknown,-,phosphopentothenoylcysteine decarboxylase,protein-coding,-,-,-,phosphopentothenoylcysteine decarboxylase,20210421,-
1448319,63856262,BO72DRAFT_108794,BO72DRAFT_108794,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856263,BO72DRAFT_108865,BO72DRAFT_108865,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856264,BO72DRAFT_109175,BO72DRAFT_109175,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856265,BO72DRAFT_109257,BO72DRAFT_109257,-,-,Unknown,-,putative beta-mannosidase A,protein-coding,-,-,-,putative beta-mannosidase A,20210421,-
1448319,63856266,BO72DRAFT_109358,BO72DRAFT_109358,-,-,Unknown,-,phosphotyrosyl phosphatase activator,protein-coding,-,-,-,phosphotyrosyl phosphatase activator,20210421,-
1448319,63856267,BO72DRAFT_109364,BO72DRAFT_109364,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856268,BO72DRAFT_109493,BO72DRAFT_109493,-,-,Unknown,-,putative NRPS-like enzyme,protein-coding,-,-,-,putative NRPS-like enzyme,20210421,-
1448319,63856269,BO72DRAFT_109569,BO72DRAFT_109569,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856270,BO72DRAFT_109685,BO72DRAFT_109685,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856271,BO72DRAFT_109796,BO72DRAFT_109796,-,-,Unknown,-,cytochrome P450 alkane hydroxylase,protein-coding,-,-,-,cytochrome P450 alkane hydroxylase,20210421,-
1448319,63856272,BO72DRAFT_109873,BO72DRAFT_109873,-,-,Unknown,-,C6 transcription factor,protein-coding,-,-,-,C6 transcription factor,20210421,-
1448319,63856273,BO72DRAFT_109883,BO72DRAFT_109883,-,-,Unknown,-,beta-galactosidase/beta-glucuronidase,protein-coding,-,-,-,beta-galactosidase/beta-glucuronidase,20210421,-
1448319,63856274,BO72DRAFT_109891,BO72DRAFT_109891,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856275,BO72DRAFT_110126,BO72DRAFT_110126,-,-,Unknown,-,cytochrome P450 monooxygenase,protein-coding,-,-,-,cytochrome P450 monooxygenase,20210421,-
1448319,63856276,BO72DRAFT_110213,BO72DRAFT_110213,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856277,BO72DRAFT_110261,BO72DRAFT_110261,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856278,BO72DRAFT_11027,BO72DRAFT_11027,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856279,BO72DRAFT_110309,BO72DRAFT_110309,-,-,Unknown,-,PTR2-domain-containing protein,protein-coding,-,-,-,PTR2-domain-containing protein,20210421,-
1448319,63856280,BO72DRAFT_110878,BO72DRAFT_110878,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856281,BO72DRAFT_110956,BO72DRAFT_110956,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856282,BO72DRAFT_11109,BO72DRAFT_11109,-,-,Unknown,-,light chain 3,protein-coding,-,-,-,light chain 3,20210515,-
1448319,63856283,BO72DRAFT_111236,BO72DRAFT_111236,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856284,BO72DRAFT_111260,BO72DRAFT_111260,-,-,Unknown,-,carboxylesterase,protein-coding,-,-,-,carboxylesterase,20210421,-
1448319,63856285,BO72DRAFT_111421,BO72DRAFT_111421,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856286,BO72DRAFT_111474,BO72DRAFT_111474,-,-,Unknown,-,alpha/beta-hydrolase,protein-coding,-,-,-,alpha/beta-hydrolase,20210421,-
1448319,63856287,BO72DRAFT_112065,BO72DRAFT_112065,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856288,BO72DRAFT_112091,BO72DRAFT_112091,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856289,BO72DRAFT_112207,BO72DRAFT_112207,-,-,Unknown,-,GTP-binding protein EsdC,protein-coding,-,-,-,GTP-binding protein EsdC,20210421,-
1448319,63856290,BO72DRAFT_112755,BO72DRAFT_112755,-,-,Unknown,-,DUF1711-domain-containing protein,protein-coding,-,-,-,DUF1711-domain-containing protein,20210421,-
1448319,63856291,BO72DRAFT_11303,BO72DRAFT_11303,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856292,BO72DRAFT_113031,BO72DRAFT_113031,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856293,BO72DRAFT_113271,BO72DRAFT_113271,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856294,BO72DRAFT_113423,BO72DRAFT_113423,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856295,BO72DRAFT_113497,BO72DRAFT_113497,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856296,BO72DRAFT_113639,BO72DRAFT_113639,-,-,Unknown,-,cell cycle control protein cwf17,protein-coding,-,-,-,cell cycle control protein cwf17,20210421,-
1448319,63856297,BO72DRAFT_113697,BO72DRAFT_113697,-,-,Unknown,-,adenine phosphoribosyltransferase,protein-coding,-,-,-,adenine phosphoribosyltransferase,20210421,-
1448319,63856298,BO72DRAFT_114252,BO72DRAFT_114252,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856299,BO72DRAFT_114305,BO72DRAFT_114305,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856300,BO72DRAFT_114401,BO72DRAFT_114401,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856301,BO72DRAFT_114405,BO72DRAFT_114405,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856302,BO72DRAFT_114501,BO72DRAFT_114501,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856303,BO72DRAFT_114686,BO72DRAFT_114686,-,-,Unknown,-,glucocorticoid receptor-like (DNA-binding domain),protein-coding,-,-,-,glucocorticoid receptor-like (DNA-binding domain),20210421,-
1448319,63856304,BO72DRAFT_114716,BO72DRAFT_114716,-,-,Unknown,-,sterol 3-beta-glucosyltransferase,protein-coding,-,-,-,sterol 3-beta-glucosyltransferase,20210421,-
1448319,63856305,BO72DRAFT_11488,BO72DRAFT_11488,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856306,BO72DRAFT_115125,BO72DRAFT_115125,-,-,Unknown,-,dihydrolipoyl dehydrogenase,protein-coding,-,-,-,dihydrolipoyl dehydrogenase,20210421,-
1448319,63856307,BO72DRAFT_115506,BO72DRAFT_115506,-,-,Unknown,-,TPT-domain-containing protein,protein-coding,-,-,-,TPT-domain-containing protein,20210421,-
1448319,63856308,BO72DRAFT_115891,BO72DRAFT_115891,-,-,Unknown,-,RabGAP/TBC,protein-coding,-,-,-,RabGAP/TBC,20210421,-
1448319,63856309,BO72DRAFT_115892,BO72DRAFT_115892,-,-,Unknown,-,protein pns1,protein-coding,-,-,-,protein pns1,20210421,-
1448319,63856310,BO72DRAFT_115901,BO72DRAFT_115901,-,-,Unknown,-,proline-rich protein,protein-coding,-,-,-,proline-rich protein,20210421,-
1448319,63856311,BO72DRAFT_116079,BO72DRAFT_116079,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210421,-
1448319,63856312,BO72DRAFT_116611,BO72DRAFT_116611,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856313,BO72DRAFT_116727,BO72DRAFT_116727,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856314,BO72DRAFT_116838,BO72DRAFT_116838,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856315,BO72DRAFT_117018,BO72DRAFT_117018,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856316,BO72DRAFT_117021,BO72DRAFT_117021,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856317,BO72DRAFT_117051,BO72DRAFT_117051,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856318,BO72DRAFT_117086,BO72DRAFT_117086,-,-,Unknown,-,ribose-phosphate pyrophosphokinase II,protein-coding,-,-,-,ribose-phosphate pyrophosphokinase II,20210421,-
1448319,63856319,BO72DRAFT_117605,BO72DRAFT_117605,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856320,BO72DRAFT_117896,BO72DRAFT_117896,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856321,BO72DRAFT_118042,BO72DRAFT_118042,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856322,BO72DRAFT_118425,BO72DRAFT_118425,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856323,BO72DRAFT_118532,BO72DRAFT_118532,-,-,Unknown,-,cholinesterase,protein-coding,-,-,-,cholinesterase,20210421,-
1448319,63856324,BO72DRAFT_118615,BO72DRAFT_118615,-,-,Unknown,-,putative apses transcription factor,protein-coding,-,-,-,putative apses transcription factor,20210421,-
1448319,63856325,BO72DRAFT_118844,BO72DRAFT_118844,-,-,Unknown,-,putative nicotinamide nucleotide transhydrogenase,protein-coding,-,-,-,putative nicotinamide nucleotide transhydrogenase,20210421,-
1448319,63856326,BO72DRAFT_118964,BO72DRAFT_118964,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856327,BO72DRAFT_118992,BO72DRAFT_118992,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856328,BO72DRAFT_118996,BO72DRAFT_118996,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856329,BO72DRAFT_119034,BO72DRAFT_119034,-,-,Unknown,-,putative fatty acid elongase,protein-coding,-,-,-,putative fatty acid elongase,20210421,-
1448319,63856330,BO72DRAFT_119035,BO72DRAFT_119035,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856331,BO72DRAFT_11934,BO72DRAFT_11934,-,-,Unknown,-,F-box domain protein,protein-coding,-,-,-,F-box domain protein,20210421,-
1448319,63856332,BO72DRAFT_119482,BO72DRAFT_119482,-,-,Unknown,-,aldo/keto reductase,protein-coding,-,-,-,aldo/keto reductase,20210421,-
1448319,63856333,BO72DRAFT_119521,BO72DRAFT_119521,-,-,Unknown,-,solid-state culture specific protein,protein-coding,-,-,-,solid-state culture specific protein,20210421,-
1448319,63856334,BO72DRAFT_119544,BO72DRAFT_119544,-,-,Unknown,-,NADH-dependent flavin oxidoreductase,protein-coding,-,-,-,NADH-dependent flavin oxidoreductase,20210421,-
1448319,63856335,BO72DRAFT_119722,BO72DRAFT_119722,-,-,Unknown,-,ATP-binding cassette transporter,protein-coding,-,-,-,ATP-binding cassette transporter,20210421,-
1448319,63856336,BO72DRAFT_119854,BO72DRAFT_119854,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856337,BO72DRAFT_119912,BO72DRAFT_119912,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856338,BO72DRAFT_120136,BO72DRAFT_120136,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856339,BO72DRAFT_120278,BO72DRAFT_120278,-,-,Unknown,-,S-adenosyl-L-methionine-dependent methyltransferase,protein-coding,-,-,-,S-adenosyl-L-methionine-dependent methyltransferase,20210421,-
1448319,63856340,BO72DRAFT_120426,BO72DRAFT_120426,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856341,BO72DRAFT_120505,BO72DRAFT_120505,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856342,BO72DRAFT_120616,BO72DRAFT_120616,-,-,Unknown,-,aminotransferase,protein-coding,-,-,-,aminotransferase,20210421,-
1448319,63856343,BO72DRAFT_120704,BO72DRAFT_120704,-,-,Unknown,-,GAT-like domain-containing protein,protein-coding,-,-,-,GAT-like domain-containing protein,20210421,-
1448319,63856344,BO72DRAFT_12084,BO72DRAFT_12084,-,-,Unknown,-,protein O-mannosyl transferase pmtA,protein-coding,-,-,-,protein O-mannosyl transferase pmtA,20210421,-
1448319,63856345,BO72DRAFT_120876,BO72DRAFT_120876,-,-,Unknown,-,putative C6 transcription factor,protein-coding,-,-,-,putative C6 transcription factor,20210421,-
1448319,63856346,BO72DRAFT_120877,BO72DRAFT_120877,-,-,Unknown,-,NAD(P)-binding protein,protein-coding,-,-,-,NAD(P)-binding protein,20210421,-
1448319,63856347,BO72DRAFT_121028,BO72DRAFT_121028,-,-,Unknown,-,putative TGF beta receptor associated protein 1,protein-coding,-,-,-,putative TGF beta receptor associated protein 1,20210421,-
1448319,63856348,BO72DRAFT_121178,BO72DRAFT_121178,-,-,Unknown,-,putative C6 finger domain protein,protein-coding,-,-,-,putative C6 finger domain protein,20210421,-
1448319,63856349,BO72DRAFT_121193,BO72DRAFT_121193,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856350,BO72DRAFT_121514,BO72DRAFT_121514,-,-,Unknown,-,DNA polymerase delta subunit 4,protein-coding,-,-,-,DNA polymerase delta subunit 4,20210421,-
1448319,63856351,BO72DRAFT_121541,BO72DRAFT_121541,-,-,Unknown,-,ubiquitin-protein ligase,protein-coding,-,-,-,ubiquitin-protein ligase,20210421,-
1448319,63856352,BO72DRAFT_121543,BO72DRAFT_121543,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856353,BO72DRAFT_121685,BO72DRAFT_121685,-,-,Unknown,-,TauD-domain-containing protein,protein-coding,-,-,-,TauD-domain-containing protein,20210421,-
1448319,63856354,BO72DRAFT_121688,BO72DRAFT_121688,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856355,BO72DRAFT_121824,BO72DRAFT_121824,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856356,BO72DRAFT_121825,BO72DRAFT_121825,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856357,BO72DRAFT_121879,BO72DRAFT_121879,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856358,BO72DRAFT_122237,BO72DRAFT_122237,-,-,Unknown,-,maleylacetoacetate isomerase,protein-coding,-,-,-,maleylacetoacetate isomerase,20210421,-
1448319,63856359,BO72DRAFT_122258,BO72DRAFT_122258,-,-,Unknown,-,C6 transcription factor,protein-coding,-,-,-,C6 transcription factor,20210421,-
1448319,63856360,BO72DRAFT_122388,BO72DRAFT_122388,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856361,BO72DRAFT_122627,BO72DRAFT_122627,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856362,BO72DRAFT_122667,BO72DRAFT_122667,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856363,BO72DRAFT_122748,BO72DRAFT_122748,-,-,Unknown,-,general substrate transporter,protein-coding,-,-,-,general substrate transporter,20210421,-
1448319,63856364,BO72DRAFT_122818,BO72DRAFT_122818,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856365,BO72DRAFT_122879,BO72DRAFT_122879,-,-,Unknown,-,NAD(P)-binding protein,protein-coding,-,-,-,NAD(P)-binding protein,20210421,-
1448319,63856366,BO72DRAFT_123323,BO72DRAFT_123323,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
