#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821539,40071268,2,FDG99_gp02,SEA_SKINNYPETE_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200629,-
1821539,40071288,22,FDG99_gp22,SEA_SKINNYPETE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071289,23,FDG99_gp23,SEA_SKINNYPETE_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071290,24,FDG99_gp24,SEA_SKINNYPETE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071291,25,FDG99_gp25,SEA_SKINNYPETE_25,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200629,-
1821539,40071292,26,FDG99_gp26,SEA_SKINNYPETE_26,-,-,-,holin,protein-coding,-,-,-,holin,20200629,-
1821539,40071293,27,FDG99_gp27,SEA_SKINNYPETE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071294,28,FDG99_gp28,SEA_SKINNYPETE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071295,29,FDG99_gp29,SEA_SKINNYPETE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071296,30,FDG99_gp30,SEA_SKINNYPETE_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071297,31,FDG99_gp31,SEA_SKINNYPETE_31,-,-,-,integrase,protein-coding,-,-,-,integrase,20200629,-
1821539,40071298,32,FDG99_gp32,SEA_SKINNYPETE_32,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
1821539,40071299,33,FDG99_gp33,SEA_SKINNYPETE_33,-,-,-,HTH-XRE DNA-binding domain protein,protein-coding,-,-,-,HTH-XRE DNA-binding domain protein,20210417,-
1821539,40071300,34,FDG99_gp34,SEA_SKINNYPETE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071301,35,FDG99_gp35,SEA_SKINNYPETE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071302,36,FDG99_gp36,SEA_SKINNYPETE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071303,37,FDG99_gp37,SEA_SKINNYPETE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071304,38,FDG99_gp38,SEA_SKINNYPETE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071305,39,FDG99_gp39,SEA_SKINNYPETE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071306,40,FDG99_gp40,SEA_SKINNYPETE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071307,41,FDG99_gp41,SEA_SKINNYPETE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071308,42,FDG99_gp42,SEA_SKINNYPETE_42,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20200629,-
1821539,40071309,43,FDG99_gp43,SEA_SKINNYPETE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071310,44,FDG99_gp44,SEA_SKINNYPETE_44,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200629,-
1821539,40071311,45,FDG99_gp45,SEA_SKINNYPETE_45,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20200629,-
1821539,40071312,46,FDG99_gp46,SEA_SKINNYPETE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071313,47,FDG99_gp47,SEA_SKINNYPETE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071314,48,FDG99_gp48,SEA_SKINNYPETE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071315,49,FDG99_gp49,SEA_SKINNYPETE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071316,50,FDG99_gp50,SEA_SKINNYPETE_50,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20200629,-
1821539,40071317,51,FDG99_gp51,SEA_SKINNYPETE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071318,52,FDG99_gp52,SEA_SKINNYPETE_52,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20200629,-
1821539,40071319,53,FDG99_gp53,SEA_SKINNYPETE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1821539,40071320,54,FDG99_gp54,SEA_SKINNYPETE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071321,55,FDG99_gp55,SEA_SKINNYPETE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071322,56,FDG99_gp56,SEA_SKINNYPETE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071323,57,FDG99_gp57,SEA_SKINNYPETE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071324,58,FDG99_gp58,SEA_SKINNYPETE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071325,59,FDG99_gp59,SEA_SKINNYPETE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071326,60,FDG99_gp60,SEA_SKINNYPETE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071327,61,FDG99_gp61,SEA_SKINNYPETE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071328,62,FDG99_gp62,SEA_SKINNYPETE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071329,63,FDG99_gp63,SEA_SKINNYPETE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071330,64,FDG99_gp64,SEA_SKINNYPETE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071331,65,FDG99_gp65,SEA_SKINNYPETE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071332,66,FDG99_gp66,SEA_SKINNYPETE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071333,67,FDG99_gp67,SEA_SKINNYPETE_67,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200629,-
1821539,40071334,1,FDG99_gp01,SEA_SKINNYPETE_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40120310,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage SkinnyPete).,other,-,-,-,-,20200513,-
