#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2079583,40099886,2,FDJ35_gp02,PBI_HAMLET_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210424,-
2079583,40099919,35,FDJ35_gp35,PBI_HAMLET_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2079583,40099920,36,FDJ35_gp36,PBI_HAMLET_36,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210424,-
2079583,40099921,37,FDJ35_gp37,PBI_HAMLET_37,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210424,-
2079583,40099922,38,FDJ35_gp38,PBI_HAMLET_38,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
2079583,40099923,39,FDJ35_gp39,PBI_HAMLET_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099924,40,FDJ35_gp40,PBI_HAMLET_40,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
2079583,40099925,41,FDJ35_gp41,PBI_HAMLET_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099926,42,FDJ35_gp42,PBI_HAMLET_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099927,43,FDJ35_gp43,PBI_HAMLET_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099928,44,FDJ35_gp44,PBI_HAMLET_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099929,45,FDJ35_gp45,PBI_HAMLET_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099930,46,FDJ35_gp46,PBI_HAMLET_46,-,-,-,nucleotide pyrophosphohydrolase,protein-coding,-,-,-,nucleotide pyrophosphohydrolase,20201221,-
2079583,40099931,47,FDJ35_gp47,PBI_HAMLET_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099932,48,FDJ35_gp48,PBI_HAMLET_48,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201221,-
2079583,40099933,49,FDJ35_gp49,PBI_HAMLET_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099934,50,FDJ35_gp50,PBI_HAMLET_50,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20201221,-
2079583,40099935,51,FDJ35_gp51,PBI_HAMLET_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099936,52,FDJ35_gp52,PBI_HAMLET_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099937,53,FDJ35_gp53,PBI_HAMLET_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099938,54,FDJ35_gp54,PBI_HAMLET_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2079583,40099939,55,FDJ35_gp55,PBI_HAMLET_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099940,56,FDJ35_gp56,PBI_HAMLET_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099941,57,FDJ35_gp57,PBI_HAMLET_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099942,58,FDJ35_gp58,PBI_HAMLET_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099943,59,FDJ35_gp59,PBI_HAMLET_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099944,60,FDJ35_gp60,PBI_HAMLET_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099945,61,FDJ35_gp61,PBI_HAMLET_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099946,62,FDJ35_gp62,PBI_HAMLET_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099947,63,FDJ35_gp63,PBI_HAMLET_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099948,1,FDJ35_gp01,PBI_HAMLET_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40120558,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
