#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1772307,40077481,2,FDH49_gp02,MARTHA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1772307,40077528,49,FDH49_gp49,MARTHA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077529,50,FDH49_gp50,MARTHA_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077530,51,FDH49_gp51,MARTHA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077531,52,FDH49_gp52,MARTHA_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077532,53,FDH49_gp53,MARTHA_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077533,54,FDH49_gp54,MARTHA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077534,55,FDH49_gp55,MARTHA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077535,56,FDH49_gp56,MARTHA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077536,57,FDH49_gp57,MARTHA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077537,58,FDH49_gp58,MARTHA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077538,59,FDH49_gp59,MARTHA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077539,60,FDH49_gp60,MARTHA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077540,61,FDH49_gp61,MARTHA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077541,62,FDH49_gp62,MARTHA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077542,63,FDH49_gp63,MARTHA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077543,64,FDH49_gp64,MARTHA_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077544,65,FDH49_gp65,MARTHA_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077545,66,FDH49_gp66,MARTHA_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077546,67,FDH49_gp67,MARTHA_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077547,68,FDH49_gp68,MARTHA_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077548,69,FDH49_gp69,MARTHA_69,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201221,-
1772307,40077549,70,FDH49_gp70,MARTHA_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077550,71,FDH49_gp71,MARTHA_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077551,72,FDH49_gp72,MARTHA_72,-,-,-,AlpA-like DNA binding protein,protein-coding,-,-,-,AlpA-like DNA binding protein,20201221,-
1772307,40077552,73,FDH49_gp73,MARTHA_73,-,-,-,DNA polymerase III beta subunit,protein-coding,-,-,-,DNA polymerase III beta subunit,20201221,-
1772307,40077553,74,FDH49_gp74,MARTHA_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077554,75,FDH49_gp75,MARTHA_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077555,76,FDH49_gp76,MARTHA_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1772307,40077556,77,FDH49_gp77,MARTHA_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077557,1,FDH49_gp01,MARTHA_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40120266,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
