#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
10689,14006435,F353_gp02,F353_gp02,CP-T1_0002,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20201220,-
10689,14006459,F353_gp26,F353_gp26,CP-T1_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006460,F353_gp27,F353_gp27,CP-T1_0027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006461,F353_gp28,F353_gp28,CP-T1_0028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006462,F353_gp29,F353_gp29,CP-T1_0029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006463,F353_gp30,F353_gp30,CP-T1_0030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006464,F353_gp31,F353_gp31,CP-T1_0031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006465,F353_gp32,F353_gp32,CP-T1_0032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006466,F353_gp33,F353_gp33,CP-T1_0033,-,-,-,putative head protein,protein-coding,-,-,-,putative head protein,20201220,-
10689,14006467,F353_gp34,F353_gp34,CP-T1_0034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006468,F353_gp35,F353_gp35,CP-T1_0035,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201220,-
10689,14006469,F353_gp36,F353_gp36,CP-T1_0036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006470,F353_gp37,F353_gp37,CP-T1_0037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006471,F353_gp38,F353_gp38,CP-T1_0038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006472,F353_gp39,F353_gp39,CP-T1_0039,-,-,-,putative head protein,protein-coding,-,-,-,putative head protein,20201220,-
10689,14006473,F353_gp40,F353_gp40,CP-T1_0040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006474,F353_gp41,F353_gp41,CP-T1_0041,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20201220,-
10689,14006475,F353_gp42,F353_gp42,CP-T1_0042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006476,F353_gp43,F353_gp43,CP-T1_0043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006477,F353_gp44,F353_gp44,CP-T1_0044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006478,F353_gp45,F353_gp45,CP-T1_0045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006479,F353_gp46,F353_gp46,CP-T1_0046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006480,F353_gp47,F353_gp47,CP-T1_0047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006481,F353_gp48,F353_gp48,CP-T1_0048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006482,F353_gp49,F353_gp49,CP-T1_0049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006483,F353_gp50,F353_gp50,CP-T1_0050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006484,F353_gp51,F353_gp51,CP-T1_0051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006485,F353_gp52,F353_gp52,CP-T1_0052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006486,F353_gp53,F353_gp53,CP-T1_0053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006487,F353_gp54,F353_gp54,CP-T1_0054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006488,F353_gp55,F353_gp55,CP-T1_0055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006489,F353_gp56,F353_gp56,CP-T1_0056,-,-,-,putative tail-fiber/lysozyme protein,protein-coding,-,-,-,putative tail-fiber/lysozyme protein,20201220,-
10689,14006490,F353_gp57,F353_gp57,CP-T1_0057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006491,F353_gp58,F353_gp58,CP-T1_0058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006492,F353_gp59,F353_gp59,CP-T1_0059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006493,F353_gp60,F353_gp60,CP-T1_0060,-,-,-,putative baseplate protein,protein-coding,-,-,-,putative baseplate protein,20201220,-
10689,14006494,F353_gp61,F353_gp61,CP-T1_0061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006495,F353_gp62,F353_gp62,CP-T1_0062,-,-,-,putative baseplate protein,protein-coding,-,-,-,putative baseplate protein,20201220,-
10689,14006496,F353_gp63,F353_gp63,CP-T1_0063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006497,F353_gp64,F353_gp64,CP-T1_0064,-,-,-,putative tail-fiber protein,protein-coding,-,-,-,putative tail-fiber protein,20201220,-
10689,14006498,F353_gp65,F353_gp65,CP-T1_0065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006499,F353_gp66,F353_gp66,CP-T1_0066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006500,F353_gp67,F353_gp67,CP-T1_0067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006501,F353_gp68,F353_gp68,CP-T1_0068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006502,F353_gp69,F353_gp69,CP-T1_0069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006503,F353_gp70,F353_gp70,CP-T1_0070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006504,F353_gp01,F353_gp01,CP-T1_0001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14007817,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage CP-T1; Vibriophage CP-T1; phage CP-T1).,other,-,-,-,-,20200513,-
