#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
197,3979052,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Campylobacter fetus subsp. jejuni; Vibrio hepaticus; Vibrio jejuni.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210213,-
197,42589762,E5V15_RS09680,E5V15_RS09680,E5V15_09680,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589765,E5V15_RS09605,E5V15_RS09605,E5V15_09605,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589766,E5V15_RS09265,E5V15_RS09265,E5V15_09265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589767,E5V15_RS09635,E5V15_RS09635,E5V15_09635,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
197,42589768,E5V15_RS09260,E5V15_RS09260,E5V15_09260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589769,E5V15_RS09650,E5V15_RS09650,E5V15_09650,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589770,E5V15_RS09255,E5V15_RS09255,E5V15_09255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
197,42589775,E5V15_RS09240,E5V15_RS09240,E5V15_09240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589777,E5V15_RS09235,E5V15_RS09235,E5V15_09235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589781,E5V15_RS09220,E5V15_RS09220,E5V15_09220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589782,E5V15_RS09480,E5V15_RS09480,E5V15_09480,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589783,E5V15_RS09570,E5V15_RS09570,E5V15_09570,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589784,E5V15_RS09455,E5V15_RS09455,E5V15_09455,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589787,E5V15_RS09575,E5V15_RS09575,E5V15_09575,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589789,E5V15_RS09520,E5V15_RS09520,E5V15_09520,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589790,E5V15_RS09715,E5V15_RS09715,E5V15_09715,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589792,E5V15_RS09505,E5V15_RS09505,E5V15_09505,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589793,E5V15_RS09485,E5V15_RS09485,E5V15_09485,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589794,E5V15_RS09495,E5V15_RS09495,E5V15_09495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589796,E5V15_RS09720,E5V15_RS09720,E5V15_09720,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589798,E5V15_RS09530,E5V15_RS09530,E5V15_09530,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589799,E5V15_RS09710,E5V15_RS09710,E5V15_09710,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
197,42589800,E5V15_RS09535,E5V15_RS09535,E5V15_09535,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589804,E5V15_RS09550,E5V15_RS09550,E5V15_09550,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589805,E5V15_RS09490,E5V15_RS09490,E5V15_09490,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
197,42589807,E5V15_RS09470,E5V15_RS09470,E5V15_09470,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589809,E5V15_RS09700,E5V15_RS09700,E5V15_09700,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589810,E5V15_RS09515,E5V15_RS09515,E5V15_09515,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589811,E5V15_RS09440,E5V15_RS09440,E5V15_09440,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589812,E5V15_RS09430,E5V15_RS09430,E5V15_09430,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589813,E5V15_RS09685,E5V15_RS09685,E5V15_09685,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
197,42589814,E5V15_RS09500,E5V15_RS09500,E5V15_09500,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
197,42589815,E5V15_RS09435,E5V15_RS09435,E5V15_09435,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589817,E5V15_RS09510,E5V15_RS09510,E5V15_09510,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
197,42589818,E5V15_RS09525,E5V15_RS09525,E5V15_09525,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
197,42589820,E5V15_RS09750,E5V15_RS09750,E5V15_09750,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589821,E5V15_RS09760,E5V15_RS09760,E5V15_09760,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42589823,E5V15_RS09740,E5V15_RS09740,E5V15_09740,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589824,E5V15_RS09735,E5V15_RS09735,E5V15_09735,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
197,42589825,E5V15_RS09800,E5V15_RS09800,E5V15_09800,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589830,E5V15_RS09910,E5V15_RS09910,E5V15_09910,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42589831,E5V15_RS09775,E5V15_RS09775,E5V15_09775,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
197,42589832,E5V15_RS09960,E5V15_RS09960,E5V15_09960,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589835,E5V15_RS09890,E5V15_RS09890,E5V15_09890,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589838,E5V15_RS09770,E5V15_RS09770,E5V15_09770,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589840,E5V15_RS09805,E5V15_RS09805,E5V15_09805,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589841,E5V15_RS09790,E5V15_RS09790,E5V15_09790,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589846,E5V15_RS09830,E5V15_RS09830,E5V15_09830,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589850,E5V15_RS09855,E5V15_RS09855,E5V15_09855,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589854,E5V15_RS09815,E5V15_RS09815,E5V15_09815,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589855,E5V15_RS09880,E5V15_RS09880,E5V15_09880,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42589857,E5V15_RS09950,E5V15_RS09950,E5V15_09950,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42589858,E5V15_RS09915,E5V15_RS09915,E5V15_09915,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589859,E5V15_RS09925,E5V15_RS09925,E5V15_09925,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589860,E5V15_RS09930,E5V15_RS09930,E5V15_09930,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589862,E5V15_RS09935,E5V15_RS09935,E5V15_09935,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42589863,E5V15_RS09940,E5V15_RS09940,E5V15_09940,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589864,E5V15_RS09945,E5V15_RS09945,E5V15_09945,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589867,E5V15_RS09955,E5V15_RS09955,E5V15_09955,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589872,FZN58_RS08690,FZN58_RS08690,FZN58_08690,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589875,FZN58_RS08710,FZN58_RS08710,FZN58_08710,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589911,FZN58_RS08685,FZN58_RS08685,FZN58_08685,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589934,F4V27_RS08685,F4V27_RS08685,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
197,42589940,F4V27_RS08655,F4V27_RS08655,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589946,F4V27_RS08625,F4V27_RS08625,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589955,F4V27_RS08580,F4V27_RS08580,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
197,42589962,F4V27_RS08545,F4V27_RS08545,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589970,F4V27_RS08505,F4V27_RS08505,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589988,F4V25_RS00370,F4V25_RS00370,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
197,42589989,F4V25_RS00365,F4V25_RS00365,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
197,42589991,F4V25_RS00355,F4V25_RS00355,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589992,F4V25_RS00350,F4V25_RS00350,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
197,42589993,F4V25_RS00345,F4V25_RS00345,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589999,F4V25_RS00315,F4V25_RS00315,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
197,42590002,F4V25_RS00295,F4V25_RS00295,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42590003,F4V25_RS00290,F4V25_RS00290,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
197,42590007,F4V25_RS00270,F4V25_RS00270,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42590008,F4V25_RS00265,F4V25_RS00265,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42590018,F4V25_RS00215,F4V25_RS00215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42590027,F4V25_RS00170,F4V25_RS00170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42590028,F4V25_RS00165,F4V25_RS00165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42590029,F4V25_RS00160,F4V25_RS00160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42590033,F4V25_RS00140,F4V25_RS00140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42590036,F4V25_RS00125,F4V25_RS00125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42590037,F4V25_RS00120,F4V25_RS00120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
197,42590048,F4V25_RS00065,F4V25_RS00065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42590062,F4V24_RS09425,F4V24_RS09425,-,-,-,-,-,pseudo,-,-,-,-,20191203,-
197,42590063,F4V24_RS09480,F4V24_RS09480,-,-,-,-,DUF2974 domain-containing protein,protein-coding,-,-,-,DUF2974 domain-containing protein,20191203,-
197,42590064,F4V24_RS09530,F4V24_RS09530,-,-,-,-,NYN domain-containing protein,protein-coding,-,-,-,NYN domain-containing protein,20191206,-
197,42590065,F4V24_RS09335,F4V24_RS09335,-,-,-,-,-,pseudo,-,-,-,-,20191203,-
197,42590066,F4V24_RS09515,F4V24_RS09515,-,-,-,-,-,pseudo,-,-,-,-,20191203,-
197,42590067,F4V24_RS09610,F4V24_RS09610,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42590068,tssJ,F4V24_RS09430,-,-,-,-,-,pseudo,-,-,-,-,20191203,-
197,42590069,F4V24_RS09560,F4V24_RS09560,-,-,-,-,-,pseudo,-,-,-,-,20191203,-
197,42590070,F4V24_RS09590,F4V24_RS09590,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42590071,F4V24_RS09490,F4V24_RS09490,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
197,42590072,tssF,F4V24_RS09405,-,-,-,-,type VI secretion system baseplate subunit TssF,protein-coding,-,-,-,type VI secretion system baseplate subunit TssF,20191204,-
197,42590073,F4V24_RS09445,F4V24_RS09445,-,-,-,-,Hcp family type VI secretion system effector,protein-coding,-,-,-,Hcp family type VI secretion system effector,20191206,-
197,42590074,F4V24_RS09280,F4V24_RS09280,-,-,-,-,-,pseudo,-,-,-,-,20191203,-
197,42590075,F4V24_RS09460,F4V24_RS09460,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42590076,F4V24_RS09235,F4V24_RS09235,-,-,-,-,-,pseudo,-,-,-,-,20191203,-
197,42590077,F4V24_RS09380,F4V24_RS09380,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42590078,F4V24_RS09315,F4V24_RS09315,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42590079,F4V24_RS09470,F4V24_RS09470,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42590080,F4V24_RS09360,F4V24_RS09360,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42590081,F4V24_RS09310,F4V24_RS09310,-,-,-,-,VgrG protein,protein-coding,-,-,-,VgrG protein,20191203,-
197,42590082,F4V24_RS09365,F4V24_RS09365,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42590083,F4V24_RS09355,F4V24_RS09355,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42590084,F4V24_RS09580,F4V24_RS09580,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42590085,F4V24_RS09345,F4V24_RS09345,-,-,-,-,-,pseudo,-,-,-,-,20191203,-
197,42590086,F4V24_RS09395,F4V24_RS09395,-,-,-,-,type VI secretion protein VgrG,protein-coding,-,-,-,type VI secretion protein VgrG,20191203,-
197,42590087,F4V24_RS09550,F4V24_RS09550,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42590088,F4V24_RS09390,F4V24_RS09390,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42590089,F4V24_RS09275,F4V24_RS09275,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42590090,tssC,F4V24_RS09415,-,-,-,-,type VI secretion system contractile sheath large subunit,protein-coding,-,-,-,type VI secretion system contractile sheath large subunit,20191206,-
197,42590091,F4V24_RS09575,F4V24_RS09575,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42590092,F4V24_RS09565,F4V24_RS09565,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20191203,-
197,42590093,F4V24_RS09330,F4V24_RS09330,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42590094,F4V24_RS09615,F4V24_RS09615,-,-,-,-,type II toxin-antitoxin system HicB family antitoxin,protein-coding,-,-,-,type II toxin-antitoxin system HicB family antitoxin,20191203,-
197,42590095,F4V24_RS09340,F4V24_RS09340,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42590096,F4V24_RS09535,F4V24_RS09535,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42590097,F4V24_RS09325,F4V24_RS09325,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42590098,F4V24_RS09305,F4V24_RS09305,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42590099,F4V24_RS09320,F4V24_RS09320,-,-,-,-,DUF4299 family protein,protein-coding,-,-,-,DUF4299 family protein,20191203,-
197,42590100,F4V24_RS09375,F4V24_RS09375,-,-,-,-,-,pseudo,-,-,-,-,20191203,-
197,42590101,F4V24_RS09500,F4V24_RS09500,-,-,-,-,DUF2974 domain-containing protein,protein-coding,-,-,-,DUF2974 domain-containing protein,20200919,-
197,42590102,F4V24_RS09520,F4V24_RS09520,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
197,42590103,F4V24_RS09440,F4V24_RS09440,-,-,-,-,DotU family type IV/VI secretion system protein,protein-coding,-,-,-,DotU family type IV/VI secretion system protein,20191203,-
197,42590104,F4V24_RS09385,F4V24_RS09385,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
