#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
28150,25026242,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Salmonella enterica serovar Senftenberg; Salmonella senftenberg).,other,-,-,-,-,20190422,-
28150,39752268,CVI97_RS23820,CVI97_RS23820,CVI97_23820,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752271,CVI97_RS23835,CVI97_RS23835,CVI97_23835,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752272,CVI97_RS23880,CVI97_RS23880,CVI97_23880,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752273,CVI97_RS23790,CVI97_RS23790,CVI97_23790,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752274,CVI97_RS23915,CVI97_RS23915,CVI97_23915,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752275,CVI97_RS23795,CVI97_RS23795,CVI97_23795,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
28150,39752277,CVI97_RS23780,CVI97_RS23780,CVI97_23780,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752278,CVI97_RS23775,CVI97_RS23775,CVI97_23775,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752280,CVI97_RS23955,CVI97_RS23955,CVI97_23955,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752282,CVI97_RS23965,CVI97_RS23965,CVI97_23965,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752287,EIP71_RS25900,EIP71_RS25900,EIP71_25900,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752288,EIP71_RS25925,EIP71_RS25925,EIP71_25925,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752289,EIP71_RS25990,EIP71_RS25990,EIP71_25990,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752290,EIP71_RS25905,EIP71_RS25905,EIP71_25905,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752291,EIP71_RS26000,EIP71_RS26000,EIP71_26000,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752293,EIP71_RS25945,EIP71_RS25945,EIP71_25945,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752294,EIP71_RS25965,EIP71_RS25965,EIP71_25965,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752295,EIP71_RS25960,EIP71_RS25960,EIP71_25960,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190601,-
28150,39752297,EIP71_RS26005,EIP71_RS26005,EIP71_26005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752299,EIP71_RS26010,EIP71_RS26010,EIP71_26010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752300,EIP71_RS25915,EIP71_RS25915,EIP71_25915,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752301,EIP71_RS25970,EIP71_RS25970,EIP71_25970,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190604,-
28150,39752302,EIP71_RS26015,EIP71_RS26015,EIP71_26015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
28150,39752305,EIP71_RS25985,EIP71_RS25985,EIP71_25985,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
28150,39752306,EIP71_RS25940,EIP71_RS25940,EIP71_25940,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752307,EIP71_RS25885,EIP71_RS25885,EIP71_25885,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752308,EIP71_RS25920,EIP71_RS25920,EIP71_25920,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752309,EIP71_RS25895,EIP71_RS25895,EIP71_25895,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752311,EIP71_RS25955,EIP71_RS25955,EIP71_25955,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190525,-
28150,39752313,EIP71_RS25910,EIP71_RS25910,EIP71_25910,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752314,EIP71_RS25975,EIP71_RS25975,EIP71_25975,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752315,EIP71_RS26025,EIP71_RS26025,EIP71_26025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752317,EIP71_RS26050,EIP71_RS26050,EIP71_26050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
28150,39752321,EIP71_RS26040,EIP71_RS26040,EIP71_26040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752324,EIP71_RS26060,EIP71_RS26060,EIP71_26060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752325,EIP71_RS26075,EIP71_RS26075,EIP71_26075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752326,EIP71_RS26080,EIP71_RS26080,EIP71_26080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752327,EIO66_RS25960,EIO66_RS25960,EIO66_25960,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190601,-
28150,39752328,EIO66_RS26005,EIO66_RS26005,EIO66_26005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
28150,39752329,EIO66_RS25975,EIO66_RS25975,EIO66_25975,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
28150,39752330,EIO66_RS25905,EIO66_RS25905,EIO66_25905,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752331,EIO66_RS25955,EIO66_RS25955,EIO66_25955,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752334,EIO66_RS25965,EIO66_RS25965,EIO66_25965,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752335,EIO66_RS26015,EIO66_RS26015,EIO66_26015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752336,EIO66_RS25915,EIO66_RS25915,EIO66_25915,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752339,EIO66_RS25945,EIO66_RS25945,EIO66_25945,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190525,-
28150,39752341,EIO66_RS25950,EIO66_RS25950,EIO66_25950,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190604,-
28150,39752342,EIO66_RS25995,EIO66_RS25995,EIO66_25995,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752344,EIO66_RS26000,EIO66_RS26000,EIO66_26000,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752345,EIO66_RS25935,EIO66_RS25935,EIO66_25935,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752346,EIO66_RS25900,EIO66_RS25900,EIO66_25900,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752347,EIO66_RS25990,EIO66_RS25990,EIO66_25990,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752349,EIO66_RS25895,EIO66_RS25895,EIO66_25895,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752350,EIO66_RS25885,EIO66_RS25885,EIO66_25885,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752351,EIO66_RS25890,EIO66_RS25890,EIO66_25890,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752352,EIO66_RS25875,EIO66_RS25875,EIO66_25875,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752353,EIO66_RS25930,EIO66_RS25930,EIO66_25930,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752354,EIO66_RS25980,EIO66_RS25980,EIO66_25980,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752355,EIO66_RS25910,EIO66_RS25910,EIO66_25910,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752358,EIO66_RS26030,EIO66_RS26030,EIO66_26030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
28150,39752360,EIO66_RS26035,EIO66_RS26035,EIO66_26035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752361,EIO66_RS26040,EIO66_RS26040,EIO66_26040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752362,EIO66_RS26060,EIO66_RS26060,EIO66_26060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752363,EIO66_RS26055,EIO66_RS26055,EIO66_26055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752364,EIO66_RS26065,EIO66_RS26065,EIO66_26065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752368,E5F21_RS24110,E5F21_RS24110,E5F21_24110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752369,E5F21_RS23935,E5F21_RS23935,E5F21_23935,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752370,E5F21_RS24050,E5F21_RS24050,E5F21_24050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190814,-
28150,39752371,E5F21_RS24105,E5F21_RS24105,E5F21_24105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752372,E5F21_RS24100,E5F21_RS24100,E5F21_24100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752374,E5F21_RS23925,E5F21_RS23925,E5F21_23925,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752375,E5F21_RS24005,E5F21_RS24005,E5F21_24005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752376,E5F21_RS24030,E5F21_RS24030,E5F21_24030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190815,-
28150,39752377,E5F21_RS23980,E5F21_RS23980,E5F21_23980,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752378,E5F21_RS23950,E5F21_RS23950,E5F21_23950,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752379,E5F21_RS23960,E5F21_RS23960,E5F21_23960,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752380,E5F21_RS23945,E5F21_RS23945,E5F21_23945,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752381,E5F21_RS23965,E5F21_RS23965,E5F21_23965,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752382,E5F21_RS24025,E5F21_RS24025,E5F21_24025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752383,E5F21_RS23930,E5F21_RS23930,E5F21_23930,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752384,E5F21_RS23995,E5F21_RS23995,E5F21_23995,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752385,E5F21_RS24070,E5F21_RS24070,E5F21_24070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752386,E5F21_RS24015,E5F21_RS24015,E5F21_24015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190815,-
28150,39752387,E5F21_RS24045,E5F21_RS24045,E5F21_24045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752388,E5F21_RS24010,E5F21_RS24010,E5F21_24010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752389,E5F21_RS24130,E5F21_RS24130,E5F21_24130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752390,E5F21_RS24125,E5F21_RS24125,E5F21_24125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190814,-
28150,39752392,E5F21_RS23985,E5F21_RS23985,E5F21_23985,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752393,E5F21_RS23970,E5F21_RS23970,E5F21_23970,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752394,E5F21_RS24095,E5F21_RS24095,E5F21_24095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752395,E5F21_RS23955,E5F21_RS23955,E5F21_23955,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752397,E5F21_RS24000,E5F21_RS24000,E5F21_24000,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752398,E5F21_RS24055,E5F21_RS24055,E5F21_24055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190815,-
28150,39752399,E5F21_RS24020,E5F21_RS24020,E5F21_24020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752400,E5F21_RS24040,E5F21_RS24040,E5F21_24040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752402,E5F21_RS24035,E5F21_RS24035,E5F21_24035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752403,E5F21_RS23940,E5F21_RS23940,E5F21_23940,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752404,E5F21_RS24080,E5F21_RS24080,E5F21_24080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
28150,39752405,E5F21_RS24060,E5F21_RS24060,E5F21_24060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752406,E5F21_RS24085,E5F21_RS24085,E5F21_24085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752407,E5F21_RS23975,E5F21_RS23975,E5F21_23975,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752408,E5F21_RS23990,E5F21_RS23990,E5F21_23990,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752409,E5F21_RS24120,E5F21_RS24120,E5F21_24120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752410,E5F22_RS24050,E5F22_RS24050,E5F22_24050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190814,-
28150,39752411,E5F22_RS23950,E5F22_RS23950,E5F22_23950,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752412,E5F22_RS24055,E5F22_RS24055,E5F22_24055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190814,-
28150,39752413,E5F22_RS24015,E5F22_RS24015,E5F22_24015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190814,-
28150,39752414,E5F22_RS24045,E5F22_RS24045,E5F22_24045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752415,E5F22_RS24120,E5F22_RS24120,E5F22_24120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752416,E5F22_RS24040,E5F22_RS24040,E5F22_24040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752417,E5F22_RS23945,E5F22_RS23945,E5F22_23945,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
